Source: IEA Oil Information https://www.iea.org/data-and-statistics/data-product/oil-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Imports,Exports,Units
1990,165085,-36508,TJ
1991,141137,-28135,TJ
1992,82103,-12602,TJ
1993,53381,-1297,TJ
1994,28428,-879,TJ
1995,6447,-10132,TJ
1996,1758,-14318,TJ
1997,1423,-15323,TJ
1998,1172,-18547,TJ
1999,,-31275,TJ
2000,41,-21603,TJ
2001,41,-10718,TJ
2002,125,-12811,TJ
2003,209,-18421,TJ
2004,334,-12811,TJ
2005,83,-11429,TJ
2006,,-3349,TJ
2007,,-5652,TJ
2008,,-8038,TJ
2009,,-11429,TJ
2010,1842,-6866,TJ
2011,1465,-5484,TJ
2012,544,-4856,TJ
2013,376,-4605,TJ
2014,,-3809,TJ
2015,,-3893,TJ
2016,,-3977,TJ
2017,4044,-4437,TJ
2018,6884,-7407,TJ
2019,18343,-7447,TJ
2020,41096,-5986,TJ
2021,46215,-5321,TJ
2022,48866,-17150,TJ
2023,86092,-20172,TJ
