Source: IEA Coal Information 2022 https://www.iea.org/data-and-statistics/data-product/coal-information-2
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Other bituminous coal,Lignite,Units
1990,3716,90854,TJ
1991,3716,95983,TJ
1992,3716,78120,TJ
1993,2824,66016,TJ
1994,3716,65210,TJ
1995,1374,43668,TJ
1996,1374,40489,TJ
1997,1096,42320,TJ
1998,1635,41969,TJ
1999,1653,41998,TJ
2000,1709,35301,TJ
2001,1690,38393,TJ
2002,1393,38994,TJ
2003,1207,27080,TJ
2004,1077,38701,TJ
2005,1356,42921,TJ
2006,2025,44152,TJ
2007,1579,46716,TJ
2008,1077,51933,TJ
2009,947,52798,TJ
2010,353,52915,TJ
2011,353,56066,TJ
2012,371,54703,TJ
2013,371,59641,TJ
2014,1988,62865,TJ
2015,2359,49252,TJ
2016,2972,54322,TJ
2017,2294,57372,TJ
2018,3363,58519,TJ
2019,4494,55773,TJ
2020,4899,56701,TJ
2021,5110,70063,TJ
2022,5244,74352,TJ
2023,4170,74572,TJ
