Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Primary oil,Natural gas,Hydropower,Biofuels and waste,Heat,"Solar, wind and other renewables",Units
1990,94570,117815,1381945,23932,149,0,,TJ
1991,99699,119162,1419203,21711,152,0,,TJ
1992,81836,138559,1463862,22611,156,0,,TJ
1993,68840,165951,1535697,26488,159,0,,TJ
1994,68926,231423,1608876,25761,163,0,,TJ
1995,45043,322420,1492332,22276,165,0,,TJ
1996,41863,329963,1503411,23490,169,0,,TJ
1997,43417,346850,1572709,20797,171,0,,TJ
1998,43604,356273,1681505,20854,175,0,,TJ
1999,43652,351509,1705780,25412,137,0,,TJ
2000,37010,325382,1730946,12700,172,0,,TJ
2001,40084,311958,1762035,15681,172,0,,TJ
2002,40387,313093,1831824,21686,163,0,,TJ
2003,28288,310567,1781910,29408,144,0,,TJ
2004,39778,287550,1854526,21960,132,0,,TJ
2005,44277,236813,1863610,32137,151,0,,TJ
2006,46177,236730,1942677,16920,158,0,,TJ
2007,48296,228011,2013263,16797,165,0,,TJ
2008,53011,218242,2097029,16156,158,0,,TJ
2009,53745,197648,2054630,23338,158,0,,TJ
2010,53268,182141,2024266,29491,158,0,,TJ
2011,56419,168595,1934725,20530,165,0,,TJ
2012,55075,150452,1888386,23950,186,0,,TJ
2013,60013,143042,1789392,20534,186,0,,TJ
2014,64853,129907,1662207,21870,186,0,,TJ
2015,51611,123895,1675687,24570,172,0,,TJ
2016,57295,118729,1722692,24695,172,0,,TJ
2017,59667,125826,1738349,28546,172,0,2,TJ
2018,61882,130635,1890057,21230,172,0,0,TJ
2019,60268,138424,1863248,23263,89,0,56,TJ
2020,61601,129633,1692251,17997,127,0,0,TJ
2021,75174,133866,1829413,17900,82,0,180,TJ
2022,79597,137540,1779341,23343,82,0,1568,TJ
2023,78742,163068,1607796,24984,82,0,2266,TJ
