Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil,Natural gas,Hydropower,Solar PV,Wind,Units
1990,4159,2489,43029,6648,,,GWh
1991,4000,4820,39314,6031,,,GWh
1992,2490,3500,38640,6281,,,GWh
1993,3186,1840,36765,7358,,,GWh
1994,3972,1554,35118,7156,,,GWh
1995,1639,5327,34299,6188,,,GWh
1996,1827,5069,31998,6525,,,GWh
1997,1881,5483,32913,5777,,,GWh
1998,1875,5465,32802,5793,,,GWh
1999,1852,4847,31613,7059,,,GWh
2000,1913,4707,36714,3528,,,GWh
2001,1958,4753,36892,4356,,,GWh
2002,2017,4649,36707,6024,,,GWh
2003,1990,4181,34402,8169,,,GWh
2004,2029,3905,37665,6100,,,GWh
2005,1946,3158,33634,8927,,,GWh
2006,2016,2892,39765,4700,,,GWh
2007,2001,2046,40298,4666,,,GWh
2008,2050,1478,42202,4488,,,GWh
2009,2045,1040,40535,6483,,,GWh
2010,2121,761,40901,8192,,,GWh
2011,2155,545,44401,5703,,,GWh
2012,2220,386,43796,6653,,,GWh
2013,2292,280,46404,5704,,,GWh
2014,2471,202,47015,6075,,,GWh
2015,2160,148,48279,6825,,,GWh
2016,2200,152,49505,6860,,,GWh
2017,2246,156,50486,7929,0,,GWh
2018,2347,434,54216,5897,0,,GWh
2019,3816,676,52561,6461,0,15,GWh
2020,5203,456,55841,4999,0,,GWh
2021,4955,1328,60057,4972,49,1,GWh
2022,5639,675,61034,6484,435,,GWh
2023,8271,2102,56384,6940,622,7,GWh
