Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Hydropower,Solar PV,Wind,Units
1990,6648,,,GWh
1991,6031,,,GWh
1992,6281,,,GWh
1993,7358,,,GWh
1994,7156,,,GWh
1995,6188,,,GWh
1996,6525,,,GWh
1997,5777,,,GWh
1998,5793,,,GWh
1999,7059,,,GWh
2000,3528,,,GWh
2001,4356,,,GWh
2002,6024,,,GWh
2003,8169,,,GWh
2004,6100,,,GWh
2005,8927,,,GWh
2006,4700,,,GWh
2007,4666,,,GWh
2008,4488,,,GWh
2009,6483,,,GWh
2010,8192,,,GWh
2011,5703,,,GWh
2012,6653,,,GWh
2013,5704,,,GWh
2014,6075,,,GWh
2015,6825,,,GWh
2016,6860,,,GWh
2017,7929,0,,GWh
2018,5897,0,,GWh
2019,6461,0,15,GWh
2020,4999,0,,GWh
2021,4972,49,1,GWh
2022,6484,435,,GWh
2023,6940,622,7,GWh
