Source: IEA Gas Information https://www.iea.org/data-and-statistics/data-product/natural-gas-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Production,Units
1990,1535495,TJ gross
1991,1576893,TJ gross
1992,1626514,TJ gross
1993,1706331,TJ gross
1994,1787641,TJ gross
1995,1658147,TJ gross
1996,1670457,TJ gross
1997,1747455,TJ gross
1998,1868339,TJ gross
1999,1895312,TJ gross
2000,1923274,TJ gross
2001,1957817,TJ gross
2002,2035361,TJ gross
2003,1979901,TJ gross
2004,2060585,TJ gross
2005,2070678,TJ gross
2006,2158530,TJ gross
2007,2236960,TJ gross
2008,2330033,TJ gross
2009,2282923,TJ gross
2010,2249185,TJ gross
2011,2149695,TJ gross
2012,2098207,TJ gross
2013,1988214,TJ gross
2014,1846897,TJ gross
2015,1861875,TJ gross
2016,1914103,TJ gross
2017,1931499,TJ gross
2018,2100063,TJ gross
2019,2070275,TJ gross
2020,1880279,TJ gross
2021,2032681,TJ gross
2022,1977045,TJ gross
2023,1786440,TJ gross
