Source: IEA Oil Information https://www.iea.org/data-and-statistics/data-product/oil-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Crude oil,Other primary oil,Units
1990,117230,,TJ
1991,118570,,TJ
1992,137871,,TJ
1993,165127,,TJ
1994,230274,,TJ
1995,317736,3098,TJ
1996,319117,9252,TJ
1997,330380,14821,TJ
1998,339298,15281,TJ
1999,341014,8792,TJ
2000,315517,8289,TJ
2001,301952,8499,TJ
2002,302873,8708,TJ
2003,300151,8917,TJ
2004,277040,9127,TJ
2005,228138,7536,TJ
2006,228138,7452,TJ
2007,215871,6824,TJ
2008,205948,6657,TJ
2009,184763,7201,TJ
2010,169062,7703,TJ
2011,156502,7117,TJ
2012,139713,6363,TJ
2013,132595,6028,TJ
2014,120035,5442,TJ
2015,114215,5191,TJ
2016,109484,4982,TJ
2017,115833,5271,TJ
2018,121036,4418,TJ
2019,126060,6724,TJ
2020,116456,7808,TJ
2021,120089,8487,TJ
2022,122329,9799,TJ
2023,145994,10616,TJ
