Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,TES/GDP PPP,Units
1990,23655.42,MJ per 2015 USD PPP
1991,24115.968,MJ per 2015 USD PPP
1992,25497.612,MJ per 2015 USD PPP
1993,27088.596,MJ per 2015 USD PPP
1994,28260.9,MJ per 2015 USD PPP
1995,24157.836,MJ per 2015 USD PPP
1996,24660.252,MJ per 2015 USD PPP
1997,23864.76,MJ per 2015 USD PPP
1998,23822.892,MJ per 2015 USD PPP
1999,23864.76,MJ per 2015 USD PPP
2000,23655.42,MJ per 2015 USD PPP
2001,22943.664,MJ per 2015 USD PPP
2002,22859.928,MJ per 2015 USD PPP
2003,21227.076,MJ per 2015 USD PPP
2004,19510.488,MJ per 2015 USD PPP
2005,17249.616,MJ per 2015 USD PPP
2006,16579.728,MJ per 2015 USD PPP
2007,14821.272,MJ per 2015 USD PPP
2008,13983.912,MJ per 2015 USD PPP
2009,11806.776,MJ per 2015 USD PPP
2010,11974.248,MJ per 2015 USD PPP
2011,11388.096,MJ per 2015 USD PPP
2012,9336.564,MJ per 2015 USD PPP
2013,8624.808,MJ per 2015 USD PPP
2014,7536.24,MJ per 2015 USD PPP
2015,6698.88,MJ per 2015 USD PPP
2016,6698.88,MJ per 2015 USD PPP
2017,6740.748,MJ per 2015 USD PPP
2018,6615.144,MJ per 2015 USD PPP
2019,6363.936,MJ per 2015 USD PPP
2020,6698.88,MJ per 2015 USD PPP
2021,6866.352,MJ per 2015 USD PPP
2022,6238.332,MJ per 2015 USD PPP
2023,6028.992,MJ per 2015 USD PPP
