Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,TES/GDP,Units
1990,101111.22,MJ per 2015 USD
1991,102995.28,MJ per 2015 USD
1992,108856.8,MJ per 2015 USD
1993,115765.02,MJ per 2015 USD
1994,120747.312,MJ per 2015 USD
1995,103288.356,MJ per 2015 USD
1996,105381.756,MJ per 2015 USD
1997,102032.316,MJ per 2015 USD
1998,101781.108,MJ per 2015 USD
1999,101948.58,MJ per 2015 USD
2000,100985.616,MJ per 2015 USD
2001,97929.252,MJ per 2015 USD
2002,97594.308,MJ per 2015 USD
2003,90602.352,MJ per 2015 USD
2004,83401.056,MJ per 2015 USD
2005,73687.68,MJ per 2015 USD
2006,70798.788,MJ per 2015 USD
2007,63220.68,MJ per 2015 USD
2008,59703.768,MJ per 2015 USD
2009,50450.94,MJ per 2015 USD
2010,51204.564,MJ per 2015 USD
2011,48650.616,MJ per 2015 USD
2012,39942.072,MJ per 2015 USD
2013,36801.972,MJ per 2015 USD
2014,32112.756,MJ per 2015 USD
2015,28637.712,MJ per 2015 USD
2016,28553.976,MJ per 2015 USD
2017,28847.052,MJ per 2015 USD
2018,28219.032,MJ per 2015 USD
2019,27214.2,MJ per 2015 USD
2020,28595.844,MJ per 2015 USD
2021,29265.732,MJ per 2015 USD
2022,26586.18,MJ per 2015 USD
2023,25706.952,MJ per 2015 USD
