Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Natural gas,Hydropower,Biofuels and waste,Oil and oil products,"Solar, wind and other renewables",Units
1990,141766,1360328,23932,149,465826,,TJ
1991,146895,1397003,21711,152,447037,,TJ
1992,103780,1405927,22611,156,357266,,TJ
1993,78799,1480284,26488,159,377438,,TJ
1994,79852,1513362,25761,163,321795,,TJ
1995,44690,1280769,22276,165,300946,,TJ
1996,50109,1336171,23490,169,292090,,TJ
1997,41208,1359063,20797,171,312827,,TJ
1998,39905,1453109,20854,175,293545,,TJ
1999,38488,1515012,25412,137,305235,,TJ
2000,46706,1574028,12700,172,303592,,TJ
2001,39119,1603663,15681,172,302023,,TJ
2002,41647,1669858,21686,163,300525,,TJ
2003,32531,1610446,29408,144,295173,,TJ
2004,43767,1611716,21960,132,268078,,TJ
2005,41480,1537802,32137,151,228040,,TJ
2006,45305,1599882,16920,158,238745,,TJ
2007,39034,1553055,16797,165,244768,,TJ
2008,49160,1617837,16156,158,227972,,TJ
2009,46694,1474552,23338,158,201031,,TJ
2010,38865,1620256,29491,158,213292,,TJ
2011,41646,1674812,20530,165,205070,,TJ
2012,56712,1452959,23950,186,173763,,TJ
2013,84475,1421510,20534,186,161642,,TJ
2014,78411,1328073,21870,186,146680,,TJ
2015,63145,1274386,24570,172,145159,,TJ
2016,74896,1340854,24695,172,152200,,TJ
2017,70576,1413742,28546,172,162481,2,TJ
2018,102231,1439779,21230,172,167625,0,TJ
2019,87350,1489188,23263,89,174469,56,TJ
2020,121629,1566078,17997,127,185061,0,TJ
2021,108059,1764191,17900,82,197327,180,TJ
2022,126347,1673432,23343,82,188377,1568,TJ
2023,170347,1636681,24984,82,236683,2266,TJ
