Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,TES/population,Units
1990,96966.288,MJ / Capita
1991,95961.456,MJ / Capita
1992,87880.932,MJ / Capita
1993,89220.708,MJ / Capita
1994,86331.816,MJ / Capita
1995,71761.752,MJ / Capita
1996,73059.66,MJ / Capita
1997,73143.396,MJ / Capita
1998,74901.852,MJ / Capita
1999,77162.724,MJ / Capita
2000,78335.028,MJ / Capita
2001,78209.424,MJ / Capita
2002,80051.616,MJ / Capita
2003,76534.704,MJ / Capita
2004,74734.38,MJ / Capita
2005,69752.088,MJ / Capita
2006,71133.732,MJ / Capita
2007,68579.784,MJ / Capita
2008,69542.748,MJ / Capita
2009,62467.056,MJ / Capita
2010,66863.196,MJ / Capita
2011,67281.876,MJ / Capita
2012,58280.256,MJ / Capita
2013,56689.272,MJ / Capita
2014,52041.924,MJ / Capita
2015,48859.956,MJ / Capita
2016,50744.016,MJ / Capita
2017,52586.208,MJ / Capita
2018,53423.568,MJ / Capita
2019,53967.852,MJ / Capita
2020,56563.668,MJ / Capita
2021,61336.62,MJ / Capita
2022,57861.576,MJ / Capita
2023,58363.992,MJ / Capita
