"Heat generation (TJ) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Heat generation (TJ)
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2000",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2001",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2002",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2003",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2004",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2005",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2006",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2007",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2008",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2009",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2010",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2011",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2012",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2013",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2014",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2015",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2016",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2017",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2018",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2019",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2020",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2021",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2022",-
"Uzbekistan","Solar thermal energy","Heat (Commercial)","2023",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2000",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2001",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2002",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2003",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2004",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2005",-
