"Electricity statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2000",1596.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2001",1596.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2002",1596.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2003",1599.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2004",1751.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2005",1709.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2006",1710.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2007",1710.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2008",1743.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2009",1742.80
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2010",1792.90
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2011",1787.90
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2012",1822.20
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2013",1823.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2014",1872.13
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2015",1881.53
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2016",1882.73
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2017",1861.45
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2018",1919.15
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2019",1911.75
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2020",2024.85
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2021",2056.15
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2022",2429.45
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2023",2856.85
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","All","2024",5166.35
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2000",1596.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2001",1596.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2002",1596.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2003",1599.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2004",1751.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2005",1709.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2006",1710.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2007",1710.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2008",1743.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2009",1742.80
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2010",1792.90
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2011",1787.90
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2012",1822.20
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2013",1822.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2014",1871.13
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2015",1880.53
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2016",1880.53
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2017",1858.43
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2018",1915.83
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2019",1908.43
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2020",2021.53
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2021",2052.82
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2022",2426.13
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2023",2853.53
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","On-grid","2024",5163.02
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2000",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2001",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2002",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2003",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2004",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2005",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2006",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2007",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2008",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2009",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2010",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2011",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2012",-
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2013",1.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2014",1.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2015",1.00
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2016",2.20
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2017",3.03
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2018",3.33
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2019",3.33
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2020",3.33
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2021",3.33
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2022",3.33
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2023",3.33
"Uzbekistan","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2024",3.33
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2000",5879.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2001",5959.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2002",6186.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2003",7620.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2004",9010.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2005",8630.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2006",9160.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2007",6400.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2008",11360.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2009",9330.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2010",8100.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2011",8100.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2012",8100.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2013",8102.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2014",8102.05
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2015",8102.18
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2016",8104.64
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2017",8106.29
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2018",5904.13
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2019",6467.60
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2020",5015.80
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2021",5050.20
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2022",6935.80
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2023",8400.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","All","2024",-
"Uzbekistan","Total renewable","Electricity Generation (GWh)","On-grid","2000",5879.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","On-grid","2001",5959.00
"Uzbekistan","Total renewable","Electricity Generation (GWh)","On-grid","2002",6186.00
