"Renewable energy share of electricity capacity and generation (%) by Region/country/area, Indicator and Year"

"Region/country/area","Indicator","Year",Renewable energy share of electricity capacity and generation (%)
"Uzbekistan","RE share of electricity capacity (%)","2000",13.09
"Uzbekistan","RE share of electricity capacity (%)","2001",13.09
"Uzbekistan","RE share of electricity capacity (%)","2002",13.09
"Uzbekistan","RE share of electricity capacity (%)","2003",12.95
"Uzbekistan","RE share of electricity capacity (%)","2004",14.01
"Uzbekistan","RE share of electricity capacity (%)","2005",13.72
"Uzbekistan","RE share of electricity capacity (%)","2006",13.73
"Uzbekistan","RE share of electricity capacity (%)","2007",13.72
"Uzbekistan","RE share of electricity capacity (%)","2008",13.95
"Uzbekistan","RE share of electricity capacity (%)","2009",13.94
"Uzbekistan","RE share of electricity capacity (%)","2010",14.28
"Uzbekistan","RE share of electricity capacity (%)","2011",14.25
"Uzbekistan","RE share of electricity capacity (%)","2012",14.48
"Uzbekistan","RE share of electricity capacity (%)","2013",13.91
"Uzbekistan","RE share of electricity capacity (%)","2014",14.36
"Uzbekistan","RE share of electricity capacity (%)","2015",14.24
"Uzbekistan","RE share of electricity capacity (%)","2016",13.35
"Uzbekistan","RE share of electricity capacity (%)","2017",12.95
"Uzbekistan","RE share of electricity capacity (%)","2018",13.52
"Uzbekistan","RE share of electricity capacity (%)","2019",11.99
"Uzbekistan","RE share of electricity capacity (%)","2020",12.16
"Uzbekistan","RE share of electricity capacity (%)","2021",12.46
"Uzbekistan","RE share of electricity capacity (%)","2022",13.76
"Uzbekistan","RE share of electricity capacity (%)","2023",15.46
"Uzbekistan","RE share of electricity capacity (%)","2024",24.39
"Uzbekistan","RE share of electricity generation (%)","2000",12.54
"Uzbekistan","RE share of electricity generation (%)","2001",12.55
"Uzbekistan","RE share of electricity generation (%)","2002",12.55
"Uzbekistan","RE share of electricity generation (%)","2003",15.43
"Uzbekistan","RE share of electricity generation (%)","2004",18.02
"Uzbekistan","RE share of electricity generation (%)","2005",17.54
"Uzbekistan","RE share of electricity generation (%)","2006",17.99
"Uzbekistan","RE share of electricity generation (%)","2007",13.07
"Uzbekistan","RE share of electricity generation (%)","2008",23.00
"Uzbekistan","RE share of electricity generation (%)","2009",18.68
"Uzbekistan","RE share of electricity generation (%)","2010",16.54
"Uzbekistan","RE share of electricity generation (%)","2011",16.10
"Uzbekistan","RE share of electricity generation (%)","2012",16.40
"Uzbekistan","RE share of electricity generation (%)","2013",15.97
"Uzbekistan","RE share of electricity generation (%)","2014",15.97
"Uzbekistan","RE share of electricity generation (%)","2015",15.97
"Uzbekistan","RE share of electricity generation (%)","2016",13.90
"Uzbekistan","RE share of electricity generation (%)","2017",13.49
"Uzbekistan","RE share of electricity generation (%)","2018",10.05
"Uzbekistan","RE share of electricity generation (%)","2019",11.24
"Uzbekistan","RE share of electricity generation (%)","2020",9.48
"Uzbekistan","RE share of electricity generation (%)","2021",7.74
"Uzbekistan","RE share of electricity generation (%)","2022",9.34
"Uzbekistan","RE share of electricity generation (%)","2023",10.77
"Uzbekistan","RE share of electricity generation (%)","2024",-
