Source: IEA World Energy Prices https://www.iea.org/data-and-statistics/data-product/energy-prices
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Mid-grade motor gasoline,Units
2008,0.80273,USD/litre
2009,0.869902,USD/litre
2010,0.889374,USD/litre
2011,1.064928,USD/litre
2012,1.034467,USD/litre
2013,0.953179,USD/litre
2014,1.049971,USD/litre
2015,0.959397,USD/litre
2016,0.894077,USD/litre
2017,0.799592,USD/litre
2018,0.89261,USD/litre
2019,0.792306,USD/litre
2020,0.653777,USD/litre
2021,0.756834,USD/litre
2022,1.00907,USD/litre
2023,0.996881,USD/litre
2024,1.012044,USD/litre
