"Public Investments (2022 Million USD) by Country/area, Technology and Year"

"Country/area","Technology","Year",Public Investments (2022 Million USD)
"Uzbekistan","On-grid solar photovoltaic","2000",-
"Uzbekistan","On-grid solar photovoltaic","2001",-
"Uzbekistan","On-grid solar photovoltaic","2002",-
"Uzbekistan","On-grid solar photovoltaic","2003",-
"Uzbekistan","On-grid solar photovoltaic","2004",0.23
"Uzbekistan","On-grid solar photovoltaic","2005",-
"Uzbekistan","On-grid solar photovoltaic","2006",-
"Uzbekistan","On-grid solar photovoltaic","2007",-
"Uzbekistan","On-grid solar photovoltaic","2008",-
"Uzbekistan","On-grid solar photovoltaic","2009",-
"Uzbekistan","On-grid solar photovoltaic","2010",-
"Uzbekistan","On-grid solar photovoltaic","2011",-
"Uzbekistan","On-grid solar photovoltaic","2012",-
"Uzbekistan","On-grid solar photovoltaic","2013",109.64
"Uzbekistan","On-grid solar photovoltaic","2014",-
"Uzbekistan","On-grid solar photovoltaic","2015",0.17
"Uzbekistan","On-grid solar photovoltaic","2016",-
"Uzbekistan","On-grid solar photovoltaic","2017",-
"Uzbekistan","On-grid solar photovoltaic","2018",-
"Uzbekistan","On-grid solar photovoltaic","2019",0.02
"Uzbekistan","On-grid solar photovoltaic","2020",31.10
"Uzbekistan","On-grid solar photovoltaic","2021",71.80
"Uzbekistan","On-grid solar photovoltaic","2022",-
"Uzbekistan","On-grid solar photovoltaic","2023",569.39
"Uzbekistan","Off-grid solar photovoltaic","2000",-
"Uzbekistan","Off-grid solar photovoltaic","2001",-
"Uzbekistan","Off-grid solar photovoltaic","2002",-
"Uzbekistan","Off-grid solar photovoltaic","2003",-
"Uzbekistan","Off-grid solar photovoltaic","2004",-
"Uzbekistan","Off-grid solar photovoltaic","2005",-
"Uzbekistan","Off-grid solar photovoltaic","2006",-
"Uzbekistan","Off-grid solar photovoltaic","2007",-
"Uzbekistan","Off-grid solar photovoltaic","2008",-
"Uzbekistan","Off-grid solar photovoltaic","2009",-
"Uzbekistan","Off-grid solar photovoltaic","2010",-
"Uzbekistan","Off-grid solar photovoltaic","2011",-
"Uzbekistan","Off-grid solar photovoltaic","2012",-
"Uzbekistan","Off-grid solar photovoltaic","2013",-
"Uzbekistan","Off-grid solar photovoltaic","2014",-
"Uzbekistan","Off-grid solar photovoltaic","2015",-
"Uzbekistan","Off-grid solar photovoltaic","2016",-
"Uzbekistan","Off-grid solar photovoltaic","2017",-
"Uzbekistan","Off-grid solar photovoltaic","2018",-
"Uzbekistan","Off-grid solar photovoltaic","2019",-
"Uzbekistan","Off-grid solar photovoltaic","2020",-
"Uzbekistan","Off-grid solar photovoltaic","2021",-
"Uzbekistan","Off-grid solar photovoltaic","2022",-
"Uzbekistan","Off-grid solar photovoltaic","2023",381.59
