Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1414.8,1443.3,1843.2,1613.3,1572.8,1611.6,1658.1,1725.7,1779.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,577.5,595.0,850.3,897.1,718.4,759.4,768.7,841.5,457.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,819.5,883.6,1308.0,848.3,1101.8,1224.9,1230.9,1164.0,1313.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1410.5,1442.3,1776.0,1276.3,1608.3,1755.8,1776.2,1763.1,1951.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1178.7,1204.5,1626.8,1407.5,1266.7,1451.6,1387.5,1376.0,1765.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1588.9,1640.5,1748.4,1723.1,1562.7,1650.8,1683.6,1662.0,1840.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,7371.7,7368.0,7651.0,8879.1,7878.5,7048.6,6364.6,6519.7,6425.7
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,994.3,1042.5,1430.2,1114.0,1267.0,1363.6,1368.0,1437.2,1796.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,814.7,881.1,1177.3,721.6,1055.6,1153.8,1177.0,1217.1,1502.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,881.5,896.6,2223.8,909.5,991.9,1055.2,986.6,1007.6,1185.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1477.5,1432.3,1768.3,2086.8,1503.3,1664.3,1628.4,1655.3,1832.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,2482.9,2542.9,3079.5,3168.8,2494.5,2088.9,2804.5,3260.4,2168.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1083.3,983.7,1359.7,1235.1,1264.6,1378.8,1364.0,1361.9,1636.1
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,619.0,624.3,988.5,953.9,829.0,953.3,980.8,1027.6,1196.2
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,2064.1,2178.3,2257.6,2177.6,2145.1,2290.0,2375.8,2561.9,2444.8
