Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,45058.8,46746.3,60744.8,54174.8,53839.8,56268.9,59109.3,62836.3,65490.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1041.9,1088.7,1578.3,1690.1,1372.9,1470.2,1508.4,1674.1,915.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,2406.3,2639.5,3975.4,2627.3,3479.5,3945.1,4047.2,3909.5,4457.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2580.3,2678.2,3338.8,2437.0,3112.9,3444.7,3540.5,3573.5,3988.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1518.8,1581.4,2177.8,1924.4,1768.6,2071.4,2025.0,2052.2,2661.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,4857.6,5116.1,5561.3,5594.6,5169.2,5566.3,5800.5,5852.8,6554.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,6895.0,7002.6,7431.4,8775.3,7920.8,7216.0,6648.8,6945.8,6907.7
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2612.9,2789.6,3898.9,3099.1,3597.3,3953.3,4055.1,4357.4,5508.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,2947.5,3247.8,4425.8,2769.7,4130.1,4603.3,4795.9,5067.2,6325.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2148.1,2230.9,5653.0,2364.3,2633.5,2861.8,2737.7,2863.4,3410.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1177.3,1159.4,1455.1,1748.9,1283.2,1447.6,1445.3,1498.6,1674.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,6981.3,7235.1,8868.5,9253.6,7358.5,6089.1,8319.9,9854.9,6618.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,3829.4,3534.0,4965.3,4591.8,4787.7,5319.7,5369.0,5473.4,6644.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1090.6,1118.1,1799.3,1765.7,1558.5,1819.6,1903.8,2031.4,2387.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,4971.7,5325.0,5615.8,5532.9,5667.2,6460.7,6912.1,7682.1,7434.6
