Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2025-M01.1,2025-M02.1,2025-M03.1,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
192,Kuba,Куба,Cuba,Куба,0.0,3.2,41.5,119.9,119.5,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,18.2,0.8,1.1,1.1,21.5,21.5,21.5,21.5,40.6,40.6,42.3,59.1,59.1,0.0,49.4,75.8,75.8,75.8,76.8,83.1,83.1,99.2,99.2,100.4,123.5,25.6,56.5,68.5,68.5,113.0,113.0,114.7,191.8,191.8,193.7,291.3,298.1,30.4,33.3,33.3,138.3,138.9,138.9,186.4,225.1,257.6,264.8,264.7,314.6,41.54900000000001,119.86200000000001,119.5
384,Kot D'ivuar,Кот-д'Ивуар,Côte d’Ivoire,Кот Дъивуар,2.5,61.9,717.3,2245.2,3503.3,84.1,96.3,96.3,125.8,186.4,259.4,353.2,534.6,557.8,642.0,23.3,46.6,316.5,714.0,779.1,871.4,894.2,915.0,1337.5,1741.5,1762.6,1772.8,223.5,282.2,347.1,367.1,452.3,551.7,644.7,881.4,1243.4,1491.5,1511.1,1669.4,79.3,166.3,167.6,167.6,167.6,202.6,237.6,408.5,408.5,408.5,408.5,410.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,10.2,340.2,340.2,717.3389999999999,2245.1659999999997,3503.3
798,Tuvalu,Тувалу,Tuvalu,Тувалу,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Chad,Чад,Chad,Чад,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,43.9,43.9,43.9,43.9,43.9,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008,Albaniya,Албания,Albania,Aлбания,1.0,4.7,26.5,52.0,78.3,5.3,20.1,45.5,48.8,48.8,49.6,49.6,54.9,59.7,60.5,0.0,1.9,2.0,2.0,3.2,16.0,28.1,34.2,34.2,42.4,44.3,45.8,0.0,4.8,7.0,9.4,13.6,13.6,17.0,17.6,18.7,23.8,23.8,45.2,16.9,19.1,70.9,262.7,449.7,468.0,484.6,1248.1,1654.7,1679.6,1684.3,1718.4,5.9,27.9,54.0,63.1,67.9,75.2,98.3,105.5,127.7,147.3,196.5,205.1,26.529999999999998,51.98900000000001,78.3
196,Kipr,Кипр,Cyprus,Кипр,27.3,53.1,6.9,144.6,259.2,53.1,64.5,147.7,201.1,201.1,209.8,231.4,264.5,366.6,843.3,39.3,256.4,3284.9,3422.5,3968.8,4274.1,4426.1,4520.0,4546.8,4906.3,5123.3,5353.4,17.3,195.6,259.9,375.3,421.4,498.4,527.1,624.2,674.2,989.3,1023.6,36752.2,0.0,2074.8,2075.1,2075.9,2122.8,2154.6,2234.2,2498.6,2747.8,2846.3,2846.3,2846.3,6.8,214.2,480.5,500.0,537.1,566.0,652.4,685.8,994.8,995.0,1343.8,1506.2,6.8607,144.6395,259.2
388,Yamayka,Ямайка,Jamaica,Ямайка,8.5,8.5,0.0,21.1,21.1,8.5,8.5,8.5,8.5,9.4,9.4,17.6,17.6,17.6,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.9,0.0,2.4,2.4,2.4,2.4,2.4,16.2,16.2,16.2,16.2,16.2,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0003,0.0005,0.0,0.0,2.3,4.5,15.6,15.6,18.1,18.1,20.4,25.4,0.0,21.06,21.1
016,Amerika Samoa,Американское Самоа,American Samoa,Aмерика Самоа,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,3.9,3.9,3.9,3.9,11.6,11.6,39.3,39.3,51.2,51.2,51.2,0.0,0.0,0.0,43.0,68.7,68.7,69.6,69.6,69.6,69.6,69.6,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Benin,Бенин,Benin,Бенин,0.0,0.0,0.0,0.0,36.6,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6
404,Keniya,Кения,Kenya,Кения,179.8,409.3,338.0,558.4,632.5,1051.9,1612.9,1735.7,2035.3,2739.4,3114.7,3832.7,4175.6,4415.1,4667.4,391.3,461.3,1073.9,1423.3,1714.4,2215.2,2719.6,2767.4,3101.8,3440.1,3745.1,4084.5,325.2,1020.1,1083.0,1237.0,2067.9,2152.3,2934.4,3182.0,3427.2,3855.4,4023.2,4243.2,248.4,583.0,764.7,1129.9,1299.5,1589.1,1955.1,2401.2,2679.8,2937.5,3404.5,3969.0,359.8,413.0,531.5,736.1,1450.0,1681.8,1886.5,2280.8,2528.7,2634.3,2727.7,3101.7,338.01500000000004,558.445,632.5
