Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,283203.0,336804.0,496403.0,624860.0,743995.0,747290.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,16192.0,16460.0,17117.0,17664.0,17925.0,18415.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,2515.0,2551.0,3109.0,3205.0,3333.0,3382.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,2197.0,2197.0,2221.0,2257.0,2278.0,2358.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,1589.0,1589.0,1589.0,1704.0,1704.0,1727.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,359.0,360.0,360.0,360.0,360.0,360.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,272.0,272.0,272.0,275.0,275.0,275.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,710.0,710.0,710.0,710.0,731.0,765.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1052.0,1255.0,1260.0,1320.0,1318.0,1456.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,155.0,155.0,159.0,170.0,170.0,170.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,202.0,202.0,200.0,199.0,199.0,199.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,476.0,476.0,476.0,505.0,505.0,533.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,529.0,529.0,529.0,529.0,580.0,635.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,365.0,365.0,365.0,365.0,365.0,365.0
