Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,26.6,30.2,34.5,40.4,48.8,58.4,65.8,75.0,82.6,86.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,28.2,29.2,33.2,41.4,49.0,56.1,63.7,68.6,75.7,81.4
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,21.5,24.9,28.2,32.6,39.9,47.0,55.6,61.4,68.3,71.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,23.9,26.4,29.5,36.9,44.8,52.2,61.4,69.4,75.0,81.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,21.4,23.6,28.3,35.0,41.6,47.8,55.6,61.4,67.5,74.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,16.4,18.9,22.5,27.6,35.8,43.6,50.3,55.3,60.6,66.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,30.0,33.4,36.9,45.6,56.0,64.4,74.4,83.9,88.8,96.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,20.3,23.6,28.0,35.3,43.1,48.6,56.5,62.9,67.2,73.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,21.4,23.9,27.6,32.6,39.2,45.9,53.5,59.1,65.0,71.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,15.6,17.8,22.2,28.4,36.9,43.4,48.9,55.4,59.9,64.3
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,27.1,28.8,35.2,42.4,52.7,59.2,68.5,75.8,82.8,86.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,9.9,12.6,12.4,17.6,34.5,42.5,50.9,56.9,64.7,68.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,21.6,24.9,29.2,34.1,41.8,51.2,74.4,86.7,93.4,88.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,22.6,25.5,32.0,39.0,47.1,53.9,62.1,68.4,75.0,80.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,103.5,118.7,129.7,135.1,139.7,174.9,151.5,185.1,209.2,209.1
