Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,21.6,25.9,27.2,27.5,26.2,18.2,17.5,22.3,28.8,37.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,22.2,23.9,25.0,24.9,24.7,16.4,18.9,23.1,23.9,30.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,11.0,12.8,18.4,18.1,21.5,13.9,11.4,14.0,21.2,25.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,26.1,30.7,30.0,29.7,27.5,19.1,17.4,20.6,22.5,28.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,19.2,23.0,20.8,19.2,19.2,12.7,10.3,10.2,15.2,19.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,13.1,20.1,20.5,20.1,18.7,12.5,14.0,30.1,38.2,46.2
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,30.7,34.1,33.0,42.5,35.3,28.4,25.3,33.2,40.6,48.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,12.3,17.9,19.0,23.2,23.3,17.2,15.1,22.6,30.5,38.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,16.2,21.7,22.3,22.3,20.8,15.2,14.3,28.5,35.6,50.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,17.7,17.9,17.2,16.9,13.3,7.2,8.0,9.8,13.1,14.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,17.7,19.6,20.2,19.8,19.7,16.6,17.8,18.7,25.3,32.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,18.9,24.2,25.4,25.8,25.4,16.9,16.7,19.5,26.3,34.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,17.4,21.8,20.6,20.8,19.2,14.1,15.7,15.8,21.6,34.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,20.5,23.8,25.5,27.2,27.4,21.3,21.6,21.0,23.3,32.4
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,37.7,42.8,44.5,43.2,39.5,27.4,25.7,28.6,38.2,47.9
