Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010-М01,2010-М02,2010-М03,2010-М04,2010-М05,2010-М06,2010-М07,2010-М08,2010-М09,2010-М10,2010-М11,2010-М12,2011-М01,2011-М02,2011-М03,2011-М04,2011-М05,2011-М06,2011-М07,2011-М08,2011-М09,2011-М10,2011-М11,2011-М12,2012-М01,2012-М02,2012-М03,2012-М04,2012-М05,2012-М06,2012-М07,2012-М08,2012-М09,2012-М10,2012-М11,2012-М12,2013-М01,2013-М02,2013-М03,2013-М04,2013-М05,2013-М06,2013-М07,2013-М08,2013-М09,2013-М10,2013-М11,2013-М12,2014-М01,2014-М02,2014-М03,2014-М04,2014-М05,2014-М06,2014-М07,2014-М08,2014-М09,2014-М10,2014-М11,2014-М12,2015-М01,2015-М02,2015-М03,2015-М04,2015-М05,2015-М06,2015-М07,2015-М08,2015-М09,2015-М10,2015-М11,2015-М12,2016-М01,2016-М02,2016-М03,2016-М04,2016-М05,2016-М06,2016-М07,2016-М08,2016-М09,2016-М10,2016-М11,2016-М12,2017-М01,2017-М02,2017-М03,2017-М04,2017-М05,2017-М06,2017-М07,2017-М08,2017-М09,2017-М10,2017-М11,2017-М12,2018-М01,2018-М02,2018-М03,2018-М04,2018-М05,2018-М06,2018-М07,2018-М08,2018-М09,2018-М10,2018-М11,2018-М12,2019-М01,2019-М02,2019-М03,2019-М04,2019-М05,2019-М06,2019-М07,2019-М08,2019-М09,2019-М10,2019-М11,2019-М12,2020-М01,2020-М02,2020-М03,2020-М04,2020-М05,2020-М06,2020-М07,2020-М08,2020-М09,2020-М10,2020-М11,2020-М12
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,101.1,101.0,100.8,101.1,100.4,99.3,99.2,100.4,100.5,101.0,100.8,101.1,100.9,100.9,100.8,101.0,100.2,99.6,99.4,100.6,100.8,101.1,100.9,101.0,100.9,101.0,100.8,101.0,100.3,99.3,99.4,99.7,100.9,101.2,101.0,101.2,101.0,101.0,100.7,101.0,100.3,99.4,98.8,100.0,101.0,101.1,101.0,101.1,101.0,100.9,100.6,100.8,100.2,99.6,98.9,99.9,101.0,101.0,101.0,101.0,100.8,100.8,100.5,100.7,100.3,99.5,98.8,99.8,101.0,101.0,101.1,101.1,100.8,100.8,100.4,100.7,100.3,99.5,98.8,99.8,101.1,101.1,101.1,101.2,100.8,101.1,100.9,101.0,100.9,100.3,100.4,100.6,101.4,101.3,102.0,102.7,102.7,101.1,101.1,100.9,100.8,99.6,99.7,100.3,101.8,101.3,102.3,102.1,101.5,101.6,101.2,100.9,100.7,99.5,99.6,102.9,101.3,101.5,101.7,101.7,100.6,100.8,101.3,101.7,100.3,99.8,99.7,100.5,101.4,101.4,101.5,101.6
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,101.7,101.5,100.6,100.5,100.2,98.6,97.3,100.1,99.6,100.3,101.4,100.3,101.4,101.6,101.4,100.1,100.2,98.9,98.8,99.7,100.9,100.8,101.4,101.3,101.2,101.5,100.7,100.2,100.0,98.5,98.7,98.7,101.2,100.8,101.8,101.9,101.5,101.3,100.8,100.1,100.2,98.4,97.3,99.4,101.2,100.7,101.6,101.5,100.9,101.7,101.0,100.4,100.0,98.7,97.2,99.3,101.4,100.5,101.4,101.4,101.0,101.4,100.6,100.9,99.4,98.5,97.0,99.2,100.9,100.6,101.2,100.7,100.6,101.3,100.2,99.7,99.9,98.0,96.7,98.9,101.5,100.7,100.8,102.0,101.2,101.9,101.3,101.3,101.1,99.0,99.3,100.6,101.8,101.7,101.5,104.4,103.5,101.1,101.3,100.3,100.2,98.2,97.7,100.3,103.3,102.3,102.7,103.2,102.8,102.0,101.5,101.0,100.5,98.2,98.7,102.3,101.4,102.8,103.0,103.3,101.0,101.3,101.9,103.3,99.8,98.8,98.7,100.3,102.2,102.3,102.4,102.4
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,100.6,100.1,100.1,100.1,101.2,100.2,103.2,100.2,100.0,100.0,100.1,103.5,100.6,100.1,100.1,100.5,100.2,100.2,100.1,102.4,100.1,100.1,100.1,100.2,100.6,100.5,100.7,100.1,100.7,100.2,100.1,100.1,100.4,100.1,100.3,100.3,100.5,100.9,100.6,100.4,100.4,100.7,100.8,100.8,100.5,100.6,100.4,100.8,102.0,100.3,100.3,100.3,100.5,100.3,100.4,100.5,100.4,100.7,100.6,100.7,100.6,100.3,100.3,100.5,100.5,100.5,100.3,100.4,100.8,100.8,101.3,102.0,100.7,100.5,100.7,100.7,100.7,100.9,100.5,100.6,100.9,100.8,101.8,100.8,100.6,100.6,100.6,100.8,101.0,101.6,101.0,100.6,101.6,101.5,103.4,101.8,102.3,101.3,101.1,100.4,100.6,100.8,101.7,100.3,100.3,100.5,101.2,101.3,100.5,101.5,100.8,101.1,100.7,100.6,100.4,102.1,100.9,100.7,100.8,100.5,100.2,100.6,100.9,100.7,100.6,100.6,100.5,100.8,101.0,100.8,100.9,100.9
1.04,Xizmatlar,Услуги,Services,Хизматлар,100.1,100.8,102.7,104.6,100.3,100.7,100.1,101.8,104.1,104.4,100.3,100.7,100.3,100.5,100.3,104.2,100.4,100.5,100.2,100.8,101.6,103.5,100.5,100.9,100.8,100.2,101.2,104.9,100.7,100.1,100.1,101.5,101.0,104.1,100.1,100.8,100.4,100.6,100.7,104.4,100.6,100.2,100.1,100.6,101.3,103.0,100.5,100.6,100.1,100.2,100.2,103.0,100.4,100.7,100.7,100.4,101.2,102.7,100.6,100.7,100.8,100.3,100.6,100.4,102.0,100.2,100.6,100.3,101.5,102.2,100.7,100.8,101.5,100.2,100.3,102.7,100.5,100.3,100.4,100.2,100.8,102.4,100.4,100.3,100.6,100.3,100.5,100.8,100.5,101.0,101.9,100.8,100.4,100.2,100.5,100.8,101.4,100.7,100.5,102.7,102.1,100.3,100.5,100.4,101.2,100.5,103.3,101.3,100.5,100.8,101.2,100.6,101.5,100.7,100.2,105.6,102.0,100.4,100.6,100.3,100.3,100.3,100.8,100.3,100.8,100.6,100.4,100.4,100.5,100.7,100.9,100.9
1.02.1,Non mahsulotlari,Хлебобулочные изделия,Bakery products,Нон маҳсулотлари,100.1,100.1,100.0,100.0,100.9,101.1,100.2,100.9,100.0,101.8,100.8,99.5,99.8,100.1,101.1,100.0,100.6,101.5,102.6,100.9,100.5,103.3,100.6,101.6,100.9,100.8,99.1,99.4,99.7,100.0,100.0,100.6,100.6,105.1,102.6,101.9,100.4,100.3,100.2,100.0,100.2,100.1,100.0,100.7,102.5,100.9,100.2,99.3,100.1,100.3,100.1,100.2,100.4,100.6,101.0,101.5,104.1,101.0,101.2,102.3,102.7,101.3,100.4,101.1,101.8,102.7,101.9,101.3,100.6,98.0,97.9,97.8,99.7,99.7,99.1,99.2,101.1,100.9,100.0,100.2,100.6,98.9,98.7,101.0,100.0,99.9,100.0,100.3,101.7,101.0,100.4,100.1,100.9,100.5,100.8,105.1,102.4,100.7,99.8,99.6,100.5,104.8,100.5,100.6,110.9,100.9,102.8,102.4,102.0,100.9,100.5,101.0,100.4,100.4,100.6,101.7,101.2,108.8,103.6,101.7,100.4,100.8,101.2,100.5,103.5,100.9,100.2,100.0,101.2,100.5,100.5,100.9
1.02.2,"Go'sht, parranda va baliq go'shti","мясо, птицы и рыбы","Meat, poultry and fish","Гўшт, парранда ва балиқ гўшти",100.2,100.7,100.7,100.7,103.0,100.0,105.3,109.0,100.3,100.0,100.8,100.2,100.2,100.1,100.2,100.0,101.2,105.2,107.0,102.2,100.9,100.2,100.1,100.0,100.0,100.5,100.0,100.1,100.1,102.9,102.1,101.7,101.3,100.4,100.1,99.6,100.1,100.5,100.2,100.2,100.2,100.4,100.9,102.2,102.8,101.0,101.8,101.2,100.6,101.5,100.4,101.2,101.4,102.2,102.3,105.5,103.3,100.4,100.4,98.6,98.2,100.2,99.9,99.4,100.0,100.0,100.1,100.3,100.3,100.0,100.2,99.5,97.8,100.4,100.3,100.1,100.2,100.3,100.5,101.0,102.5,100.6,100.2,99.9,100.0,100.0,100.4,100.9,102.5,104.5,106.1,104.9,103.9,101.5,100.8,101.3,102.1,102.2,100.8,100.8,102.4,104.3,100.9,101.1,101.4,101.1,101.5,101.3,100.9,101.5,100.7,100.5,100.7,100.8,102.8,106.3,102.7,101.7,102.0,100.9,100.4,101.9,101.7,100.2,100.9,100.4,100.4,101.9,103.8,100.7,101.5,101.2
1.02.3,Sut mahsulotlari,Молочные продукты,Dairy products,Сут маҳсулотлари,100.5,100.4,100.3,100.2,99.9,99.9,100.2,101.2,100.4,100.1,102.9,100.2,100.5,100.3,100.8,100.0,100.4,100.2,100.0,100.2,100.5,100.3,100.5,101.8,102.0,103.7,101.0,100.2,100.3,99.3,99.4,99.6,101.1,100.5,102.9,103.6,102.9,101.8,101.0,100.9,100.2,99.7,99.7,100.7,100.7,100.9,101.6,101.3,100.7,100.5,100.5,100.1,99.8,98.8,99.8,100.2,100.4,100.4,100.6,101.6,100.9,100.9,100.3,100.7,100.8,100.2,99.5,99.9,100.7,101.4,100.8,100.7,101.3,101.7,100.4,98.6,99.9,99.6,99.0,99.5,100.2,101.4,101.0,101.5,101.0,100.5,100.6,101.4,101.5,100.9,100.7,100.5,101.2,101.7,102.1,103.0,102.8,101.1,101.7,100.6,99.8,100.0,99.9,100.6,100.3,101.8,101.4,102.2,103.2,103.2,101.5,101.1,100.5,100.2,100.1,101.0,101.0,101.3,101.8,101.8,100.5,100.5,101.1,100.5,100.8,100.5,100.1,100.4,101.0,100.9,101.2,101.6
1.02.4,Tuxum,Яйцо,Eggs,Тухум,100.6,100.0,100.0,98.7,99.5,99.9,100.0,109.3,100.7,100.0,101.3,100.8,100.3,99.7,99.9,99.9,100.5,102.4,100.7,101.1,105.9,101.1,100.7,100.5,100.8,100.8,98.2,97.5,98.4,101.9,99.3,100.4,105.9,104.3,108.7,99.8,97.3,98.3,96.2,93.4,89.3,104.1,102.1,103.0,104.6,103.1,105.5,103.7,95.8,95.3,95.4,88.8,98.4,97.4,98.6,101.6,106.7,101.9,103.9,99.8,96.7,97.1,93.4,97.9,101.4,101.0,98.8,97.1,108.0,106.5,102.7,101.4,105.0,98.6,93.9,94.0,99.9,102.2,100.6,98.5,104.3,102.2,105.9,104.0,103.9,100.5,98.8,100.9,96.6,101.5,100.8,98.2,109.2,106.7,107.9,107.3,104.2,89.5,95.9,92.6,100.4,97.4,93.1,102.2,102.7,115.1,109.2,100.2,101.3,99.8,98.8,96.9,98.9,98.6,96.5,103.5,108.2,107.3,112.5,107.0,103.0,97.9,96.5,100.2,105.5,97.5,97.7,101.5,106.5,117.7,99.0,103.5
1.02.5,Yog ' va moylar,Масла и жиры,Oils and oils,Ёг ва мойлар,100.5,100.2,100.0,100.3,101.3,100.2,101.7,103.1,100.3,100.4,101.0,100.1,100.5,100.1,100.3,100.0,100.5,100.6,100.1,100.2,100.2,100.0,100.7,101.1,101.0,101.0,100.3,100.1,100.1,100.1,99.9,100.2,100.5,100.7,103.8,103.5,100.7,100.3,100.1,100.0,100.1,100.2,100.2,100.3,100.1,100.1,103.8,101.1,100.1,100.6,100.0,100.0,100.0,99.9,100.1,100.0,100.0,100.1,100.8,103.0,101.7,101.4,100.4,100.1,100.1,101.1,100.9,100.9,101.4,105.3,105.0,101.2,100.0,100.6,101.4,103.5,102.4,100.2,100.0,100.1,100.3,100.7,101.3,101.2,100.8,100.4,100.6,101.7,102.8,102.1,100.7,100.5,101.2,101.4,101.1,102.0,101.6,100.5,99.7,99.6,100.1,99.8,100.0,100.3,100.4,101.7,102.9,102.0,101.6,100.7,100.3,100.4,100.1,100.1,100.0,101.0,101.0,101.1,100.8,100.4,100.1,100.6,101.3,100.1,101.5,100.2,100.2,101.4,102.3,109.5,103.3,102.2
1.02.6,Meva va sabzavotlar,Фрукты и овощи,Fruits and vegetables,Мева ва сабзавотлар,108.1,106.5,102.0,101.6,95.4,88.8,74.3,78.9,94.1,96.9,106.3,104.9,113.1,108.3,104.8,100.6,98.1,84.9,77.0,90.6,101.8,101.8,109.3,108.3,105.0,104.7,104.6,101.9,99.9,87.8,90.6,88.6,104.0,95.4,101.8,107.4,108.6,105.0,103.4,100.2,101.1,89.9,83.1,89.9,97.4,101.2,103.6,107.8,104.4,106.9,105.1,101.6,97.2,87.9,76.5,83.1,94.7,102.4,107.5,106.8,105.5,104.6,103.2,104.0,94.3,87.5,77.9,90.1,102.1,102.4,106.8,107.0,104.4,104.5,101.2,98.7,96.0,86.7,78.1,89.1,103.7,104.3,103.6,109.7,105.3,109.9,105.8,102.7,98.0,86.2,85.1,95.4,97.4,101.8,103.2,114.2,108.0,103.5,105.0,101.8,97.7,81.8,84.8,98.2,103.8,108.3,106.5,110.0,108.3,104.0,104.5,102.4,100.4,89.4,88.9,99.5,98.9,100.1,106.5,113.7,103.9,103.2,105.0,103.9,92.7,91.6,92.1,97.1,103.0,103.2,107.8,107.3
