Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,107.5,107.3,107.2,107.0,106.4,105.5,105.6,109.5,117.5,114.5,112.9
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,106.9,103.5,105.1,104.9,103.9,102.8,99.6,107.8,120.1,116.9,117.2
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,103.0,108.3,104.9,105.5,107.6,106.3,110.2,111.7,117.1,111.1,109.1
1.04,Xizmatlar,Услуги,Services,Хизматлар,115.9,117.6,116.2,115.0,111.6,111.1,111.6,109.0,112.1,115.5,110.6
1.02.1,Non mahsulotlari,Хлебобулочные изделия,Bakery products,Нон маҳсулотлари,102.8,108.1,110.4,110.7,106.9,118.0,98.0,102.9,120.0,126.1,125.0
1.02.2,"Go'sht, parranda va baliq go'shti","мясо, птицы и рыбы","Meat, poultry and fish","Гўшт, парранда ва балиқ гўшти",108.3,120.6,113.1,108.7,118.8,105.7,100.5,117.2,128.5,119.9,121.8
1.02.3,Sut mahsulotlari,Молочные продукты,Dairy products,Сут маҳсулотлари,105.0,106.4,110.5,114.3,105.8,105.9,105.1,109.1,116.1,117.0,112.8
1.02.4,Tuxum,Яйцо,Eggs,Тухум,110.3,112.1,110.6,101.0,90.7,94.0,107.9,121.1,109.4,117.1,144.1
1.02.5,Yog ' va moylar,Масла и жиры,Oils and oils,Ёг ва мойлар,98.6,106.6,106.3,110.1,105.9,111.9,119.7,113.4,110.7,110.2,113.0
1.02.6,Meva va sabzavotlar,Фрукты и овощи,Fruits and vegetables,Мева ва сабзавотлар,113.2,70.6,89.5,89.4,80.3,73.8,77.6,91.5,122.3,112.0,111.4
1.02.7,"Shakar, choy, qandolat va boshqa oziq-ovqat mahsulotlari","Сахар, чай, кондитерские и другие продукты питания","Sugar, tea, confectionery and other food products","Шакар, чой, қандолат ва бошқа озиқ-овқат маҳсулотлари",119.6,108.9,99.7,101.3,103.2,104.0,110.2,113.4,109.9,108.5,110.7
1.02.8,Alkogolsiz ichimliklar,Безалкогольные напитки,Soft drinks,Aлкоголсиз ичимликлар,103.9,102.6,101.4,105.2,107.3,105.7,105.3,106.5,107.0,108.6,109.6
1.02.9,Spirtli ichimliklar,Алкогольные напитки,Alcohol,Спиртли ичимликлар,101.2,100.8,101.9,105.2,107.2,104.7,108.3,111.5,119.3,113.3,110.2
1.02.10,Umumiy ovqatlanish,Общее питание,Public catering,Умумий овқатланиш,103.6,101.4,102.3,104.7,105.9,103.4,106.7,106.8,113.9,119.3,116.4
1.03.1,Kiyim,Одежда,Dress,Кийим,102.1,101.3,103.2,106.3,107.3,108.3,111.0,112.4,117.1,111.0,108.5
1.03.2,Oyoq kiyim,Обувь,Footwear,Оёқ кийим,103.5,100.8,102.7,104.1,107.1,107.6,110.2,111.8,114.4,110.0,107.7
1.03.3,Gazlama va eshilgan iplar,Ткани и пряжа,Fabrics and yarns,Газлама ва эшилган иплар,104.0,101.2,102.3,106.1,106.4,107.2,108.4,113.5,113.2,112.0,108.4
1.03.4,Maishiy to'qimachilik mahsulotlari,Бытовой текстиль,Household textiles,Маиший тўқимачилик маҳсулотлари,104.2,101.3,102.7,105.5,107.6,108.5,110.7,110.5,115.1,111.4,107.9
1.03.5,Madaniy mollar,Культтовары,Cultural goods,Маданий моллар,103.3,100.9,102.3,104.5,104.6,106.8,112.7,110.3,107.6,109.7,106.6
1.03.6,Dori-darmonlar,Медикаменты,Medication,Дори-дармонлар,103.3,103.0,102.6,103.1,104.0,105.8,107.5,107.6,111.9,105.3,112.5
1.03.7,Shaxsiy gigiena vositalari,Товары личной гигиены,Personal hygiene products,Шахсий гигиена воситалари,104.8,102.7,104.0,104.5,107.8,108.2,113.9,114.2,116.1,110.3,109.8
1.03.8,Tamaki mahsulotlari,Табачные изделия,Tobacco products,Тамаки маҳсулотлари,107.9,101.3,101.2,101.0,102.4,105.5,110.7,114.6,127.1,116.9,113.4
1.03.9,Avtomobillar uchun yoqilg'i,Горючее для автомобилей,Fuel for cars,Aвтомобиллар учун ёқилғи,102.3,129.1,107.2,102.4,122.5,102.5,104.8,118.6,130.4,120.8,110.0
