Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,101.3,104.7,105.6,103.9,102.6,103.5,110.4,113.0,104.7,100.6,98.6,99.3,98.7,98.4,98.7,99.4,103.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,101.2,101.7,102.8,100.3,102.1,102.7,109.6,113.7,105.0,100.4,99.1,99.2,98.5,98.7,98.7,98.7,101.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,104.1,103.3,104.1,103.3,103.7,104.9,107.2,112.0,106.9,101.6,99.7,98.8,98.2,99.2,98.7,98.1,102.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,100.5,100.9,103.1,101.9,104.6,104.2,106.2,110.4,106.6,100.6,100.9,100.3,97.6,98.8,99.1,98.7,101.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,100.6,104.5,103.6,100.5,100.9,103.7,109.0,108.7,107.9,101.1,100.6,98.6,98.5,99.2,97.9,99.4,101.7
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,100.7,103.0,103.1,100.7,105.6,103.4,106.5,109.8,106.8,101.7,99.7,99.6,98.7,98.5,98.6,98.5,102.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,100.8,100.7,101.8,102.6,101.6,102.8,107.9,109.2,107.7,99.8,101.0,99.3,98.4,98.6,98.3,99.1,102.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,100.8,103.4,104.8,101.6,102.1,103.5,108.8,110.6,107.5,100.7,100.1,99.1,97.7,99.8,97.1,99.5,104.7
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,103.9,103.0,103.4,103.1,102.3,102.0,112.0,113.3,104.7,100.9,99.0,98.9,98.4,98.9,98.4,99.5,104.3
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,100.5,101.7,104.1,104.2,105.7,104.2,106.9,109.7,106.0,101.7,100.9,100.0,98.6,98.0,98.1,99.1,101.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,100.6,101.7,101.4,101.6,102.0,103.8,107.5,109.9,105.9,101.2,98.9,98.8,99.0,99.0,97.9,97.5,105.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,105.5,102.1,104.2,103.4,101.9,104.6,107.2,109.2,104.0,100.3,100.1,99.6,98.4,97.4,99.2,99.4,102.4
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,101.3,103.3,104.4,101.6,102.5,103.4,107.7,108.7,106.7,101.7,99.7,99.6,98.0,98.2,98.5,99.0,103.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,101.1,102.1,103.3,102.2,102.0,102.7,107.5,108.4,107.4,101.3,99.5,98.6,99.6,99.0,97.1,98.1,101.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,100.4,106.3,107.1,104.9,102.3,103.8,112.0,115.0,104.4,100.3,98.2,99.3,99.0,98.3,98.8,99.7,103.3
