Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,100.4,100.7,101.4,99.6,101.6,102.7,101.9,101.2,104.6,105.2,103.3,102.5,103.3,110.1,113.0,104.1,100.4,100.0,99.8,98.7,98.3,98.6,99.9,103.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,100.6,102.0,108.5,106.9,101.1,100.0,100.0,100.0,100.9,101.6,100.0,103.6,103.3,109.9,113.5,104.8,99.7,99.0,99.2,98.0,98.1,99.1,99.1,100.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,101.8,102.4,101.3,100.6,103.2,107.7,102.5,103.3,101.8,102.0,101.8,103.9,103.7,107.1,111.8,106.0,101.8,99.5,98.5,98.7,99.2,98.5,102.6,102.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,99.9,102.8,103.0,97.5,100.1,100.8,101.5,100.7,100.6,103.1,102.5,102.7,103.2,106.9,110.6,105.7,101.0,101.1,99.9,97.5,99.6,98.8,98.6,102.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,100.1,100.2,100.4,101.1,99.5,100.2,100.5,100.7,105.0,102.0,100.0,100.7,103.5,108.3,108.5,109.0,101.0,100.6,98.0,97.8,100.1,99.1,100.7,102.7
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,100.0,100.6,100.8,100.4,100.2,100.8,100.9,100.8,103.8,102.4,100.1,109.5,104.1,104.5,108.1,106.8,101.2,100.3,99.2,99.0,98.8,97.9,99.2,101.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,101.3,100.7,100.9,101.3,105.0,100.6,100.9,101.0,100.9,101.7,101.8,101.7,103.5,107.2,109.1,107.7,99.4,101.3,100.1,99.2,99.0,97.9,99.5,102.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,100.0,100.3,101.4,100.2,100.4,101.7,100.7,100.4,103.5,104.8,101.7,101.8,103.2,110.9,112.0,107.9,101.6,99.5,100.3,98.2,98.7,97.4,102.6,103.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,101.2,100.6,103.0,99.9,104.9,105.9,106.5,103.8,103.1,103.1,103.1,102.8,102.0,111.9,113.5,104.6,100.6,98.2,99.1,98.7,98.4,97.7,100.7,105.1
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,100.0,100.2,100.6,100.5,101.1,100.5,100.9,100.2,102.2,105.0,103.6,106.9,103.7,107.5,110.5,104.2,101.8,100.8,100.8,99.2,98.5,97.8,99.6,102.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,100.0,99.8,100.4,103.3,100.0,100.0,100.0,100.0,100.4,100.0,100.0,102.1,104.0,107.7,109.4,105.1,101.4,98.4,98.9,99.3,99.5,98.3,99.4,106.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,100.0,101.7,104.1,100.4,100.1,100.0,100.2,104.0,101.7,101.9,100.7,101.4,104.4,107.1,109.2,103.6,100.6,100.8,100.2,99.8,97.1,98.7,99.4,103.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,100.6,100.4,100.6,100.3,100.9,100.5,100.1,101.5,102.6,104.3,101.6,103.1,103.3,106.5,108.1,105.9,101.8,99.7,99.9,98.1,98.4,98.4,100.5,103.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,100.1,100.3,101.2,99.1,102.0,101.5,101.0,101.2,101.9,103.2,102.5,102.2,102.9,106.8,106.8,107.4,101.5,99.5,98.6,99.9,98.4,97.0,99.8,102.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,100.0,100.3,100.4,97.5,100.1,103.1,100.8,100.5,106.3,106.7,104.1,101.6,103.5,111.7,115.3,103.5,100.3,100.1,100.0,98.6,98.3,98.9,99.8,103.7
