Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019-М01,2019-М02,2019-М03,2019-М04,2019-М05,2019-М06,2019-М07,2019-М08,2019-М09,2019-М10,2019-М11,2019-М12,2020-М01,2020-М02,2020-М03,2020-М04,2020-М05,2020-М06,2020-М07,2020-М08,2020-М09,2020-М10,2020-М11,2020-М12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M1,2024-M2,2024-M3,2024-M4,2024-M5,2024-M6,2024-M7,2024-M8,2024-M9,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
6,Yig‘ma indeks,Сводный индекс,Composite index,Йиғма индекс,103.6,105.2,92.3,108.8,101.1,105.1,113.9,94.8,106.5,95.3,101.4,87.0,101.9,101.4,102.3,101.4,101.7,101.2,103.2,100.2,100.7,100.6,101.8,103.5,103.0,102.7,100.9,101.0,101.2,101.4,102.3,100.3,101.9,101.2,102.1,101.7,101.0,100.7,101.6,102.4,102.0,102.0,101.2,101.5,100.8,100.1,100.5,100.7,101.6,100.9,98.7,100.7,101.5,100.8,100.7,100.4,100.8,100.7,101.4,100.6,101.1,102.0,100.9,100.7,102.0,102.0,100.1,100.4,100.9,100.4,100.0,100.5,102.1,101.2,101.0,100.1,100.4,100.3,100.6,101.2,98.6,102.4,99.1,101.6,101.2,100.2,100.3
01.0,TIRIK HAYVONLAR; HAYVONLARDAN OLINGAN MAHSULOTLAR,ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ,LIVE ANIMALS; ANIMAL PRODUCTS,ТИРИК ҲАЙВОНЛАР; ҲАЙВОНЛАРДАН ОЛИНГАН МАҲСУЛОТЛАР,98.8,100.6,92.5,103.4,111.1,102.7,100.4,94.5,97.5,104.6,100.0,100.3,100.0,100.2,99.0,100.0,100.6,100.2,100.7,100.5,100.3,99.2,100.6,100.5,99.7,99.9,98.6,100.9,103.2,100.9,100.9,100.3,100.7,102.8,102.9,101.7,100.4,99.8,100.2,100.3,100.6,101.7,100.4,100.6,100.4,99.9,100.7,100.0,99.7,100.5,100.2,100.5,98.4,100.9,99.9,100.0,100.1,100.6,100.5,100.6,100.8,100.7,99.3,101.1,100.8,100.0,100.8,100.8,100.9,100.6,99.6,100.0,101.3,100.8,101.9,103.6,100.3,98.9,100.3,100.6,100.0,99.6,99.4,100.1,101.2,100.7,99.6
01.1,TIRIK HAYVONLAR,ЖИВЫЕ ЖИВОТНЫЕ,LIVE ANIMALS,ТИРИК ҲАЙВОНЛАР,100.0,100.0,87.1,100.9,117.8,100.4,100.0,87.7,93.3,110.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.1,97.8,100.6,101.7,100.3,100.3,100.2,99.2,102.8,101.2,100.0,100.2,99.7,101.2,98.2,100.0,100.0,99.6,99.9,100.0,100.3,100.4,100.3,100.0,100.7,100.9,100.1,100.0,100.1,100.0,100.0,100.4,100.1,100.2,99.9,98.9,101.6,98.4,100.6,100.1,100.7,100.3,98.8,100.2,101.0,96.2,100.9,98.3,99.0,99.7,99.9,100.2,100.0,103.4,99.8,99.2,99.2,97.3,100.1,100.4,99.2,100.4
01.2,GO'SHT VA GO'SHT MAHSULOTLARI,МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ.,MEAT AND  MEAT PREPARATIONS,ГЎШТ ВА ГЎШТ МАҲСУЛОТЛАРИ,101.0,100.1,100.1,100.0,100.0,118.9,99.2,107.1,99.7,99.5,101.1,100.0,100.0,99.7,99.6,101.0,97.2,99.7,100.0,104.5,100.6,100.0,101.9,101.5,98.9,101.4,99.3,100.7,106.1,101.5,102.2,100.1,101.0,104.9,105.2,103.3,100.3,99.6,100.6,99.6,100.8,103.0,101.2,101.1,99.8,98.9,100.3,99.3,99.3,100.5,99.6,100.7,98.2,101.7,100.4,100.0,99.1,101.0,100.8,100.1,101.5,100.7,99.8,100.3,101.0,100.0,100.6,101.7,100.9,101.0,99.8,99.7,101.8,100.6,101.7,104.4,100.5,98.6,99.4,100.8,100.7,99.9,99.7,99.7,101.5,100.9,99.9
01.3,"BALIQ VA QISQICHBAQASIMONLAR, MOLLYUSKALAR VA BOSHQA SUV UMURTQASIZLARI","РЫБА И РАКООБРАЗНЫЕ, МОЛЛЮСКИ И ПРОЧИЕ ВОДНЫЕ БЕСПОЗВОНОЧНЫЕ","FISH, CRUSTACEANS, MOLLUSCS AND AQUATIC INVERTEBRATES, AND PREPARATIONS THEREOF","БАЛИҚ ВА ҚИСҚИЧБАҚАСИМОНЛАР, МОЛЛЮСКАЛАР ВА БОШҚА СУВ УМУРТҚАСИЗЛАРИ",105.8,99.5,100.6,107.8,99.8,104.5,100.1,99.5,107.3,101.2,104.7,108.8,100.0,100.8,84.2,100.0,100.0,100.4,103.3,99.8,99.9,76.6,99.6,106.6,99.0,101.8,100.6,99.8,103.0,98.4,101.7,99.3,101.6,101.2,104.3,104.3,99.3,99.1,97.0,102.9,101.5,101.5,99.0,99.0,102.8,99.9,100.8,97.2,104.3,99.5,101.1,99.1,100.4,102.9,99.3,100.0,99.6,105.0,103.1,99.9,101.8,98.1,100.4,100.5,102.5,102.6,107.7,98.8,100.7,98.5,101.6,99.8,102.2,103.6,102.2,102.6,98.4,97.3,99.5,99.2,100.1,101.0,99.6,100.7,98.3,103.9,99.3
01.4,SUT MAHSULOTLARI; PARRANDA TUXUMLARI; TABIIY ASAL; BOSHQA JOYLARDA NOMI QAYD ETILMAGAN VA BOSHQA GURUHLARGA KIRITILMAGAN  HAYVONLARDAN OZIQ-OVQAT MAHSULOTLARI,"МОЛОЧНАЯ ПРОДУКЦИЯ; ЯЙЦА ПТИЦ; МЕД НАТУРАЛЬНЫЙ; ПИЩЕВЫЕ ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ","DAIRY PRODUCTS AND BIRDS’ EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",СУТ МАҲСУЛОТЛАРИ; ПАРРАНДА ТУХУМЛАРИ; ТАБИИЙ АСАЛ; БОШҚА ЖОЙЛАРДА НОМИ ҚАЙД ЭТИЛМАГАН ВА БОШҚА ГУРУҲЛАРГА КИРИТИЛМАГАН  ҲАЙВОНЛАРДАН ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,89.5,104.4,101.1,103.3,107.7,96.2,103.6,102.6,104.5,96.6,97.2,98.4,100.2,101.6,97.7,99.0,108.4,101.9,104.4,98.4,101.4,100.1,101.8,100.5,100.8,103.5,98.7,102.5,100.6,101.7,99.2,102.3,103.6,98.1,101.4,101.4,101.5,100.8,97.1,108.5,101.7,103.0,100.6,100.9,101.6,102.0,102.4,101.2,99.8,99.4,101.1,99.8,96.5,99.1,97.4,100.0,104.0,98.8,97.5,104.0,100.3,100.9,98.0,103.7,100.4,99.1,100.8,100.1,101.4,99.6,101.2,100.2,102.1,103.2,104.9,104.3,100.2,99.8,101.3,100.9,98.3,98.3,99.7,101.6,100.9,100.0,97.6
01.5,BOSHQA JOYLARDA NOMI QAYD ETILMAGAN VA BOSHQA GURUHLARGA KIRITILMAGAN  HAYVONLARDAN OZIQ-OVQAT MAHSULOTLARI,"ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ","PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",БОШҚА ЖОЙЛАРДА НОМИ ҚАЙД ЭТИЛМАГАН ВА БОШҚА ГУРУҲЛАРГА КИРИТИЛМАГАН  ҲАЙВОНЛАРДАН ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.0,100.0,100.0,137.8,100.0,100.0,100.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,98.4,100.0,98.1,100.1,100.0,88.6,99.9,99.9,100.2,101.7,100.0,101.4,100.0,97.7,101.3,98.1,100.0,99.9,112.0,100.0,100.0,102.0,100.0,113.8,100.1,108.2,99.9,100.1,106.5,100.0,93.6,100.0,116.2,99.9,100.0,100.0,100.9,109.5,102.0,100.0,100.7,99.8,99.5,101.9,100.0,100.0,100.0,100.0,100.0,104.1,100.0,99.3,100.0,100.0,99.9,100.8,99.9,100.8,99.9,100.0,100.0
02.,О‘SIMLIKLARDAN OLINGAN MAHSULOTLAR,РАЗДЕЛ II. ПРОДУКТЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ,PLANT PRODUCTS,ЎСИМЛИКЛАРДАН ОЛИНГАН МАҲСУЛОТЛАР,99.6,106.5,101.5,104.3,100.8,107.4,98.5,100.2,101.6,100.6,100.0,99.7,98.6,98.2,105.1,102.2,100.2,100.0,114.1,94.6,99.1,102.2,99.3,111.8,100.9,102.3,101.4,100.5,99.7,100.2,100.4,103.3,102.7,102.9,105.5,101.3,103.2,101.3,102.5,102.3,103.6,105.2,104.0,99.5,99.5,97.9,99.5,99.3,100.3,100.1,98.0,97.2,98.9,99.3,99.2,101.0,101.0,102.4,102.6,103.6,98.1,98.2,99.1,99.8,105.0,100.9,99.2,100.6,101.1,102.1,99.5,99.1,98.7,101.3,99.1,103.8,103.0,102.4,99.9,100.1,98.1,100.2,98.7,101.4,102.5,101.6,101.2
02.1,"DARAXTLAR VA BOSHQA O'SIMLIKLAR, ILDIZPOYALAR, ILDIZLAR VA O'SIMLIKLARNING BOSHQA O'XSHASH QISMLARI; KESILGAN GULLAR VA DEKORATIV KO'KATLAR","ЖИВЫЕ ДЕРЕВЬЯ И ДРУГИЕ РАСТЕНИЯ; ЛУКОВИЦЫ, КОРНИ И ПРОЧИЕ АНАЛОГИЧНЫЕ ЧАСТИ РАСТЕНИЙ; СРЕЗАННЫЕ ЦВЕТЫ И ДЕКОРАТИВНАЯ ЗЕЛЕНЬ","LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","ДАРАХТЛАР ВА БОШҚА ЎСИМЛИКЛАР, ИЛДИЗПОЯЛАР, ИЛДИЗЛАР ВА ЎСИМЛИКЛАРНИНГ БОШҚА ЎХШАШ ҚИСМЛАРИ; КEСИЛГАН ГУЛЛАР ВА ДEКОРАТИВ КЎКАТЛАР",100.0,100.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,148.6,67.1,129.5,100.3,83.5,99.8,100.0,91.3,102.6,100.0,100.0,100.0,101.2,128.4,102.7,99.0,102.5,102.2,96.1,98.1,99.6,100.9,114.3,89.2,105.7,101.0,107.4,92.1,93.4,98.7,99.0,98.7,112.4,97.2,104.4,104.4,102.3,98.7,106.8,99.6,105.4,99.1,94.2,100.0,100.8,98.2,100.7,108.8,104.2,105.3,106.7,98.8,108.0,98.0,94.7,100.7,98.6,103.8,98.5,101.2,98.6,101.3,100.7,99.6,100.1,101.9,97.5,100.9,98.3,105.2,99.5,97.8,114.0,100.3,99.6
02.2,ISTE'MOLGA YAROQLI BA'ZI SABZAVOT ILDIZMEVALARI VA QULUPNAYDOSHLAR,ОВОЩИ И НЕКОТОРЫЕ СЪЕДОБНЫЕ КОРНЕПЛОДЫ И КЛУБНЕПЛОДЫ,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,ИСТEЪМОЛГА ЯРОҚЛИ БАЪЗИ САБЗАВОТ ИЛДИЗМEВАЛАРИ ВА ҚУЛУПНАЙДОШЛАР,100.0,107.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.4,101.6,106.4,98.8,98.4,103.1,100.1,101.1,100.2,113.4,96.9,101.3,100.0,103.7,103.3,97.7,100.0,100.7,99.6,92.3,100.3,100.0,100.2,105.9,94.2,99.8,104.0,96.9,100.7,101.3,100.0,102.0,102.3,100.2,99.8,100.9,104.8,92.0,101.2,103.3,99.1,101.4,99.9,96.1,100.5,100.4,101.4,100.9,104.6,103.2,101.3,102.0,98.9,98.0,106.4,98.3,99.8,99.8,99.4,99.8,100.2,99.0
