Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013-М01,2013-М02,2013-М03,2013-М04,2013-М05,2013-М06,2013-М07,2013-М08,2013-М09,2013-М10,2013-М11,2013-М12,2014-М01,2014-М02,2014-М03,2014-М04,2014-М05,2014-М06,2014-М07,2014-М08,2014-М09,2014-М10,2014-М11,2014-М12,2015-М01,2015-М02,2015-М03,2015-М04,2015-М05,2015-М06,2015-М07,2015-М08,2015-М09,2015-М10,2015-М11,2015-М12,2016-М01,2016-М02,2016-М03,2016-М04,2016-М05,2016-М06,2016-М07,2016-М08,2016-М09,2016-М10,2016-М11,2016-М12,2017-М01,2017-М02,2017-М03,2017-М04,2017-М05,2017-М06,2017-М07,2017-М08,2017-М09,2017-М10,2017-М11,2017-М12,2018-М01,2018-М02,2018-М03,2018-М04,2018-М05,2018-М06,2018-М07,2018-М08,2018-М09,2018-М10,2018-М11,2018-М12,2019-М01,2019-М02,2019-М03,2019-М04,2019-М05,2019-М06,2019-М07,2019-М08,2019-М09,2019-М10,2019-М11,2019-М12,2020-М01,2020-М02,2020-М03,2020-М04,2020-М05,2020-М06,2020-М07,2020-М08,2020-М09,2020-М10,2020-М11,2020-М12,2021-М01,2021-М02,2021-М03,2021-М04,2021-М05,2021-М06,2021-М07,2021-М08,2021-М09,2021-М10,2021-М11,2021-М12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-М01,2023-М02,2023-М03,2023-М04,2023-М05,2023-М06,2023-М07,2023-М08,2023-М09,2023-М10,2023-М11,2023-М12,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
001,Guruch,Рис,Rice,Гуруч,2511.0,2504.7,2514.4,2512.8,2534.1,2557.3,2618.9,2707.0,2736.3,2784.7,2764.9,2790.7,2846.7,2919.6,2970.7,2996.9,3021.9,3074.4,3225.3,3490.4,3742.5,3979.6,4068.4,4449.4,4649.6,4823.7,4979.6,5219.5,5925.2,6171.6,6313.2,6291.5,6087.9,5303.3,4599.1,4218.4,4054.7,4084.9,4076.8,4077.4,4183.8,4275.6,4298.1,4276.0,4279.1,4199.2,3996.2,3807.6,3811.1,3806.1,3761.2,3712.3,3691.7,3622.5,3617.7,3593.9,3618.5,3669.5,3795.9,5380.1,5640.6,5751.8,5712.1,5669.9,6013.9,6841.9,7430.4,7569.6,7533.5,7701.1,8047.7,8254.8,8668.5,8760.9,8759.0,8841.1,8891.9,9011.9,9179.9,9378.7,9622.8,9519.3,9089.8,8911.4,8734.8,8680.7,8660.6,8816.0,8981.4,9015.0,9062.9,9245.9,9543.0,9697.5,9546.5,9602.8,9556.4,9560.5,9583.5,9652.1,9693.9,9680.4,9683.3,9698.3,9633.3,9495.9,9457.3,9302.9,9339.8,9397.0,9427.9,9166.5,9335.9,9623.8,9847.7,10440.9,10878.4,11413.1,11627.5,12019.9,14318.6,15623.7,16635.4,17292.5,18079.1,18705.6,18988.0,19291.2,19516.4,19396.5,19253.1,19204.7,19184.4,18894.3,18794.3,18944.9,19123.8,19182.5,19318.4,19418.4,19552.2,19143.5,18531.5,18170.3,18007.8,17885.3,17825.1,17783.2,17618.8,17568.8,17497.6,17428.1,17325.2,16906.9,16164.7,15657.7,15236.8,15017.2,14890.4,14686.1
003,Arpa,Ячмень,Barley,Арпа,1023.8,1037.3,1047.1,1071.3,1055.1,1004.2,955.7,968.3,971.4,982.2,988.0,1011.4,1032.9,1052.5,1068.6,1093.5,1115.4,1115.2,1084.0,1056.5,1090.5,1113.6,1125.2,1153.2,1201.3,1238.3,1277.6,1304.6,1354.6,1369.0,1287.9,1257.0,1268.1,1280.1,1289.9,1321.7,1351.7,1368.1,1386.0,1389.3,1403.7,1390.1,1330.0,1285.5,1283.3,1287.0,1320.1,1344.9,1382.1,1414.1,1434.5,1474.0,1517.3,1542.4,1544.2,1551.0,1540.1,1556.9,1581.2,1682.2,1793.2,1848.2,1914.8,1921.8,1894.8,1883.7,1922.5,1939.8,1988.8,2019.9,2093.2,2149.8,2277.5,2254.0,2304.5,2310.5,2316.8,2317.0,2354.1,2325.9,2321.9,2328.1,2363.8,2397.6,2439.7,2443.2,2467.4,2584.8,2863.8,2858.8,2744.8,2774.3,2786.2,2792.0,2806.1,2830.3,2842.8,2873.1,2911.4,3011.2,3145.4,3175.9,3165.2,3176.8,3178.4,3222.2,3365.7,3501.8,3499.3,3543.2,3641.3,3754.5,3901.7,4008.4,4006.1,4126.2,4107.0,4180.4,4410.6,4418.3,4275.8,4436.0,4456.2,4455.8,4380.5,4307.3,4199.8,4144.7,4155.7,4159.4,4062.8,3985.0,3928.6,3892.7,3903.7,3883.8,3866.0,3842.1,3795.4,3708.9,3693.1,3694.6,3690.0,3692.9,3697.6,3729.5,3839.1,4019.1,4063.1,4004.0,3988.2,4081.1,4119.6,4121.0,4165.6,4219.5,4263.4,4300.5,4341.6,4362.2
0004,Bug'doy,Пшеница,Wheat,Буғдой,908.2,957.7,979.8,979.2,976.7,945.5,855.0,830.8,841.4,855.5,872.3,892.4,912.8,941.7,965.2,998.2,1000.3,991.8,950.5,918.9,930.0,953.5,982.1,1033.4,1088.8,1129.1,1185.5,1225.6,1291.6,1276.7,1208.8,1218.1,1231.9,1247.2,1282.6,1301.5,1334.4,1372.5,1390.7,1409.8,1423.6,1378.1,1281.5,1254.4,1242.1,1256.1,1321.7,1353.4,1388.8,1415.9,1444.0,1481.6,1531.7,1557.7,1508.5,1463.9,1491.3,1534.5,1556.5,1637.5,1808.5,1888.9,1932.1,1916.0,1910.3,1916.1,1865.8,1862.1,1919.4,1938.7,2044.1,2146.4,2235.8,2248.2,2277.4,2297.4,2307.9,2307.7,2228.5,2080.2,2090.3,2133.5,2330.8,2386.2,2438.0,2457.6,2582.6,2967.9,3274.2,3178.4,3004.0,3158.9,3219.5,3238.3,3249.1,3261.0,3254.8,3261.3,3260.2,3346.2,3444.4,3377.5,3232.0,3198.5,3203.4,3259.5,3403.5,3515.3,3586.1,3677.6,3738.6,3880.0,4036.1,4387.3,4356.6,4352.6,4325.2,4342.0,4389.2,4410.1,4237.9,4254.1,4267.0,4241.9,4184.7,4133.0,3872.5,3736.0,3676.8,3715.1,3672.9,3645.9,3619.0,3599.0,3592.8,3603.6,3592.0,3527.8,3358.8,3259.2,3264.1,3295.6,3319.1,3333.0,3334.0,3370.4,3429.7,3544.6,3587.9,3533.8,3452.0,3494.5,3505.9,3542.3,3681.1,3778.3,3870.3,3935.9,3987.3,4031.8
005,Jo'hori,Кукуруза,Corn,Жўҳори,1024.1,1048.9,1054.1,1058.3,1034.1,1006.2,980.6,1001.8,1005.9,986.9,997.8,1002.4,1028.3,1063.3,1093.3,1147.2,1200.2,1254.9,1306.1,1348.3,1336.8,1278.1,1272.1,1309.2,1360.1,1372.9,1402.0,1470.2,1591.3,1618.8,1658.4,1675.7,1649.4,1542.5,1507.2,1470.5,1463.3,1466.6,1500.6,1515.8,1562.0,1569.8,1555.5,1537.6,1498.3,1468.9,1470.0,1487.1,1498.5,1530.6,1567.2,1623.9,1683.3,1737.5,1840.7,1877.6,1885.4,1862.5,1892.0,1994.0,2084.3,2128.2,2169.1,2168.1,2174.6,2276.7,2455.6,2544.0,2538.8,2466.5,2474.0,2515.9,2550.3,2557.5,2617.9,2656.3,2742.8,2784.2,2797.1,2834.0,2776.2,2727.7,2696.1,2705.5,2743.8,2749.2,2789.1,2972.5,3215.1,3252.6,3277.1,3453.4,3437.2,3390.0,3343.2,3319.8,3313.0,3334.2,3383.8,3505.6,3652.6,3684.5,3695.4,3691.2,3645.8,3587.0,3618.4,3692.8,3698.7,3749.7,3791.3,3952.2,4099.9,4320.1,4497.1,4539.5,4442.2,4398.0,4383.2,4380.2,4193.6,4242.8,4294.6,4379.4,4376.4,4447.1,4357.5,4189.3,4047.5,3958.4,3859.5,3796.2,3699.3,3585.2,3598.1,3643.2,3673.1,3698.0,3707.9,3723.3,3708.5,3664.9,3659.4,3671.4,3681.5,3730.1,3911.1,4331.4,4477.9,4516.1,4667.7,4779.3,4559.5,4458.9,4462.5,4493.9,4540.7,4592.2,4653.9,4743.8
006,Kepak,Отруби,Bran,Кепак,696.7,699.4,703.2,701.4,702.0,675.9,659.8,664.1,682.8,685.6,686.1,700.6,723.6,749.0,761.7,770.9,776.0,779.2,763.6,750.3,762.8,781.7,801.4,821.6,837.4,855.0,871.3,889.8,923.3,919.4,894.2,904.2,907.8,901.6,937.2,958.4,939.2,950.0,971.5,972.4,984.4,971.5,945.3,927.4,937.7,960.0,986.7,994.4,1008.5,1021.0,1044.1,1078.2,1112.6,1160.0,1199.2,1161.0,1219.0,1230.0,1223.2,1269.3,1340.6,1393.6,1422.4,1428.9,1456.7,1455.2,1479.5,1510.1,1536.6,1576.6,1623.3,1634.1,1708.8,1718.5,1705.3,1683.0,1695.0,1694.5,1690.0,1755.5,1755.8,1756.7,1767.6,1794.0,1799.9,1820.4,1835.5,1904.2,1992.8,2007.1,1989.2,2011.7,2034.0,2084.6,2107.9,2137.1,2114.0,2114.7,2168.9,2352.6,2489.2,2499.7,2510.1,2533.0,2546.4,2566.9,2626.4,2682.0,2670.2,2741.0,2776.9,2833.5,2868.9,2939.9,2951.1,3070.3,3082.2,3145.0,3167.8,3188.3,3119.7,3152.5,3168.8,3175.9,3193.5,3298.6,3273.3,3253.2,3238.7,3223.0,3199.6,3164.3,3127.6,3080.8,3059.0,3041.7,3049.6,3042.3,3015.6,2985.5,2970.9,2948.6,2903.1,2885.6,2875.2,2886.7,2965.9,3137.0,3179.9,3173.1,3174.4,3208.9,3198.5,3193.0,3206.1,3251.9,3363.9,3429.6,3453.6,3489.8
0008,Shrot,Шрот,Schroth,Шрот,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.1,2598.3,2573.2,2585.9,2578.2,2579.1,2608.7,2669.1,2737.2,2835.5,2935.7,2941.5,2915.0,2912.9,2919.8,2951.3,2978.3,2996.2,3016.8,3038.3,3083.5,3134.0,3151.3,3151.8,3141.4,3144.8,3048.9,3169.1,3337.4,3364.1,3431.4,3474.0,3500.2,3517.8,3553.4,3606.3,3587.2,3622.3,3657.0,3712.7,3747.9,3840.8,3902.2,3964.5,3983.5,4089.6,4171.4,4218.1,4364.8,4407.6,4443.3,4484.7,4533.1,4576.7,4584.2,4577.5,4577.1,4592.9,4585.5,4558.7,4535.4,4481.2,4473.4,4465.4,4510.1,4542.3,4568.7,4607.4,4749.5,4804.6,4640.8,4621.3,4610.1,4612.7,4785.0,5026.0,5119.0,5175.7,5258.3,5352.2,5389.4,5393.7,5262.2,5176.4,5139.2,5221.1,5252.4,5271.2
009,Shulxa,Шелуха,Husk,Шулха,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.3,2036.7,2046.6,2019.2,2012.1,2041.8,2059.3,2067.0,2147.6,2231.7,2310.6,2342.3,2315.2,2303.9,2309.3,2348.9,2372.8,2374.0,2386.5,2397.1,2438.6,2466.6,2462.9,2461.2,2448.5,2460.3,2497.2,2640.4,2840.0,2882.3,2910.4,2934.2,2963.4,2975.4,3029.1,3086.9,3068.3,3113.1,3196.0,3233.8,3256.4,3311.4,3415.7,3381.6,3407.2,3504.9,3573.9,3611.8,3824.0,3897.8,3941.3,3942.4,3930.0,3932.8,3926.6,3925.2,3924.4,3925.3,3956.7,3942.0,3908.1,3829.9,3770.8,3766.4,3773.1,3778.8,3788.2,3812.3,3883.2,3914.9,3912.6,3901.2,3889.1,3879.2,4022.1,4276.7,4417.8,4502.9,4579.4,4667.3,4760.7,4755.0,4576.2,4482.4,4472.1,4513.0,4548.3,4548.8
010,Kombikorm,Комбикорм,Compound feed,Комбикорм,783.3,770.6,785.4,782.8,769.6,775.2,759.8,760.6,811.5,787.5,813.9,824.6,841.3,871.8,894.0,906.1,899.6,907.0,909.5,901.4,914.5,916.4,924.4,936.7,957.0,958.7,973.0,1018.8,1062.5,1061.0,1046.8,1075.1,1102.9,1106.2,1125.9,1137.2,1138.2,1141.2,1173.4,1198.0,1204.0,1205.9,1190.2,1165.3,1188.6,1204.0,1241.5,1252.3,1274.7,1272.0,1280.7,1316.5,1355.6,1393.1,1427.9,1438.2,1476.9,1515.9,1519.2,1590.9,1658.7,1728.3,1738.5,1767.0,1785.7,1818.2,1899.2,1936.3,2001.6,2039.5,2097.8,2158.2,1984.9,1969.4,1940.2,1906.7,1906.6,1905.0,1908.4,1901.8,1923.1,1971.9,2007.7,2038.6,2088.1,2080.5,2094.5,2157.2,2187.3,2205.5,2229.8,2245.4,2246.5,2242.5,2258.5,2281.6,2276.2,2327.7,2416.7,2510.6,2651.2,2691.1,2727.9,2763.4,2771.0,2776.9,2853.8,2880.5,2838.8,2910.4,3035.3,3128.1,3222.1,3334.8,3455.0,3450.6,3551.7,3618.6,3680.9,3732.9,3665.6,3719.4,3704.4,3707.6,3696.6,3790.8,3796.0,3822.5,3834.4,3833.3,3816.8,3801.8,3769.3,3738.2,3736.5,3756.4,3764.2,3766.9,3762.7,3755.2,3769.1,3796.9,3794.4,3792.4,3773.4,3780.2,3871.0,4004.6,4070.5,4113.5,4132.5,4160.0,4162.3,4178.6,4189.4,4209.2,4252.1,4269.5,4308.7,4328.5
011,Oliy navli bug'doy uni,Мука пшеничная высшего сорта,High-grade wheat flour,Олий навли буғдой уни,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5652.3,5735.4,5774.7,5920.9,6123.4,7178.8,7344.6,7393.6,7514.5,8232.4,8453.3,8643.3,9003.6,8988.9,8906.1,8611.7,8426.8,8346.6,8260.0,8089.2,8379.1,8790.8,8748.3,8726.6,8676.5,8637.8,8604.4,8606.1,8604.3,8568.6,8587.0,8621.2,8660.5,8702.5,8720.9,8737.5,8695.2,8708.6,8710.6,8729.9,8751.9,8766.1,8773.8,8795.6,8800.6,8852.6,8863.6,8873.5,8966.8,9013.3,9208.2,9337.4
0012,1-navli bug'doy uni,Мука пшеничная первого сорта,First grade wheat flour,1-навли буғдой уни,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4329.4,4382.6,4390.1,4533.2,4806.9,5881.8,5928.6,5970.2,6097.3,6623.0,6697.0,6741.9,7021.1,6915.9,6784.3,6474.1,6256.6,6175.3,6062.8,5942.6,6262.2,6597.8,6542.3,6534.6,6398.2,6273.7,6226.4,6208.2,6170.8,6134.7,6137.4,6138.8,6147.3,6152.6,6154.5,6123.1,6092.3,6079.4,6077.8,6039.4,6037.0,6068.8,6065.6,6049.3,6028.3,6050.5,6074.5,6082.8,6082.5,6116.9,6172.6,6239.2
