Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-М01,2021-М02,2021-М03,2021-М04,2021-М05,2021-М06,2021-М07,2021-М08,2021-М09,2021-М10,2021-М11,2021-М12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03,2026-M04
001,Guruch,Рис,Rice,Гуруч,10742.8,10811.2,10773.5,10761.4,10696.7,10646.3,10616.7,10616.4,10528.5,10422.6,10432.6,10253.4,10245.9,10248.8,10211.9,10006.0,10068.2,10506.7,10570.5,11055.4,11570.7,12057.3,12506.3,12943.0,15361.7,16792.0,18061.7,18960.2,19731.5,20359.4,20669.4,21094.2,21496.2,21555.8,21528.0,21502.3,21449.0,21286.0,21176.1,21322.2,21549.0,21661.4,21789.9,21868.8,22060.2,21727.8,21098.6,20696.8,20279.1,19868.1,19879.0,19750.8,19564.7,19338.2,19341.3,19287.1,19053.4,18502.5,17756.1,17195.6,16307.9,16242.0,16189.4,15881.6
003,Arpa,Ячмень,Barley,Арпа,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625.7,3635.8,3653.7,3750.5,3820.9,3928.2,3951.0,3988.6,4024.7,4033.1,4114.8,4169.9,4121.0,4195.7,4219.1,4247.8,4242.0,4136.9,3948.8,3812.3,3721.8,3744.6,3765.4,3727.6,3711.6,3658.8,3633.1,3623.4,3626.7,3598.4,3515.6,3500.3,3494.2,3485.6,3493.8,3514.7,3498.6,3531.7,3691.9,3869.7,3925.3,3835.5,3837.0,3937.7,3948.0,3914.8,3960.3,4061.3,4195.3,4209.9,4230.0,4271.1
0004,Bug'doy,Пшеница,Wheat,Буғдой,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.5,3629.8,3690.5,3716.5,3865.5,4249.0,4200.3,4197.0,4222.0,4274.8,4297.6,4320.6,4253.5,4294.0,4311.4,4239.2,4183.1,3976.3,3624.7,3479.5,3427.8,3501.8,3486.3,3476.3,3485.7,3415.5,3323.2,3319.6,3330.5,3244.9,3018.6,3001.9,3028.9,3048.7,3069.0,3092.6,3109.1,3173.4,3282.3,3383.3,3419.1,3356.8,3310.2,3341.0,3331.4,3388.3,3559.1,3670.0,3774.4,3821.7,3871.7,3935.4
005,Jo'hori,Кукуруза,Corn,Жўҳори,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3736.5,3752.5,3747.1,3876.5,4008.7,4259.7,4419.1,4393.7,4339.6,4299.7,4297.4,4329.7,4238.7,4315.3,4381.0,4433.6,4369.3,4248.6,4168.5,3957.0,3764.3,3706.6,3590.7,3538.7,3495.7,3399.7,3324.0,3387.2,3434.8,3471.0,3515.9,3555.1,3535.3,3474.2,3448.3,3481.1,3530.7,3585.4,3816.3,4287.5,4431.0,4461.3,4627.6,4653.2,4380.1,4240.8,4258.0,4323.1,4472.9,4529.0,4587.0,4668.7
006,Kepak,Отруби,Bran,Кепак,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2695.9,2784.3,2801.1,2826.5,2857.3,2935.2,2972.4,3011.3,3045.2,3060.5,3045.8,3039.2,3120.2,3166.0,3163.9,3145.2,3196.1,3186.9,3170.6,3202.2,3176.4,3056.6,2999.6,2941.5,2926.9,2846.0,2802.4,2803.9,2852.7,2823.5,2763.0,2746.2,2752.3,2743.0,2726.0,2716.0,2693.3,2724.8,2848.4,3081.4,3113.9,3108.3,3108.8,3108.8,3077.5,3053.2,3075.7,3139.3,3289.0,3370.7,3384.1,3432.6
0008,Shrot,Шрот,Schroth,Шрот,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.3,3674.3,3691.1,3717.4,3788.5,3911.1,4013.6,4047.8,4093.8,4207.0,4308.6,4305.0,4316.9,4331.3,4366.5,4426.2,4486.5,4533.5,4521.6,4516.5,4510.3,4501.0,4458.1,4398.0,4359.4,4236.5,4211.8,4234.4,4327.9,4362.8,4392.6,4487.7,4651.9,4689.6,4681.9,4686.9,4653.9,4655.3,4817.4,5082.6,5175.1,5223.6,5293.1,5408.8,5517.7,5439.3,5211.4,5140.4,5190.6,5319.2,5369.0,5403.4
009,Shulxa,Шелуха,Husk,Шулха,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170.4,3261.2,3331.2,3347.2,3372.8,3425.8,3488.2,3547.2,3632.0,3698.3,3748.1,3763.8,3809.2,3775.8,3803.9,3819.4,3831.6,3858.0,3884.9,3933.1,4014.6,4011.9,3947.0,3855.4,3775.9,3652.0,3601.0,3587.8,3677.6,3734.4,3744.3,3771.7,3835.8,3849.0,3840.0,3801.1,3744.5,3733.4,3906.9,4229.4,4425.8,4515.3,4584.6,4680.4,4775.3,4696.1,4459.6,4328.2,4327.6,4402.9,4423.7,4416.7
010,Kombikorm,Комбикорм,Compound feed,Комбикорм,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.3,2831.9,2979.3,2994.6,3018.0,3123.2,3329.8,3384.9,3458.3,3510.5,3588.7,3689.5,3749.2,3788.5,3743.8,3746.8,3719.6,3707.8,3664.2,3660.0,3643.7,3616.2,3635.0,3687.6,3606.5,3539.9,3617.9,3623.6,3613.5,3594.0,3579.7,3615.4,3635.3,3646.8,3651.3,3655.2,3466.0,3507.0,3692.5,3808.2,3869.1,3914.0,3942.0,3988.0,3962.4,3892.9,3847.4,3897.7,3976.7,3998.8,4027.8,4040.4
011,Oliy navli bug'doy uni,Мука пшеничная высшего сорта,High-grade wheat flour,Олий навли буғдой уни,5491.3,5676.6,5821.1,5857.7,5846.8,5837.2,5822.1,5869.9,5881.8,5923.5,5877.1,5914.0,6026.0,6096.9,6121.9,6235.8,6462.4,7361.8,7503.5,7596.1,7801.6,8603.4,8906.1,9219.9,9701.2,9792.5,9823.8,9768.6,9535.5,9407.9,9294.2,9108.0,9256.7,9626.9,9701.6,9693.4,9521.9,9537.2,9541.7,9584.0,9633.3,9658.8,9666.3,9676.2,9928.6,10033.7,10017.0,10082.5,10035.3,10050.8,9927.8,9945.8,9986.5,10020.5,10007.3,10045.1,10071.6,10089.0,10120.9,10207.7,10160.5,10257.3,10322.9,10391.6
0012,1-navli bug'doy uni,Мука пшеничная первого сорта,First grade wheat flour,1-навли буғдой уни,4235.3,4263.2,4252.8,4348.0,4374.6,4375.9,4381.6,4395.5,4387.0,4405.5,4482.9,4517.6,4535.5,4588.6,4607.6,4693.4,4991.4,6007.8,6103.6,6222.9,6353.3,6844.6,6937.6,7004.6,7488.8,7427.9,7345.4,7179.6,6907.8,6777.2,6686.5,6575.3,6753.0,7122.1,7164.6,7149.5,7053.5,6994.0,6940.6,6928.7,6859.0,6851.6,6840.7,6809.8,6789.3,6820.7,6857.6,6854.5,6816.3,6801.6,6812.1,6824.6,6812.9,6786.2,6781.9,6805.4,6812.8,6800.8,6787.3,6795.9,6650.1,6744.5,6757.9,6830.0
