Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1145.0,2588.1,4128.8,6140.3,1213.1,2874.4,4658.7,6861.0,1525.7,3349.8,5258.6,7468.6,1854.5272683972373,4258.447797849095,6634.591106619226,9778.849998901473,3030.5320526551254,6589.6,9802.2,13652.705004385092,3200.6,7252.5124822950875,11733.9,15601.5,4080.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,553.5,1538.3,2649.5,3710.0,609.0,1589.6,2788.4,4189.2,831.4,2149.5,3605.0,5225.5,1169.5478524507328,2566.700681302044,4215.586410114341,6514.100130692671,2058.287281248442,4767.1,7141.7,10201.215405217736,2735.7,5043.927329009434,8640.9,13231.2,3400.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,479.1,1184.6,1988.0,3047.2,630.4,1344.9,2399.9,3470.1,1054.7,2171.5,3203.0,4361.1,1146.0843141964929,2505.0361550443326,4006.1546545649967,5549.829030817329,1845.0189317106156,3944.2,6098.2,8363.61799457362,2100.9,4018.3585655077136,7631.6,9426.0,2045.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,830.1,2408.4,5003.6,6295.0,1717.5,4401.8,7277.5,10462.9,3605.4,6125.8,8178.7,10855.5,3310.149371615916,7571.497049928107,11056.672798298967,15309.354334204943,4667.06677086895,12588.3,17757.9,25073.47721426838,4240.2,9140.662010368666,13958.6,20514.3,6303.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1874.9,4215.9,6573.7,8984.7,1273.4,2857.9,4594.1,6470.7,1553.1,3731.2,5507.1,7107.9,1967.6630838910296,4616.610774002157,7102.259797002083,10037.44974857526,2847.0829307035538,6915.0,11449.7,15445.272577996717,3333.3,7555.935452544349,12082.0,16035.2,3676.7
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1472.1,3177.0,4485.2,6214.7,774.1,1833.1,3156.3,5148.2,1034.9,2018.6,3261.9,4647.7,1103.5849997135163,2450.812844770915,4015.35667900883,6002.565355672298,2401.5028020623176,5326.1,6969.1,9856.25788888889,2238.1,5691.774702584438,7885.9,10841.5,1639.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,3805.8,8387.3,12365.6,15604.2,2942.3,7136.2,10942.6,14672.4,3544.1,8232.1,12746.5,17189.8,4531.272306238185,10089.761033572237,15578.325776105363,24778.099211563727,8218.481069042316,13995.2,21948.3,30921.822949308753,7359.4,16573.376069153775,29673.6,39076.6,11585.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,923.7,1914.3,2982.0,4229.2,897.4,1922.1,3200.5,4477.8,989.7,2312.9,3667.8,4984.4,1320.2103494176372,2838.7426067907995,4698.6526973836535,6339.489906985948,4343.373250894891,8416.0,12824.3,17500.209041918097,3953.2,9277.095513656164,16303.1,19335.5,5590.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,699.6,1594.0,2406.5,3746.0,726.9,1822.7,2955.6,3920.7,1075.2,2409.0,3639.9,4642.5,1517.3098837209302,3328.526325963513,4713.369210760819,6176.9440601431525,1565.5180302994384,3192.5,4869.5,6806.397846175551,2423.7,4165.913427234396,6534.0,8823.6,2708.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,537.4,1241.4,1977.5,3792.2,746.0,1792.5,2846.4,4438.7,837.1,1826.9,2963.8,4169.4,1397.4136668917238,2811.894977492645,4361.5095671820945,6442.282497008937,1847.5415337678546,3193.9,4672.7,5699.549582660667,2060.2,3026.6503716216216,5768.1,7641.7,2540.8
