Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,29.2,21.5,23.9,16.4,14.4,12.2,10.4,8.0,8.3,7.7,5.2,5.5,4.7,5.0,4.2,4.2,4.3,4.8,4.5,9.0,6.8,9.3,8.0,6.5,4.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,45.5,29.9,30.7,30.5,21.2,23.0,10.3,6.9,4.6,3.5,6.6,5.3,2.4,2.7,2.6,2.6,2.5,7.4,3.0,15.3,12.1,12.4,14.0,9.3,6.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,41.1,22.8,30.8,19.4,21.1,15.2,15.1,12.3,9.0,10.1,4.8,6.2,4.1,3.9,3.7,3.7,3.2,4.0,4.1,8.6,6.3,8.3,8.9,9.3,3.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,38.0,16.1,13.4,18.3,15.5,6.6,5.0,3.5,3.2,2.1,2.4,1.9,1.7,1.5,1.5,1.5,1.1,0.9,2.4,7.1,5.8,4.7,4.8,4.2,2.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,43.0,22.2,56.7,51.9,23.3,16.7,18.5,21.8,21.3,20.9,6.3,5.8,3.1,4.9,5.5,4.9,4.3,6.7,9.4,10.8,5.5,9.9,10.8,8.9,6.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,14.8,13.0,18.1,11.0,8.9,7.3,4.4,4.5,2.6,2.6,2.6,1.3,1.1,1.4,2.5,2.3,1.4,1.5,1.9,3.7,3.6,6.5,8.9,7.6,4.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,24.5,8.8,13.8,8.6,11.8,10.4,11.1,3.5,3.7,6.8,2.4,3.8,2.6,1.8,1.7,2.7,4.9,5.1,0.7,2.8,1.9,4.6,3.7,2.8,2.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,36.7,30.2,36.0,30.1,31.4,30.5,28.2,21.4,13.0,12.8,5.5,5.6,3.7,6.6,6.3,7.9,2.5,3.6,2.8,4.9,5.9,8.3,6.6,2.5,2.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,21.8,21.1,27.1,25.1,20.6,17.7,14.3,16.8,13.6,15.9,4.6,6.0,7.1,4.3,2.4,1.8,4.5,5.5,2.7,12.1,8.0,14.0,9.6,7.0,7.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,56.0,39.9,33.7,20.6,11.7,17.2,16.7,10.5,15.2,11.9,10.2,10.0,4.0,3.9,4.3,3.4,7.8,7.1,3.2,5.8,7.5,10.8,12.3,12.4,8.1
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,31.8,14.4,27.0,23.6,19.1,22.9,19.5,20.9,13.7,7.6,16.3,22.6,23.5,25.7,22.5,27.8,22.9,18.7,9.6,10.5,7.8,9.8,6.0,3.8,6.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,25.4,25.7,24.8,16.7,9.5,9.1,9.3,7.4,7.2,9.9,3.3,1.6,1.7,4.4,5.3,2.6,5.1,4.3,3.4,11.5,9.6,8.3,5.8,5.6,3.3
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,21.0,12.1,14.5,21.2,15.6,16.0,14.7,15.4,12.1,14.5,12.2,11.2,13.8,16.4,9.0,8.9,10.3,8.2,3.6,8.1,7.6,10.0,7.4,11.0,5.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,42.3,24.5,18.7,26.5,12.7,23.0,13.0,14.5,16.7,11.3,4.7,4.8,5.9,4.8,5.6,6.8,4.9,6.9,5.0,9.5,8.5,10.2,9.2,6.5,6.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,29.4,29.6,25.1,9.3,12.2,8.7,8.5,4.7,13.5,9.7,6.7,7.3,5.5,4.5,2.9,4.3,4.4,7.2,6.0,7.6,6.8,8.2,8.0,5.1,5.6
