Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013-M01,2013-M02,2013-M03,2013-M04,2013-M05,2013-M06,2013-M07,2013-M08,2013-M09,2013-M10,2013-M11,2013-M12,2014-M01,2014-M02,2014-M03,2014-M04,2014-M05,2014-M06,2014-M07,2014-M08,2014-M09,2014-M10,2014-M11,2014-M12,2015-M01,2015-M02,2015-M03,2015-M04,2015-M05,2015-M06,2015-M07,2015-M08,2015-M09,2015-M10,2015-M11,2015-M12,2016-М01,2016-М02,2016-М03,2016-М04,2016-М05,2016-М06,2016-М07,2016-М08,2016-М09,2016-М10,2016-М11,2016-М12,2017-М01,2017-М02,2017-М03,2017-М04,2017-М05,2017-М06,2017-М07,2017-М08,2017-М09,2017-М10,2017-М11,2017-М12,2018-М01,2018-М02,2018-М03,2018-М04,2018-М05,2018-М06,2018-М07,2018-М08,2018-М09,2018-М10,2018-М11,2018-М12,2019-М01,2019-М02,2019-М03,2019-М04,2019-М05,2019-М06,2019-М07,2019-М08,2019-М09,2019-М10,2019-М11,2019-М12,2020-М01,2020-М02,2020-М03,2020-М04,2020-М05,2020-М06,2020-М07,2020-М08,2020-М09,2020-М10,2020-М11,2020-М12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03,2026-M04
1000,Yig‘ma indeks,Сводный индекс,Composite index,Йиғма индекс,100.4,101.3,100.3,101.8,100.9,101.0,103.2,101.5,100.4,100.9,99.9,100.5,101.5,100.6,101.2,99.7,100.5,100.7,100.9,101.0,101.1,101.3,99.7,100.6,100.8,100.6,100.7,100.3,96.9,101.8,100.9,103.1,100.8,101.5,100.5,101.8,101.1,102.2,101.5,101.6,101.3,100.8,100.9,100.9,99.7,100.4,101.1,100.7,100.9,101.0,101.2,101.3,101.0,103.9,101.2,100.7,106.4,104.6,103.9,101.4,101.8,101.0,101.5,104.1,101.8,100.9,99.6,101.0,103.3,100.4,106.2,112.9,108.8,101.0,100.0,98.7,100.8,100.1,100.7,109.5,103.3,102.0,101.3,99.5,100.9,100.2,100.4,99.9,101.4,100.3,101.1,101.7,100.8,100.4,100.2,99.6,101.0,100.9,99.9,101.6,101.1,101.1,100.3,101.2,100.6,102.5,101.9,100.2,101.4,101.1,102.7,101.1,101.3,103.6,99.8,101.4,99.7,101.7,101.6,100.6,101.5,100.7,100.5,99.7,100.5,99.9,100.1,100.8,100.6,107.2,101.2,100.9,102.3,100.5,100.8,102.5,102.3,100.8,100.5,100.1,100.8,101.2,101.0,100.1,100.3,100.4,101.2,101.7,105.0,100.4,100.4,99.9,99.6,100.5,100.5,99.8,101.7,103.0,99.9,101.4
B,Tog`-kon sаnoаti vа ochiq konlаrni ishlаsh,Горнодобывающая промышленность и разработка карьеров,Mining and quarrying,Тоғ-кон саноати ва очиқ конларни ишлаш,102.2,100.0,95.2,103.4,100.0,103.1,110.7,104.4,104.0,94.3,96.8,103.6,100.0,100.0,100.0,94.6,100.0,100.4,100.4,105.3,101.9,100.1,94.8,102.8,100.3,100.0,100.0,100.1,77.1,111.3,102.2,114.0,100.0,100.1,100.0,100.0,100.4,100.2,100.0,100.4,100.1,100.2,100.0,103.1,99.0,100.0,100.0,100.1,100.1,100.1,100.1,100.2,100.1,110.3,100.3,100.2,101.8,100.0,100.0,105.1,100.3,100.0,100.2,100.3,100.4,103.7,100.0,100.1,100.0,100.0,104.3,193.2,100.6,101.5,98.5,94.6,103.6,101.1,98.6,136.1,102.2,101.5,101.2,100.0,100.3,97.3,97.0,101.2,101.9,100.9,100.1,100.3,100.2,101.3,99.9,97.6,97.5,96.6,98.9,101.8,101.6,98.6,101.8,106.3,98.3,101.8,104.6,100.0,99.8,105.5,103.6,101.5,100.9,101.7,99.9,106.5,100.0,99.4,110.3,100.6,99.7,100.7,100.8,100.6,101.6,98.9,97.8,103.3,102.3,98.1,101.9,102.4,99.2,101.7,104.1,107.0,97.0,103.4,100.7,99.7,99.7,99.9,100.9,100.0,99.8,97.3,102.8,105.3,98.4,100.5,97.6,100.7,103.3,99.1,97.2,95.8,102.5,102.5,105.6,101.3
C,Ishlab chiqarish sanoati,Обрабатывающая промышленность,Manufacturing industry,Ишлаб чиқариш саноати,100.2,101.8,101.2,101.0,101.1,100.8,102.3,101.2,99.6,101.6,100.4,100.0,102.2,100.8,101.7,101.0,100.7,99.9,101.2,100.0,101.1,101.3,100.2,100.2,101.1,100.8,101.0,100.4,100.4,100.4,100.7,101.4,101.1,101.3,100.2,102.5,101.2,102.8,101.9,101.2,101.6,100.8,101.2,100.8,99.7,100.0,101.2,100.9,101.2,101.2,101.5,101.5,101.3,103.6,100.8,100.9,107.7,105.5,104.7,100.9,102.7,101.3,101.7,101.1,101.9,100.6,100.1,101.0,104.1,100.6,105.3,105.3,111.4,101.0,100.4,99.5,100.2,99.9,101.3,102.8,103.0,102.1,101.7,99.5,100.9,100.6,101.0,99.7,101.4,100.2,101.3,102.0,100.9,100.2,100.3,99.8,101.4,102.4,99.9,101.7,100.9,101.2,99.9,100.6,100.8,102.8,102.0,100.4,101.7,100.8,102.8,101.1,101.1,104.1,99.7,100.9,99.6,102.1,100.7,100.8,101.7,100.8,100.2,99.7,100.4,100.0,100.5,100.4,100.4,101.3,100.6,100.1,102.9,100.2,100.4,102.2,102.2,100.5,100.4,100.1,101.2,101.7,101.2,100.1,100.4,101.1,101.2,101.4,103.9,100.5,100.6,99.8,98.8,100.9,101.2,100.4,101.7,103.3,99.2,101.5
D,"Elektr, gаz, bug` bilаn tа'minlаsh vа hаvoni konditsiyalаsh","Электроснабжение, подача газа, пара и кондиционирование воздуха","Electricity, gas, steam and air conditioning","Электр, газ, буғ билан таъминлаш ва ҳавони кондициялаш",100.0,100.0,100.0,106.8,100.0,100.2,100.2,100.0,100.9,106.4,100.1,100.0,100.0,100.2,100.0,99.9,100.2,105.9,100.1,100.9,100.0,103.0,103.9,100.0,100.0,99.9,100.1,100.2,104.3,100.0,100.2,99.9,100.0,104.9,103.2,100.0,101.6,99.9,99.9,105.8,100.1,101.4,99.9,100.0,100.2,103.4,101.7,100.0,99.8,100.0,100.5,100.4,99.3,100.1,105.6,99.5,100.6,100.2,99.2,100.0,95.9,98.9,101.4,134.3,101.6,100.9,95.7,101.1,100.1,99.1,114.2,114.6,106.1,99.0,99.8,99.9,100.9,99.0,99.7,115.5,109.2,103.4,98.5,97.8,101.5,100.1,100.0,99.9,99.9,100.6,100.5,100.6,99.7,100.0,98.7,101.3,101.0,91.6,101.1,100.8,103.0,104.5,101.5,99.3,103.0,99.7,94.3,98.5,100.0,100.0,100.0,100.0,104.5,100.2,100.0,100.3,100.0,100.0,100.0,99.0,102.3,100.1,102.6,98.5,100.0,100.0,100.1,100.2,100.0,165.7,102.7,101.5,101.1,101.1,100.2,100.0,107.0,100.8,100.8,100.1,100.0,100.0,100.0,100.0,100.1,100.1,100.1,100.0,116.8,100.0,101.4,100.0,100.2,99.9,100.0,99.8,100.0,100.0,100.0,100.0
E,"Suv bilаn tа'minlаsh; kаnаlizаtsiya tizimi, chiqindilаrni yig`ish vа utilizаtsiya qilish","Водоснабжение; канализация, сбор и утилизация отходов","Water supply; sewerage, waste collection and disposal","Сув билан таъминлаш; канализация тизими, чиқиндиларни йиғиш ва утилизация қилиш",102.5,100.5,102.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.2,100.0,100.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,100.2,100.0,102.2,100.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.2,100.0,99.0,104.6,100.0,99.1,100.0,100.0,100.0,100.0,100.0,100.0,100.8,100.0,100.0,104.6,100.0,100.0,100.0,100.6,101.4,101.6,100.6,115.8,122.2,124.2,100.0,101.5,104.2,104.6,106.9,100.0,100.0,100.0,100.0,100.0,100.0,110.3,100.5,100.0,100.0,100.0,100.0,100.0,100.0,101.7,104.5,100.0,100.0,100.0,100.0,103.2,100.0,100.0,100.0,103.3,100.0,100.0,101.5,110.3,103.5,101.2,132.5,104.2,95.4,100.0,100.3,100.0,100.0,107.6,100.0,100.0,104.7,100.0,100.0,100.0,100.0,100.4,100.0,100.0,100.0,100.0,100.4,100.0,100.4,100.0,100.0,100.0,100.1,100.0,99.1,100.0,100.0,109.6,100.0,103.3,107.9,133.5,109.2,101.3,101.5,118.7,100.1,100.6,100.0,99.9,100.4,100.0,100.0,100.0,101.2,100.0,102.2,102.3,103.6,103.6,108.1,100.2,100.7,100.0,100.8,100.2,100.3,100.0,101.1,101.6
10,Oziq-ovqat mahsulotlari ishlab chiqarish,Производство пищевых продуктов,Manufacturing of food products,Озиқ-овқат маҳсулотлари ишлаб чиқариш,99.9,100.3,100.1,100.2,100.0,100.0,99.8,100.2,101.6,102.8,100.0,100.0,101.2,102.3,101.1,100.1,101.0,100.1,100.6,100.1,103.2,100.6,100.3,100.4,100.0,100.5,100.7,100.0,101.4,100.9,100.4,100.4,100.8,102.3,100.7,100.6,101.3,106.9,99.5,100.1,100.0,100.0,102.1,100.2,100.1,101.0,102.2,100.2,100.3,99.8,100.3,101.0,100.4,100.1,100.0,100.1,99.9,102.3,102.2,100.4,101.1,100.3,102.7,99.7,99.8,100.5,99.5,99.5,114.9,99.8,104.3,103.6,100.8,100.3,101.1,100.1,100.6,100.1,100.1,100.1,101.8,111.0,101.9,100.7,100.7,100.5,100.3,100.2,101.0,100.8,100.4,99.7,100.2,100.4,101.7,100.1,101.5,101.2,100.1,100.3,100.4,100.3,99.5,100.2,100.1,100.9,101.3,100.5,101.1,100.5,100.8,101.0,100.6,118.0,102.4,104.1,100.2,104.1,100.0,100.6,102.4,100.9,99.7,100.0,100.2,100.4,100.4,100.1,100.3,100.9,101.2,99.5,103.0,99.1,100.2,100.4,100.4,100.1,101.1,99.6,99.6,100.9,100.7,101.0,100.1,98.6,99.4,100.6,100.7,99.8,100.0,100.8,100.2,100.8,99.9,99.6,101.0,100.9,100.5,100.4
11,Ichimliklar ishlab chiqarish,Производство напитков,Manufacture of beverages,Ичимликлар ишлаб чиқариш,102.8,101.3,100.6,100.0,99.9,100.2,99.9,100.7,101.7,101.1,101.8,100.1,100.5,101.0,105.9,100.5,100.9,100.2,101.1,100.7,104.4,100.9,100.7,99.3,103.6,100.7,100.0,99.2,100.2,100.0,101.4,101.0,101.4,101.2,100.5,102.1,103.0,108.9,102.2,100.9,100.5,103.8,101.5,100.2,100.6,100.5,101.2,100.5,103.2,100.2,103.8,101.2,99.8,100.2,99.5,99.9,104.1,102.6,100.7,102.0,102.2,100.5,102.1,100.1,100.2,104.3,101.8,101.2,100.2,100.0,100.9,103.0,100.9,100.4,99.9,100.6,100.2,100.5,101.0,103.0,105.8,103.7,101.0,100.1,101.0,100.6,100.1,100.0,100.2,102.0,100.9,101.1,100.3,100.9,100.2,100.3,100.9,100.5,100.3,101.5,106.8,100.1,99.9,100.0,100.7,107.9,100.5,101.1,102.1,97.5,100.2,101.2,102.8,102.0,105.7,100.4,103.1,97.0,100.1,103.6,102.6,102.8,100.3,100.0,100.3,103.2,100.7,100.4,100.0,100.3,100.2,100.1,102.4,101.4,100.0,105.0,101.7,100.2,100.2,100.0,100.1,108.5,100.1,100.9,100.5,101.0,98.7,100.6,102.5,98.5,97.8,102.1,100.1,101.0,101.4,99.4,99.3,100.4,102.7,97.1
13,To'qimachilik mahsulotlari ishlab chiqarish,Производство текстильных изделий,Manufacture of textiles,Тўқимачилик маҳсулотлари ишлаб чиқариш,100.4,100.7,100.7,100.9,101.2,98.2,99.9,99.6,99.6,109.5,100.7,99.3,99.9,100.0,102.9,100.2,100.3,100.1,99.7,99.7,100.0,104.4,99.2,100.5,99.4,102.6,100.1,100.2,100.3,100.5,101.0,102.0,100.0,101.1,102.1,104.0,100.7,104.1,100.6,100.4,100.2,100.7,101.4,101.0,100.8,100.6,100.3,101.8,100.0,104.5,101.6,101.5,101.2,101.1,100.7,100.5,110.2,102.7,116.2,100.7,101.6,101.2,100.9,100.1,106.2,100.2,100.0,100.4,100.4,101.4,121.5,99.9,99.9,100.2,99.7,99.8,100.1,100.2,100.3,100.3,100.3,99.6,107.8,100.1,100.1,100.0,99.5,101.3,101.0,99.3,100.0,101.3,99.4,100.3,100.9,101.3,102.2,102.8,100.9,101.2,99.6,100.1,100.7,100.6,100.7,108.7,106.6,101.5,102.5,101.4,101.3,100.8,102.1,100.0,100.3,100.4,99.7,108.1,103.0,99.4,99.9,100.0,99.6,100.1,100.4,100.0,99.7,100.0,100.3,100.5,98.0,97.8,101.4,99.9,100.7,99.8,102.4,99.9,100.8,100.0,99.8,101.3,100.0,101.0,100.0,99.9,100.3,99.8,101.3,100.1,100.1,99.8,100.0,99.3,99.7,99.9,99.6,100.1,100.1,100.1
19,Koks va neftni qayta ishlash mahsulotlari ishlab  chiqarish,Производство химической продукции,Manufacture of chemical products,Кокс ва нефтни қайта ишлаш маҳсулотлари ишлаб  чиқариш,97.5,98.7,99.3,101.0,105.0,100.1,100.2,100.4,100.4,100.5,101.2,99.6,117.3,99.4,100.0,101.4,101.0,100.1,105.1,100.3,100.3,100.5,99.5,100.2,100.2,100.6,100.0,99.4,100.1,100.3,102.5,100.9,100.2,99.9,99.8,99.8,99.9,99.8,100.0,100.4,100.0,100.0,100.0,100.1,99.9,100.0,113.4,100.0,100.4,99.9,101.0,101.3,100.1,103.9,100.7,99.9,100.3,99.9,120.1,100.2,100.6,100.8,100.0,100.3,100.2,103.9,100.0,100.3,101.6,100.0,100.0,212.1,105.8,98.6,98.9,99.7,100.6,98.6,100.7,130.3,101.4,101.0,100.3,100.2,105.3,96.1,101.3,99.5,91.8,92.5,107.4,116.7,92.0,115.4,105.9,91.5,106.9,107.8,102.8,102.1,102.3,106.1,104.1,104.4,104.1,105.9,103.0,93.4,102.2,94.8,103.8,101.5,101.0,102.0,96.6,99.9,99.4,100.0,98.2,95.2,102.3,100.5,100.7,92.3,99.6,100.3,99.9,99.0,104.1,102.4,101.1,103.7,100.5,104.4,97.8,98.8,98.9,99.0,100.2,102.3,102.8,102.4,101.2,102.0,100.4,101.8,100.4,99.2,105.2,100.0,101.4,98.8,99.3,99.7,100.5,99.5,99.2,98.6,100.8,100.9
20,Kimyo mahsulotlari ishlab chiqarish,Производство кокса и продуктов нефтепереработки,Manufacture of coke and refined petroleum products,Кимё маҳсулотлари ишлаб чиқариш,104.8,105.1,102.9,101.0,101.8,102.2,102.1,104.7,98.5,100.7,105.0,104.4,100.7,100.2,100.1,102.7,100.7,100.1,101.4,100.7,100.0,100.8,102.1,101.3,100.0,100.6,100.3,100.4,100.9,100.5,100.1,102.5,100.0,102.2,102.4,100.8,99.9,101.5,100.2,100.4,102.5,101.3,100.1,100.7,100.6,99.8,101.2,101.3,100.8,102.3,101.0,101.3,101.3,100.0,100.4,101.5,104.5,107.8,100.8,101.1,103.7,102.1,100.4,104.2,104.9,100.0,103.7,102.1,103.2,100.5,106.3,108.8,134.4,100.6,100.1,95.9,99.6,100.1,99.5,101.9,101.6,102.9,100.6,100.2,100.5,99.5,93.5,95.9,98.1,100.9,100.3,102.3,106.9,100.9,98.8,100.3,98.1,100.4,100.8,126.4,98.7,99.8,96.0,101.6,104.9,102.8,104.4,98.1,99.3,101.0,102.8,100.8,104.1,109.3,98.7,93.7,97.7,102.3,106.4,107.3,102.2,100.9,99.4,98.9,98.7,97.6,99.0,100.1,99.3,106.0,103.7,99.5,100.1,98.8,99.4,100.9,100.2,99.5,100.1,100.5,101.3,97.1,102.6,98.7,101.6,103.5,100.9,107.9,111.8,97.9,104.8,100.0,89.8,98.1,96.1,107.4,100.8,99.4,133.9,96.5
