Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03,2026-M04
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,5860.8,10690.8,19559.0,30607.9,38353.6,49198.2,57694.4,66850.3,77169.8,86281.4,95178.3,107492.7,6886.2,12735.0,24161.6,36416.1,45782.3,59744.3,70727.5,81342.5,94367.6,104290.1,114867.1,130790.9,5033.8,12919.8,27602.0,41551.4,52201.0,68757.4,81294.8,94859.5,109421.6,120665.0,133986.6,150792.6,6671.4,16164.4,31058.8,46913.2,59104.8,79833.9,94283.4,109167.8,167101.2,185039.6,205710.2,233832.9,11755.4,26339.5,50284.6,74026.0,91621.5,137562.1,162947.7,188527.4,224532.4,247334.4,273276.2,313887.8,13021.0,29177.1,63954.7,84439.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,317.1,579.9,881.2,1343.1,1665.1,2161.5,2543.3,2977.1,3232.8,3585.1,3942.3,4480.6,366.0,638.1,1025.8,1480.6,1887.9,2561.1,2985.5,3468.1,3792.7,4211.9,4628.0,5272.4,229.6,558.7,948.5,1425.3,1819.7,2554.1,3028.8,3522.6,3926.3,4355.6,4818.8,5315.9,254.0,731.5,1122.5,1818.9,2264.2,2965.1,3433.3,3955.9,6242.1,6850.8,7597.0,8553.2,447.2,1155.7,1764.4,2761.6,3370.2,4618.8,5479.8,6377.9,7306.8,7964.4,8880.0,9915.9,716.2,1896.9,3313.4,4448.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,354.7,630.0,985.9,1670.3,2128.6,2614.2,3080.1,3600.6,4107.5,4561.6,5058.6,5657.8,411.0,715.3,1193.8,1898.2,2482.9,3140.9,3672.8,4282.1,4864.3,5401.6,5982.8,6864.1,276.2,678.8,1223.6,2031.5,2620.5,3335.9,4022.1,4778.0,5396.9,6066.6,6721.1,7384.3,325.4,734.2,1479.2,2294.7,2676.5,3726.0,4429.4,5269.6,8439.5,9729.1,11152.4,12152.1,524.2,1162.9,2232.3,3682.1,4368.1,6141.5,7487.5,8647.6,11421.9,12602.3,13900.4,15111.4,636.0,1364.8,3307.4,4494.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,351.3,645.0,1358.8,1884.7,2483.4,3528.4,4008.5,4616.9,5290.9,5857.8,6419.9,7401.1,417.8,778.0,1652.6,2248.1,2952.6,4185.5,4728.7,5362.3,6117.8,6805.4,7431.7,8448.7,305.7,785.6,1903.0,2588.9,3318.0,4901.8,5548.6,6242.6,7105.3,7770.6,8504.8,9468.8,332.4,842.9,2032.8,2757.5,3649.5,5893.4,6608.0,7481.7,11638.1,12622.6,13732.3,16514.5,550.2,1197.9,3215.0,4322.8,5733.4,9278.3,10590.3,11992.3,13798.1,14962.6,16313.4,19168.8,736.3,1611.2,4618.5,5865.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,214.1,379.7,628.0,1010.8,1233.9,1544.6,1803.0,2050.8,2297.1,2552.5,2792.6,3085.4,229.7,407.4,691.6,1071.8,1363.1,1756.8,2030.8,2305.3,2557.1,2836.6,3110.9,3446.4,159.0,398.7,731.1,1160.0,1433.5,1908.3,2217.9,2528.4,2845.3,3164.6,3547.6,3947.7,197.3,345.2,825.0,1377.1,1573.4,2247.8,2614.4,3000.8,4569.8,5079.0,5728.7,6279.4,359.4,653.4,1419.5,2326.0,2728.1,3975.1,4460.7,5073.4,5880.0,6566.6,7215.9,8039.6,363.8,682.2,1733.6,2430.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,392.3,696.6,1306.2,1873.3,2414.9,2779.3,3241.4,3740.7,4667.9,5248.5,5807.0,6336.6,440.3,797.4,1399.4,2074.6,2867.1,3300.3,3891.1,4517.6,5220.5,5829.5,6470.6,7793.8,372.7,909.3,1642.6,2485.6,3359.8,4209.0,5013.4,5840.5,6773.4,7517.5,8504.7,9490.9,404.3,943.6,2072.7,3035.5,4104.0,5030.9,5776.4,6570.5,10372.7,11091.3,12279.3,15099.9,815.6,1573.9,3050.1,4543.8,5945.4,7673.8,9358.3,10715.0,12764.2,14232.5,15862.5,17659.5,795.1,1685.5,3275.4,5031.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,248.7,441.5,910.3,1298.3,1637.5,2298.7,2715.9,3078.7,3730.5,4228.6,4727.6,5155.5,282.6,503.6,1076.6,1449.8,1904.1,2641.1,3138.1,3570.8,4254.8,4825.1,5428.2,5855.0,193.7,539.2,1240.3,1666.4,2171.8,3042.8,3708.2,4154.9,4904.0,5454.1,6225.4,6744.1,316.0,721.8,1369.1,2654.8,3248.6,4157.6,4773.8,5369.5,8738.9,9698.3,10799.2,11944.0,510.8,1134.8,2409.1,3268.0,4013.8,5981.1,7067.6,7877.1,10489.7,11623.3,12957.0,16192.6,589.4,1332.1,3164.0,4083.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,324.7,579.4,1010.9,1541.6,1933.0,2435.6,2887.8,3378.7,3912.7,4444.3,4980.6,5556.7,363.2,662.1,1152.4,1650.2,2158.3,2937.2,3484.6,4092.9,4840.6,5371.9,5915.6,6653.2,233.4,617.1,1226.1,1794.7,2295.2,3216.6,3788.2,4425.5,5278.4,5847.1,6500.3,7342.2,293.8,804.3,1461.3,2113.2,2579.8,3580.2,4178.9,4875.6,8567.0,9520.8,11102.3,12755.5,472.1,1325.0,2476.5,3516.6,4305.5,6444.7,7612.3,8813.6,10982.1,11917.6,13823.2,15483.1,656.1,1546.4,3005.8,4353.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,459.0,813.0,1365.3,2067.7,2782.7,3511.8,4054.9,4652.7,5237.4,5827.0,6371.8,7385.7,585.5,1074.0,1634.3,2440.4,3142.0,3929.8,4634.8,5529.0,6475.2,7197.3,7914.7,8895.4,405.09999999999997,1047.3,1935.5,2875.1,3680.1,4706.1,5491.1,6356.4,7294.9,8165.9,9020.4,10177.6,394.6,1169.3,1974.1,2882.9,3619.6,5083.7,5991.2,6975.3,9673.7,10862.4,11679.2,14017.1,638.8,1613.3,2731.1,4028.3,5086.2,8754.4,9898.7,11497.1,14195.9,15821.3,17387.8,18637.5,603.3,1655.5,3723.2,5153.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,335.8,650.3,1123.0,1688.0,2122.9,2707.8,3183.5,3653.7,4170.2,4658.6,5160.7,5868.4,373.0,714.9,1269.3,1888.2,2380.1,3094.1,3627.4,4152.3,4715.4,5242.4,5794.3,6521.9,281.9,726.0,1478.7,2146.3,2774.6,3639.9,4238.4,4845.8,5448.5,6065.8,6791.1,7596.5,254.9,619.7,1591.1,2330.4,2843.5,4008.1,4620.4,5275.0,8503.9,9357.4,10495.8,12058.6,397.3,1046.8,2475.0,3754.1,4618.7,6996.0,8304.9,9503.7,10928.8,11895.1,13389.4,14648.9,486.7,1194.6,3207.5,4258.8
