Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,12860509.6,27094830.9,41684652.7,55198072.4,69085301.4,85609547.8,101169000.5,117534373.7,135993988.4,154449313.1,174346118.4,199518817.9,14955287.1,31709765.1,50011590.4,68073423.9,88274163.9,109101484.6,128229065.7,148615927.3,171631219.7,193707942.0,218666290.4,252056644.0,15282056.4,32209577.7,49619964.7,67812476.5,90164070.3,111330037.9,131052014.6,154685238.8,172653662.3,197315541.6,224655919.4,270687151.7,15824701.8,36567391.3,59050800.4,81391343.4,108653981.6,133174735.4,156432077.4,184274158.2,223222540.9,252918770.9,268315282.4,326160093.5,23589035.7,49432376.8,78571962.3,109658113.6,142274704.2,171527473.8,203609402.0,237364045.5,269358787.7,305443069.1,342939592.1,403431822.9,26977948.5,57100085.4,90320659.2,125690715.6,163713596.8,198703123.0,236327305.3,276799488.6,316378450.9,356606017.6,402952386.3,482443065.2,32698357.3,69879416.4,123961940.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,458931.9,974508.9,1498196.7,1950298.5,2457025.2,2993837.9,3537349.9,4102680.0,4747334.6,5369417.6,6044623.9,6861755.8,505219.1,1071808.0,1692771.8,2317097.7,2975910.5,3676494.4,4323622.2,5003184.5,5762685.8,6532092.6,7375790.9,8498566.5,517655.5,1092460.9,1674651.0,2222307.6,3081759.0,3802004.5,4462644.9,5300527.1,5950711.3,6880574.2,7888074.3,9557869.1,528869.0,1238067.4,1968341.5,2657271.3,3581937.5,4392805.0,5177203.8,6144783.7,7661941.5,8746578.1,9229479.0,11271767.8,773972.4,1681120.3,2681619.9,3645991.5,4646436.3,5872257.5,6912723.0,8035815.3,9169767.4,10501457.4,11876530.6,13683668.2,865070.8,1893639.8,2992173.1,4109388.6,5283486.0,6692770.6,7915655.2,9225346.1,10590470.3,12140544.1,13767519.4,16560611.7,1064857.1,2425729.1,4660061.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,976147.6,2062804.8,3161377.2,4133163.5,5175602.1,6419306.7,7578336.1,8770940.7,10072268.7,11427873.8,12981551.8,14821908.7,1033807.0,2208813.5,3486586.9,4724002.6,6019488.1,7410796.7,8739529.2,10183255.7,11779300.4,13406124.8,15097172.4,17402795.0,1045503.1,2283875.8,3555162.7,4914381.9,6491340.1,7841935.4,9214458.8,10893061.6,12186172.7,13902647.0,15850340.4,19046911.7,1048281.5,2428587.1,4098047.7,5703908.3,7634656.1,9216417.5,10857594.4,12825962.4,15641106.1,17783746.0,18615149.0,22636259.7,1634574.2,3447180.5,5432590.5,7505418.8,9855875.4,12127681.5,14378517.4,16661967.8,18747120.0,21238322.0,23809690.9,27518294.8,1834834.4,3923982.6,6137480.2,8525316.0,11187962.6,13726209.3,16401386.2,19083672.2,21601449.6,24272166.0,27334044.5,32849914.4,2255753.1,4706610.3,7360616.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,783645.6,1681426.7,2637000.5,3417057.3,4282308.6,5205806.2,6134397.8,7130884.9,8310571.0,9466061.6,10673376.8,12072815.1,857959.7,1816328.1,2900580.5,3957939.3,5038099.4,6163123.4,7244366.3,8425421.7,9782954.9,11163726.3,12642397.5,14605327.3,893231.1,1875936.9,2932022.8,3978330.1,5212545.3,6432199.6,7513801.7,8879139.0,9840288.6,11262494.3,12858592.7,15522015.9,929780.9,2102722.6,3422721.8,4641441.6,6053394.3,7388483.0,8696499.9,10300301.0,12491580.9,14197911.1,15081353.1,18358313.3,1247267.9,2710455.2,4345223.7,5928808.7,7658861.3,9494367.3,11249250.3,13151445.2,14931995.5,16949581.9,19024350.2,22101534.7,1411764.3,3042393.4,4831808.9,6667307.7,8625368.3,10672636.6,12699124.7,14889226.8,17020702.6,19231054.7,21844002.6,25811944.5,1658719.3,3729198.3,6677988.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,505301.3,1057058.4,1589482.8,2015551.2,2514598.4,3089320.5,3617637.3,3966843.0,4677586.3,5313592.9,6401130.6,7233597.9,536226.3,1125149.8,1781022.3,2451162.4,3145284.5,3906699.6,4553297.9,5258591.6,6086158.4,6899856.4,7800010.4,9109683.5,442094.3,912376.0,1337895.4,1875833.0,2499224.3,3118112.1,3611370.8,4344174.2,4928057.5,5664914.0,6449207.2,7995430.7,443308.2,1016815.9,1560465.1,2176652.9,2953472.0,3651969.5,4236604.9,5109049.7,6006185.0,6818551.1,7569492.3,9484571.6,614576.0,1287710.1,2046265.6,2900486.7,3755385.5,4629257.7,5552707.9,6457247.4,7318320.0,8327304.9,9442261.5,11590568.5,709460.1,1480803.5,2341830.9,3298426.7,4293790.0,5297084.7,6382339.5,7441975.1,8450290.6,9576554.9,10869631.2,13086039.9,811608.2,1830703.7,3511252.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,871682.4,1818859.7,2809028.3,3671898.1,4557067.1,5551567.2,6516831.8,7523018.7,8642413.1,9833893.9,11184200.4,13536759.4,955073.3,2029407.6,3226578.9,4375413.7,5613835.4,7270035.0,8500135.7,9515526.5,10807828.3,12337380.1,14006866.5,16170495.0,1076635.8,2238414.1,3461023.8,4763532.3,6214540.6,7612596.2,9214742.0,10735866.6,11568427.0,13330076.2,15219859.0,18165882.9,1094866.1,2424237.6,3957579.5,5455002.9,7227027.5,8874397.8,10695995.2,12448280.5,14951441.5,16900114.8,17800188.7,21549420.4,1511810.6,3261433.3,5074064.9,6996862.4,9026859.2,11242725.9,13346119.0,15625923.1,17724382.8,19958611.1,22313948.7,26071094.2,1712207.3,3699314.4,5756341.4,7915946.1,10274316.0,12851950.3,15262672.5,17937435.1,20442282.2,22826166.8,25596380.3,30857074.9,1998873.6,4381644.6,6652848.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,464863.4,1016459.1,1566391.1,2214320.2,2776418.9,3457919.5,4098545.4,4791098.2,5516344.5,6221231.4,6962009.5,7922765.3,527212.8,1150855.9,1870189.3,2559741.2,3351473.6,4138774.2,4887393.4,5652029.4,6515380.7,7424212.6,8352804.9,9619537.4,529490.5,1153107.4,1787182.5,2457278.1,3286271.6,4040421.8,4837812.7,5783595.7,6391979.0,7307136.8,8355826.8,10101567.9,518404.5,1217856.5,2063970.7,2857193.0,3843408.4,4780376.0,5739185.7,6852372.2,8464748.8,9589653.4,9847847.0,11985807.2,773578.5,1724343.7,2846174.7,3907409.2,4975893.0,6170969.4,7378584.6,8649023.8,9884506.6,11253049.0,12724904.0,15000029.1,903587.0,1998051.4,3247287.0,4483854.7,5731130.6,7130541.1,8560778.5,10068314.0,11549041.7,13005930.3,14877151.8,17863351.3,1160355.6,2439890.1,4031815.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,811741.6,1724491.7,2656646.4,3401202.2,4211671.9,5147763.3,6065003.5,7070882.6,8158286.9,9299865.6,10614188.9,12246619.9,894512.4,1908403.3,2996373.6,4062956.4,5204265.7,6407124.0,7558047.6,8814284.9,10210366.2,11675239.8,13199951.0,15311259.1,933351.7,2015607.8,3095647.1,4269949.6,5702588.3,7086616.8,8406061.9,9845802.6,10915608.6,12425840.6,14246262.8,17273119.9,919965.9,2206282.7,3576406.0,4985251.9,6775591.3,8438247.6,9973693.4,11643535.2,14175086.6,15995159.6,16883787.7,20650733.7,1331340.8,2829973.6,4537613.7,6350383.3,8344005.3,10164368.5,12151572.9,14226266.2,16204208.2,18477669.7,20899359.9,25081248.1,1555205.5,3323723.0,5280557.3,7310333.1,9643652.2,11817312.8,14338077.5,16840266.5,19306050.6,21747477.4,24528003.8,29577129.1,1985413.3,4554611.7,7625302.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1060744.2,2276157.1,3533193.3,4885603.0,6038189.2,7381133.4,8717873.6,10177385.8,11757771.8,13370310.4,14741305.1,16828499.1,1348554.8,2792010.2,4406010.1,5940861.9,7518654.8,9208121.0,10822545.4,12702688.1,14737856.3,16699357.3,18801048.7,21617948.7,1514655.9,3168061.1,4816183.5,6558975.5,8477548.3,10399462.1,12236744.0,14410133.2,16271051.2,18537496.4,21099459.3,25342508.0,1489743.9,3421019.8,5583310.2,7740880.3,10105440.7,12198793.8,14358638.9,16952410.3,20163395.1,23057933.9,24966496.1,30216555.9,2305967.1,4744144.5,7408983.6,10035762.5,13052379.2,15787879.3,18621292.7,21576590.5,24385324.4,27607943.0,30923587.2,35916775.0,2582952.6,5373750.5,8379287.5,11299494.0,14745265.4,17969925.2,21201279.3,24612771.5,28148603.9,31505592.7,35711860.0,41892427.0,2951403.1,6528831.2,11223094.1
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,919322.8,1854081.3,2815645.7,3639619.5,4482788.9,5415893.6,6349517.8,7356365.9,8488814.7,9641099.9,10992512.4,12558684.8,1031555.8,2069247.5,3190510.4,4296263.5,5460310.0,6708275.6,7833839.3,9040099.6,10362743.9,11679709.2,13126587.8,15151297.2,1122249.7,2234562.3,3350141.1,4491195.6,5987003.8,7407732.4,8948980.8,10443575.4,11467309.7,12969343.3,14666615.2,17428477.8,1069686.1,2477833.4,3918923.1,5309367.0,7030222.9,8576851.9,10332096.5,12065393.1,14033744.5,15922613.8,17211930.5,20787461.9,1613064.4,3336098.6,5144950.8,6973255.0,8916048.8,11009672.4,13065196.2,15165414.1,17143955.7,19323741.4,21575182.9,24883160.5,1832937.0,3835280.2,5847128.0,7955665.4,10236880.5,12706205.2,15058575.1,17503178.7,19928489.7,22435509.6,25050950.9,29569406.4,2144478.0,4767849.8,8118524.9
