Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,448.99,448.99,448.99,448.99,448.99,448.98,448.99,448.98,448.98,448.98,448.98,448.98,448.98,448.98
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,166.58,166.58,166.58,166.58,166.58,166.58,166.58,166.59,166.59,166.59,166.59,166.59,166.59,166.59
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,2.04,2.04,2.04,2.04,2.04
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,0.92,0.92,0.93,0.92,0.92,0.92
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.18,0.18
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.55,0.55,0.55
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.45,1.45,1.45,1.45,1.45,1.45
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
