Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,21.1,14.8,19.0,22.1,16.8,17.6,29.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,18.1,12.6,17.6,20.0,15.3,16.2,28.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,0.03,0.2,0.01,0.1,0.1,0.1,0.01
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.1,0.4,0.6,0.6,0.6,0.5,0.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.0,0.01,0.01,0.01,0.01,0.01,0.01
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.0,0.2,0.1,0.05,0.1,0.03,0.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.01,0.3,0.1,0.1,0.02,0.02,0.01
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,0.2,0.001,0.0,0.6,0.3,0.3,0.01
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,0.01,0.02,0.1,0.1,0.1,0.01,0.01
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,0.01,0.1,0.1,0.01,0.0,0.01,0.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.03,0.4,0.1,0.2,0.1,0.2,0.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,0.7,0.5,0.3,0.3,0.0,0.2,0.1
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1.9,0.04,0.02,0.02,0.1,0.02,0.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0
