Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,23741.5,1701.0,6658.5,15619.1,30523.2,2178.7,8120.0,16793.7,33135.7,2644.1,9156.8,19119.5,42034.1,5982.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1144.3,28.7,128.9,552.3,1334.0,29.8,162.3,349.5,1140.6,40.1,176.8,435.3,1847.9,137.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1763.8,47.1,349.7,1069.5,2065.0,70.8,522.4,1108.1,2213.9,134.4,547.4,1069.8,3183.9,382.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2059.4,160.5,570.2,988.1,2216.4,224.0,683.5,1305.2,3177.0,233.2,829.2,1586.1,3474.9,664.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,2004.3,49.5,414.5,962.7,2201.6,76.3,394.2,780.6,1698.9,130.7,494.7,1070.9,2690.5,229.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1727.1,73.0,374.8,1148.1,1940.5,101.5,425.5,1169.3,2089.3,102.4,398.4,1101.3,3146.9,188.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1021.5,140.6,350.1,682.0,1306.0,190.1,422.8,792.0,1370.2,216.0,511.5,912.0,1677.9,426.7
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1158.7,89.4,378.2,635.2,1678.3,110.9,439.4,866.9,2287.2,137.1,574.8,1065.8,2848.9,334.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1724.8,89.9,286.1,1029.1,2015.2,120.0,339.8,1025.0,2208.0,130.5,449.0,1270.5,2202.6,474.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2088.4,177.2,873.7,1771.6,2858.5,204.6,982.5,2032.8,2824.1,251.4,1020.3,2305.3,3664.6,556.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1411.9,47.3,361.8,1000.2,1876.6,80.7,477.0,989.9,2093.3,95.9,504.3,1307.4,3144.1,238.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,5269.7,448.5,1577.3,4043.9,7861.9,579.0,2084.2,4111.6,8497.4,765.3,2284.0,4602.8,10067.1,1222.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1204.1,132.7,551.3,861.3,1351.9,177.1,691.6,957.5,1492.8,190.8,818.1,1284.2,1730.5,489.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1163.5,216.6,441.8,875.1,1817.3,213.9,494.8,1305.3,2043.0,216.3,548.3,1108.1,2354.3,638.4
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
