Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M1,2026-M2,2026-M03
62,"Kiyim predmetlari va kiyim jihozlari, mashinada yoki qo'lda to'qilgan trikotajlaridan tashqari","Предметы одежды и принадлежности к одежде, кроме трикотажных машинного или ручного вязания","Articles of clothing and clothing accessories, other than knitted or crocheted","Кийим предметлари ва кийим жиҳозлари, машинада ёки қўлда тўқилган трикотажларидан ташқари",5903.7,17865.4,28430.5,36108.4,44982.6,56021.1,72275.1,82438.8,93022.7,105086.9,115483.6,126667.8,8662.4,19349.1,29923.5,40128.0,51202.2,62124.1,74172.6,82998.6,91368.7,96643.4,103295.1,109246.0,7037.9,14622.3,23885.0,33006.5,41609.2,50191.3,60390.0,71555.1,80056.5,88649.2,97390.8,105863.4,7584.7,17112.8,28201.1
52,Paxta,Хлопок,Cotton,Пахта,109393.3,240407.2,371334.9,473519.6,593122.3,739719.9,842536.4,951730.2,1065375.8,1173717.5,1291619.9,1414139.8,134120.1,272550.9,399817.7,521989.4,661429.5,778354.4,893157.8,998773.2,1089322.7,1184609.4,1288693.9,1391140.1,84671.8,167555.9,260070.6,336626.6,418138.1,485663.6,540395.8,590296.5,638545.7,697502.8,765002.6,842343.9,80578.5,173868.0,280313.9
45,Po'kak va undan tayyorlangan buyumlar,Пробка и изделия из нее,Cork and its products,Пўкак ва ундан тайёрланган буюмлар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Tamaki va sanoatda uning o'rnini bosuvchilar; yondirmasdan nafas olish uchun mo'ljallangan, tarkibida nikotin bo'lgan yoki bo'lmagan mahsulot; tarkibida nikotin bo'lgan va nikotinni inson organizmiga kiritish uchun mo'ljallangan boshqa mahsulotlar","Табак и промышленные заменители табака; продукция, содержащая или не содержащая никотин, предназначенная для вдыхания без горения; прочая продукция, содержащая никотин и предназначенная для поступления никотина в организм человека",Tobacco and industrial tobacco substitutes; products containing or not containing nicotine intended to be inhaled without burning; other products containing nicotine and intended for the intake of nicotine into the human body,"Тамаки ва саноатда унинг ўрнини босувчилар; ёндирмасдан нафас олиш учун мўлжалланган, таркибида никотин бўлган ёки бўлмаган маҳсулот; таркибида никотин бўлган ва никотинни инсон организмига киритиш учун мўлжалланган бошқа маҳсулотлар",2160.2,6801.0,10899.9,13909.7,19254.5,25741.4,28281.5,33340.6,39293.5,45984.6,53951.0,62896.5,2982.3,7775.8,13229.4,18446.4,23539.0,33861.5,40991.7,53142.3,63289.9,70222.1,78089.7,84576.2,5283.7,14068.2,19655.0,31170.9,44184.2,52295.3,59411.1,67876.5,73926.7,84660.9,94683.3,106555.7,4992.2,11859.7,18483.2
25,"Tuz; oltingugurt; tuproqlar va tosh; suvoq materiallari, ohak va sement","Соль; сера; земли и камень; штукатурные материалы, известь и цемент","Salt; sulphur; earths and stone; plastering materials, lime and cement","Туз; олтингугурт; тупроқлар ва тош; сувоқ материаллари, оҳак ва цемент",1796.3,4702.7,7898.9,10610.5,13750.4,16114.1,18646.6,22622.9,25311.2,29114.0,35412.6,35189.1,2131.5,3869.5,6995.7,9630.4,13644.4,18074.2,24778.2,33230.0,39966.8,45149.4,53907.9,60477.0,2853.2,7525.0,14481.1,21368.6,30501.1,40753.4,49935.5,61996.5,73241.5,86234.2,97668.7,106343.1,10129.9,22828.0,37795.9
35,Oqsil moddalari; modifikatsiyalangan kraxmallar; yelim; fermentlar,Белковые вещества; модифицированные крахмалы; клеи; ферменты,Albuminoidal substances; modified starches; glues; enzymes,Оқсил моддалари; модификацияланган крахмаллар; елим; ферментлар,222.3,429.2,863.4,1464.9,2656.7,3471.2,4729.1,5654.7,7075.3,7536.2,8238.7,9124.4,649.2,1186.7,2112.2,2364.1,2985.7,3574.5,4678.3,5575.7,6134.2,6800.9,7605.1,8813.0,1042.6,1890.3,3158.4,5679.2,6433.5,9086.5,9968.9,11638.3,12427.9,15002.8,15877.4,20404.5,360.4,830.4,1344.5
36,"Portlovchi moddalar, pirotexnika vositalari, gugurtlar, pirofor qotishmalari, ba'zi yonuvchi moddalar",Взрывчатые вещества; пиротехнические изделия; спички; пирофорные сплавы; некоторые горючие вещества,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,"Портловчи моддалар, пиротехника воситалари, гугуртлар, пирофор қотишмалари, баъзи ёнувчи моддалар",2.2,72.8,122.5,122.6,147.4,149.7,149.8,150.6,151.4,183.5,184.2,185.0,26.0,26.9,27.9,27.9,75.4,75.8,75.9,130.9,174.2,175.4,195.8,242.5,24.4,26.3,26.6,53.5,92.1,93.5,94.3,115.9,153.0,159.2,173.6,226.4,33.8,69.2,147.9
85,"Elektr mashinalar va uskunalar, ularning qismlari; ovoz yozib oluvchi va ovozni qayta eshittiruvchi apparatura, televizion tasvir va tovushni yozib oluvchi va qayta tiklovchi apparatura, ularning qismlari va jihozlari","Электрические машины и оборудование, их части; звукозаписывающая  и звуковоспроизводящая аппаратура, аппаратура для записи  и воспроизведения телевизионного изображения и звука, их части и  принадлежности","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","Электр машиналар ва ускуналар, уларнинг қисмлари; овоз ёзиб олувчи ва овозни қайта эшиттирувчи аппаратура, телевизион тасвир ва товушни ёзиб олувчи ва қайта тикловчи аппаратура, уларнинг қисмлари ва жиҳозлари",17328.6,36190.7,70361.3,98058.1,116055.8,133501.8,151941.4,195724.1,211225.4,229109.1,254327.8,280318.0,13413.9,31554.2,51662.5,71656.5,88094.8,128097.0,141937.5,156701.2,174648.8,192034.2,212939.1,235965.7,15734.5,29795.3,49243.2,63557.2,75844.4,90485.5,110444.9,132998.5,184802.3,206805.2,228920.0,250827.5,34780.1,68193.7,90958.5
87,"Yer usti transport vositalari: temir yo'l yoki tramvay harakatlanuvchi tarkibidan tashqari, ularning qismlari va asbob-uskunalari","Средства наземного транспорта, кроме железнодорожного или трамвайного подвижного состава, и их части и принадлежности","Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof","Ер усти транспорт воситалари: темир йўл ёки трамвай ҳаракатланувчи таркибидан ташқари, уларнинг қисмлари ва асбоб-ускуналари",10150.2,45650.8,85852.2,122042.1,180495.4,231164.9,262419.7,318551.4,356908.7,410548.2,460134.9,496701.9,18462.1,39106.0,97562.3,118486.5,140348.8,168729.3,200585.9,246108.1,290112.5,321586.0,375743.3,415725.0,6524.4,37187.1,76626.0,90398.0,101969.5,136191.5,160698.8,179336.6,220182.3,245957.0,282540.8,357751.6,9228.9,17875.6,44914.7
88,"Uchish apparatlari, kosmik apparatlar va ularning qismlari","Летательные аппараты, космические аппараты, и их части","Aircraft, spacecraft, and parts thereof","Учиш аппаратлари, космик аппаратлар ва уларнинг қисмлари",997.5,2555.1,2562.2,2577.0,2623.5,2644.6,2669.1,22770.7,22770.7,67847.8,67703.3,71703.9,0.0,916.5,2623.2,10435.6,107439.4,107439.4,107442.3,111764.8,117134.8,117128.1,117817.6,117826.2,39.5,33.4,50629.0,58217.8,62791.6,62805.0,62898.0,62936.1,63205.1,114335.3,114562.3,115068.2,136.3,53774.6,54668.9
