Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
7,Mashinalar va transport asbob-uskunalari,Машины и транспортное оборудование,Machines and transport equipment,Машиналар ва транспорт асбоб-ускуналари,535.8,992.0,1562.4,2333.2,3037.0,3819.9,4526.8,5332.8,5989.5,6737.5,7367.3,8252.4,719.5,1582.7,2560.6,3550.0,4166.8,4942.5,5595.8,6315.1,7050.4,7773.8,8626.9,9695.7,1349.7,2387.3,3634.6,4732.7,5955.8,6432.3,7519.7,9020.7,10315.2,11704.9,13232.9,14935.2,1331.8,2439.3,3536.0,4549.0,5910.6,6793.7,7806.8,9000.9,10116.1,11277.2,12224.5,13488.3,1130.9,2195.9,3181.0,4316.8,5546.6,6617.1,8098.4,9603.7,11226.9,12763.6,14058.3,15995.9,1486.7,2906.1,4132.1
8,Turli xil tayyor buyumlar,Различные готовые изделия,Various finished products,Турли хил тайёр буюмлар,122.8,233.4,324.8,469.2,595.9,718.3,815.3,926.0,1004.7,1099.5,1232.3,1385.0,95.1,207.5,310.0,420.8,509.3,657.6,753.1,871.0,995.8,1142.1,1180.0,1330.9,102.2,196.1,305.0,407.4,529.0,631.9,755.1,890.7,1028.3,1188.1,1339.4,1489.8,113.7,222.8,331.1,448.7,578.4,678.1,797.5,918.7,1055.0,1194.0,1325.3,1482.5,112.2,216.3,307.3,436.4,586.1,738.6,906.1,1054.0,1220.3,1405.3,1557.9,1749.1,152.6,305.3,441.8
9,Boshqa tovarlar,"Товары и операции, не включенные в другие категории МСТК",Other goods,Бошқа товарлар,0.0,0.0,1.6,2.7,4.8,7.7,9.3,9.3,10.3,11.6,11.6,11.6,1.1,1.5,1.9,1.9,8.4,15.4,22.7,31.8,39.3,48.4,55.6,62.9,6.5,11.9,18.3,24.1,31.3,38.9,46.8,55.7,63.7,72.2,81.5,90.9,2.0,23.5,23.5,23.5,23.5,43.2,45.5,45.5,46.3,46.3,46.4,55.0,44.3,59.9,75.8,75.8,89.8,116.8,116.8,150.1,229.7,230.5,437.8,494.7,6.1,11.7,177.9
99,Xizmatlar,Услуги,Services,Хизматлар,55.8,126.3,361.9,380.1,511.4,661.3,843.4,1021.2,1219.2,1393.7,1543.5,1767.3,147.1,274.6,482.3,663.3,844.3,1097.2,1395.7,1653.0,1887.8,2109.6,2322.3,2547.5,149.6,298.3,495.4,660.6,835.3,1015.6,1255.6,1571.3,1807.9,2048.1,2286.4,3084.3,240.2,454.5,727.7,967.9,1224.1,1592.7,1903.2,2273.5,2703.7,3076.3,3408.2,3748.0,332.8,660.8,1037.0,1341.8,1696.1,2070.1,2513.5,2924.5,3646.0,4066.7,4465.7,5270.6,443.0,844.0,1222.8
1,Ichimliklar va tamaki,Напитки и табак,Beverages and tobacco,Ичимликлар ва тамаки,3.9,8.2,12.0,19.0,26.7,34.2,41.8,50.3,59.8,70.6,80.0,89.9,5.4,15.4,24.2,34.0,44.6,58.1,71.4,87.2,101.8,115.2,126.6,139.2,7.5,17.9,32.2,46.3,67.6,81.9,104.8,125.1,141.3,154.6,171.8,191.6,11.4,32.9,58.8,75.4,94.5,114.0,140.4,156.2,175.3,197.9,217.0,251.3,12.7,30.7,50.0,81.0,118.2,152.1,193.2,221.8,251.0,282.5,311.8,341.4,16.8,44.8,71.3
6,Asosan material turiga qarab klassifikatsiyalangan sanoat tovarlari,"Промышленные товары, классифицированные главным образом по виду материала",Industrial goods,Асосан материал турига қараб классификацияланган саноат товарлари,270.7,567.1,900.3,1329.9,1693.8,2098.0,2485.9,2861.8,3269.0,3734.4,4160.5,4722.1,405.1,912.9,1355.5,1794.2,2206.7,2753.4,3177.1,3707.3,4215.3,4749.8,5239.6,5746.9,397.2,855.5,1357.2,1827.8,2437.6,2781.5,3388.6,3965.3,4491.1,5131.3,5728.9,6322.8,524.9,1130.4,1549.6,1969.5,2413.8,2841.3,3333.6,3833.4,4301.1,4970.6,5525.6,6054.9,504.8,989.9,1485.2,2068.5,2649.6,3216.5,3880.7,4567.5,5271.8,5939.5,6564.3,7258.4,573.8,1148.7,1696.2
5,Kimyoviy vositalar va boshqa toifalarga kiritilmagan shunga o‘xshash mahsulotlar,"Химические вещества и аналогичная продукция, не включенные в другие категории",Chemicals and similar products,Кимёвий воситалар ва бошқа тоифаларга киритилмаган шунга ўхшаш маҳсулотлар,207.4,449.3,715.2,983.1,1255.5,1556.0,1889.1,2213.4,2547.3,2915.9,3255.9,3647.7,314.6,620.3,1027.0,1430.6,1736.7,1991.3,2290.9,2667.1,3026.3,3410.5,3941.9,4372.2,356.8,798.2,1188.3,1581.3,2052.2,2271.9,2708.9,3169.7,3586.0,4027.4,4446.6,4864.5,364.7,738.7,1157.4,1535.0,1947.9,2294.4,2737.8,3130.5,3474.4,3887.8,4279.9,4688.0,408.6,783.4,1202.6,1652.5,2135.8,2602.6,3111.1,3580.4,4085.1,4627.2,5099.1,5600.4,488.1,955.5,1461.2
4,"Hayvonlar va usimliklar moylari (yoglari), yoglar va mumlar","Животные и растительные масла, жиры и воски","Animal and vegetable oils, fats and wax","Ҳайвонлар ва ўсимликлар мойлари (ёғлари), ёғлар ва мумлар",34.6,66.9,91.0,122.8,173.8,212.1,241.8,268.3,302.2,338.5,376.1,411.0,20.8,45.9,64.0,92.8,115.6,148.4,165.2,190.8,228.2,272.6,335.8,400.9,42.2,88.6,127.0,151.5,191.7,213.4,238.4,277.2,308.2,342.7,381.5,425.4,26.2,48.8,76.0,112.2,139.7,163.8,192.2,220.5,251.1,288.7,330.4,373.2,43.9,76.5,108.3,158.6,200.4,236.0,290.9,344.7,387.5,422.5,469.8,532.0,39.2,92.7,158.1
2,"Nooziq-ovqat xomashyo, yokilg‘idan tashqari","Сырье непродовольственное, кроме топлива","Non-food raw materials, except fuel","Ноозиқ-овқат хомашё, ёқилғидан ташқари",66.0,151.5,225.8,334.0,418.1,555.0,698.9,785.6,871.4,962.2,1083.0,1154.5,74.5,161.2,250.2,367.7,483.5,602.0,707.2,859.5,961.2,1049.1,1192.2,1283.6,105.7,218.9,302.8,419.1,526.4,577.9,657.8,763.4,831.0,914.7,1033.1,1125.3,55.3,104.9,161.2,230.4,398.7,474.5,590.7,678.7,801.0,916.3,1039.8,1195.7,61.7,139.9,224.5,345.8,539.5,674.8,798.3,943.2,1094.9,1237.6,1375.3,1550.4,93.5,175.0,288.9
3,"Mineral yoqilg‘i, yog‘lash moylari va shunga o‘xshash materiallar","Минеральное топливо, смазочные масла и аналогичные материалы","Mineral fuels, lubricating oils and similar materials","Минерал ёқилғи, ёғлаш мойлари ва шунга ўхшаш материаллар",155.0,284.4,406.7,457.3,559.5,656.6,752.1,889.0,1011.0,1147.7,1297.8,1556.7,111.1,316.2,486.3,581.6,660.5,732.2,823.7,952.9,1103.6,1248.6,1584.2,1795.1,148.4,336.6,742.6,878.1,1134.0,1279.5,1384.1,1495.9,1899.6,2073.1,2245.4,2633.6,141.7,506.8,967.0,1336.5,1744.4,2107.3,2526.5,2839.8,3066.6,3233.1,3542.3,3953.1,212.9,403.4,713.2,970.2,1304.1,1748.3,2062.5,2393.6,2627.5,3011.8,3543.9,3998.6,406.1,670.8,1172.5
