Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
851762,"Telefon apparatlari, jumladan smartfonlar va boshqa uyali aloqa tarmoqlari yoki boshqa simsiz aloqa tarmoqlari uchun apparatlar","Аппараты телефонные, включая смартфоны и прочие аппараты телефонные для сотовых сетей связи или других беспроводных сетей связи","851762 Machines for the reception, conversion & transmission/regeneration of voice,images/other data, incl. switching & routing apparatus","Телефон аппаратлари, жумладан смартфонлар ва бошқа уяли алоқа тармоқлари ёки бошқа симсиз алоқа тармоқлари учун аппаратлар",143528.8,94106.3,105787.3,51598.3,84008.8,120440.2,65753.4,41445.6,73301.6,143020.3,169267.4,181341.9,116307.5,49465.8,65318.9
851829,"Mikrofonlar va ular uchun podstavkalar; korpuslarga o'rnatilgan yoki o'rnatilmagan radiokarnaylar, dinamiklar","Микрофоны и подставки для них; громкоговорители, смонтированные или не смонтированные в корпусах","851829 Loudspeakers n.e.s. in 85.18, whether/not mounted in their enclosures","Микрофонлар ва улар учун подставкалар; корпусларга ўрнатилган ёки ўрнатилмаган радиокарнайлар, динамиклар",1566.4,1426.1,1908.0,2327.9,1818.7,1120.8,305.6,1070.5,1102.7,3578.4,4637.5,3906.8,5436.1,463.0,509.1
854130,"Yarim o'tkazgichli asboblar (masalan, diodlar, tranzistorlar, yarim o'tkazgichlarga asoslangan konvertorlar)","Приборы полупроводниковые (например, диоды, транзисторы, преобразователи на основе полупроводников","854130 Thyristors, diacs & triacs (excl. photosensitive devices)","Ярим ўтказгичли асбоблар (масалан, диодлар, транзисторлар, ярим ўтказгичларга асосланган конверторлар)",443.6,107.8,512.6,114.5,230.9,273.3,375.4,77.4,81.9,112.9,149.9,64.1,2227.4,174.4,2141.8
852841,"Monitorlar va proyektorlar, qabul qilish uskunalari televizion uskunalarini o'z tarkibiga olmaydigan","Мониторы и проекторы, не включающие в свой состав приемную телевизионную аппаратуру","852841 Cathode-ray tube monitors , of a kind solely/principally used in an automaticdata processing system of heading 84.71","Мониторлар ва проекторлар, қабул қилиш ускуналари телевизион ускуналарини ўз таркибига олмайдиган",53.6,0.2,2.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
852990,"Qismlar, 8524  8528 tovar pozitsiyasida bo'lgan apparaturalar uchun faqat yoki asosan mo'ljallangan: boshqalar:","Части, предназначенные исключительно или в основном для аппаратуры товарных позиций 8524  8528: прочие:","852990 Other parts suitable for use solely/principally with the apparatus of headings85.25 to 85.28., other than aerials & aerial reflectors of all kinds","Қисмлар, 8524  8528 товар позициясида бўлган аппаратуралар учун фақат ёки асосан мўлжалланган: бошқалар:",16792.3,23128.2,22634.9,33364.6,29392.1,27152.4,15920.1,15380.6,24399.7,36241.9,32891.2,23272.0,29336.2,3468.4,3191.0
852713,"Radioeshittirish uchun qabul qiluvchi apparaturalar, ovoz yozish yoki ovozni qayta tiklash apparaturalari yoki soatlar bilan bitta korpusda birlashtirilgan yoki birlashtirilmagan","Аппаратура приемная для радиовещания, совмещенная или не совмещенная в одном корпусе со звукозаписывающей или звуковоспроизводящей аппаратурой или часами","852713 Radio-broadcast receivers capable of operating without an external source ofpower, combined with sound recording/repr. apparatus (excl. of 8527.12)","Радиоэшиттириш учун қабул қилувчи аппаратуралар, овоз ёзиш ёки овозни қайта тиклаш аппаратуралари ёки соатлар билан битта корпусда бирлаштирилган ёки бирлаштирилмаган",5.7,0.2,0.0,0.0,0.0,0.1,0.8,24.4,70.2,262.4,330.8,359.2,1176.2,1997.3,2189.1
853400,Bosma sxemalar:,Схемы печатные:,853400 Printed circuits,Босма схемалар:,24.8,45.1,127.6,345.8,322.9,349.9,254.0,291.6,752.9,763.2,1548.6,1439.5,2202.4,2259.7,1681.6
854290,Elektron integral mikrosxemalar: qismlar  boshqalar:,Схемы электронные интегральные: части,854290 Parts of electronic integrated circuits,Электрон интеграл микросхемалар: қисмлар  бошқалар:,58.9,38.9,40.5,4.4,259.0,209.6,24.5,102.2,180.1,395.6,69.1,112.9,31.5,15.3,55.0
844331,"8442 tovar pozitsiyasidagi plastinalar, silindrlar va boshqa bosish formalari yordamida nashr qilish uchun ishlatiladigan bosma mashinalar","Машины печатные, используемые для печати посредством пластин, цилиндров и других печатных форм товарной позиции 8442","844331 Machines which perform two, more of the functions of printing,processing machine to a network","8442 товар позициясидаги пластиналар, цилиндрлар ва бошқа босиш формалари ёрдамида нашр қилиш учун ишлатиладиган босма машиналар",1730.4,2534.3,2440.4,2966.2,3493.0,1633.9,1654.7,2945.3,4100.0,6895.2,6157.3,7345.3,22131.9,23452.0,12406.8
844332,"8442 tovar pozitsiyasidagi plastinalar, silindrlar va boshqa bosish formalari yordamida nashr qilish uchun ishlatiladigan bosma mashinalar","Машины печатные, используемые для печати посредством пластин, цилиндров и других печатных форм товарной позиции 8442","844332 Other printers, copying machines & facsimile machines, whether not combined,copying facsimile transmission; capable of connecting to an automatic data processing machine/to a network","8442 товар позициясидаги пластиналар, цилиндрлар ва бошқа босиш формалари ёрдамида нашр қилиш учун ишлатиладиган босма машиналар",4993.4,12499.7,4280.6,6769.3,4470.1,5156.0,3865.6,3809.8,4098.1,7320.5,9718.3,13092.6,20636.6,21766.6,11809.6
