Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1446.2,2236.3,3467.1,4682.0,5812.4,7252.0,8582.1,9941.0,15232.3,17563.5,19602.5,22017.6,1779.9,3711.6,6377.0,7715.4,9927.6,12153.3,14391.1,16676.7,19101.8,21649.5,24228.1,27719.6,2123.9,4438.7,7664.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,892.5,1139.6,1778.5,2345.9,2877.6,3573.7,4223.9,4860.4,9762.0,11569.2,12717.6,14294.6,1022.2,2184.8,3756.1,4733.6,6138.1,7543.0,8849.9,10296.7,11591.6,13190.5,14940.8,17241.2,1220.5,2725.3,4530.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,758.2,1078.3,1722.4,2304.1,2758.6,3496.0,4129.9,4773.5,8343.9,9668.3,10836.9,12197.0,935.5,1972.1,3418.0,4151.6,5368.6,6656.6,7973.6,9303.1,10629.0,12048.1,13452.6,15457.9,1112.0,2337.9,4069.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1034.9,1548.6,2576.5,3415.2,4054.0,5116.7,6038.8,6979.9,11565.9,13353.5,14873.6,16741.1,1240.8,2588.4,4663.5,5690.0,7276.3,9108.4,10688.8,12385.6,14133.3,15949.5,17823.6,20391.6,1483.8,3141.5,5553.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,816.9,1177.9,1861.6,2516.8,3092.8,3995.2,4705.1,5394.9,9032.3,10472.2,11732.3,13182.0,943.5,1970.4,3576.5,4283.5,5769.6,6976.6,8233.2,9523.6,10920.7,12386.4,13823.1,15856.8,1125.8,2392.0,4299.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,736.9,942.9,1490.4,1992.3,2383.1,3000.4,3527.3,4068.9,8172.2,9575.4,10655.1,12015.5,898.4,1901.5,3171.9,4045.4,5222.0,6458.1,7625.9,8848.0,10002.6,11359.0,12725.2,14713.6,1055.5,2241.4,3784.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1175.8,1820.5,2909.6,3958.3,4685.3,5967.7,7048.5,8147.7,12749.1,14662.5,16460.1,18484.4,1453.3,3068.6,5360.1,6399.7,8394.7,10301.1,12184.4,14114.1,16146.6,18291.8,20487.6,23324.2,1704.8,3650.4,6361.8
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,845.2,1047.4,1634.8,2166.3,2598.5,3252.6,3818.5,4411.4,9463.1,11116.2,12298.6,13905.1,1062.4,2263.0,3903.1,4663.8,6038.3,7459.6,8804.5,10214.5,11723.0,13299.3,14950.6,17803.7,1287.3,2739.5,4640.1
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,867.3,1196.8,1863.0,2534.1,3030.8,3787.8,4463.3,5181.6,9378.0,10931.1,12233.8,13843.3,1112.7,2343.7,4021.9,4785.4,6179.1,7545.9,8918.7,10361.5,12274.0,13937.0,15625.4,18015.7,1366.9,2870.8,4926.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,615.3,898.2,1451.9,1936.8,2291.9,2908.9,3427.9,3964.7,6759.6,7821.0,8726.9,9791.5,723.9,1513.1,2659.3,3289.0,4262.1,5192.4,6161.6,7140.9,8146.0,9255.4,10370.2,11940.5,863.9,1841.3,3197.9
