Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,313.2,667.5,1021.7,1385.5,325.8,680.8,1049.5,1434.5,342.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,8.5,18.4,28.7,39.2,8.8,18.5,28.8,40.4,9.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,11.6,24.6,38.1,52.0,12.0,25.9,41.5,57.4,12.7
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,16.4,34.3,52.6,71.2,17.2,34.8,53.9,73.4,18.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,8.5,16.8,26.1,36.1,8.6,19.5,29.1,40.1,8.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,11.2,23.7,36.6,50.3,11.6,24.6,38.7,54.0,12.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,94.1,191.2,286.1,385.3,93.1,191.8,289.0,390.1,93.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,7.5,18.2,28.4,38.3,7.8,16.8,26.7,36.9,8.7
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,13.7,30.0,46.8,64.3,14.6,30.8,48.3,67.4,16.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,19.6,42.5,65.7,88.9,20.5,40.0,63.0,84.3,22.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,4.4,9.3,14.6,20.1,4.5,9.5,14.5,20.1,4.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,62.3,130.4,203.6,276.9,69.4,139.5,218.5,298.7,69.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,15.0,32.4,49.5,67.4,16.1,34.4,54.2,75.9,17.6
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,9.1,18.8,29.3,40.1,9.3,19.2,30.0,41.2,9.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,31.3,76.9,115.6,155.4,32.3,75.5,113.3,154.6,38.3
