Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1028.8,1134.5,1138.8,1156.9,1249.4,1327.6,1403.9,1504.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,18.9,26.9,31.9,29.8,33.6,38.8,40.0,42.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,197.8,236.2,237.9,241.6,263.8,279.0,291.0,291.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,80.0,84.4,89.3,98.2,136.6,118.5,128.3,129.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,55.1,46.6,48.8,51.9,52.0,56.2,64.2,65.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,83.5,102.2,98.5,87.9,90.3,103.4,109.6,120.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,35.4,36.6,40.5,42.3,44.9,45.4,47.1,50.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,93.1,92.4,109.9,126.7,132.2,140.4,170.2,189.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,231.3,219.6,202.5,195.3,195.7,206.5,207.9,245.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,41.4,57.7,53.7,63.8,71.0,74.7,78.5,83.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,20.0,14.0,14.9,14.3,16.7,20.5,21.7,23.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,37.94,66.4,57.4,43.6,42.3,58.0,59.6,66.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,58.7,64.9,65.8,81.7,85.0,94.9,89.6,95.9
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,75.5,86.3,87.1,79.3,85.0,90.9,95.7,99.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.16,0.3,0.6,0.5,0.3,0.4,0.6,0.6
