Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1*
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,26.6,28.6,29.7,33.0,36.8,40.6,45.3,41.2,37.4,25.8,27.9,27.4,26.0,27.0,31.9,34.9,27.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,29.5,28.9,32.7,38.9,41.5,42.1,26.6,20.2,20.3,19.8,24.7,22.1,20.5,29.9,36.6,41.3,38.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,15.5,18.4,18.6,20.3,23.4,32.0,50.4,34.5,21.2,17.7,21.4,27.2,22.4,22.2,29.8,38.0,33.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,28.5,29.0,32.7,36.4,40.1,41.2,46.0,43.5,41.5,32.3,35.1,38.7,33.5,30.5,41.0,42.9,36.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,42.3,46.0,44.7,49.4,48.5,52.5,59.1,63.9,66.8,57.5,65.4,51.9,50.0,25.1,28.0,26.2,23.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,29.1,16.0,15.7,21.9,24.4,25.1,27.0,23.1,22.0,20.0,34.6,27.3,23.0,21.7,36.3,41.2,33.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,8.7,9.8,11.1,14.0,15.8,19.4,20.8,19.4,16.8,8.4,6.5,6.6,7.2,7.7,9.1,9.5,4.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,42.6,44.9,48.6,50.9,59.9,62.0,69.4,72.6,72.0,56.7,50.7,49.2,44.8,46.3,50.1,55.3,50.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,45.9,50.6,46.2,48.1,51.1,56.0,60.1,56.0,57.2,40.6,47.5,42.1,38.1,45.1,50.3,49.6,44.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,25.4,32.0,32.9,34.0,37.6,39.1,45.2,51.1,48.2,41.0,45.3,50.6,42.4,48.2,62.5,65.3,68.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,26.9,27.4,26.2,32.6,37.0,40.3,46.5,49.6,51.4,34.5,37.8,39.3,30.6,31.7,41.1,52.5,50.6
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,21.5,28.9,30.8,26.2,29.4,30.8,34.0,30.0,28.9,22.1,22.3,17.2,20.9,24.4,29.5,31.8,24.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,22.5,24.4,28.2,32.5,35.3,42.9,45.4,39.7,39.4,38.6,46.0,45.8,44.0,48.9,52.6,59.1,59.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,38.8,39.6,41.0,44.3,35.8,38.9,47.7,42.9,37.1,30.2,30.9,21.8,16.0,16.3,19.4,26.6,24.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,39.5,42.7,43.3,50.8,67.4,68.6,71.0,72.9,73.0,42.5,37.9,38.5,36.9,37.3,38.8,41.1,35.8
