Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013-M01,2013-M02,2013-M03,2013-M04,2013-M05,2013-M06,2013-M07,2013-M08,2013-M09,2013-M10,2013-M11,2013-M12,2014-M01,2014-M02,2014-M03,2014-M04,2014-M05,2014-M06,2014-M07,2014-M08,2014-M09,2014-M10,2014-M11,2014-M12,2015-M01,2015-M02,2015-M03,2015-M04,2015-M05,2015-M06,2015-M07,2015-M08,2015-M09,2015-M10,2015-M11,2015-M12,2016-M01,2016-M02,2016-M03,2016-M04,2016-M05,2016-M06,2016-M07,2016-M08,2016-M09,2016-M10,2016-M11,2016-M12,2017-M01,2017-M02,2017-M03,2017-M04,2017-M05,2017-M06,2017-M07,2017-M08,2017-M09,2017-M10,2017-M11,2017-M12,2018-M01,2018-M02,2018-M03,2018-M04,2018-M05,2018-M06,2018-M07,2018-M08,2018-M09,2018-M10,2018-M11,2018-M12,2019-M01,2019-M02,2019-M03,2019-M04,2019-M05,2019-M06,2019-M07,2019-M08,2019-M09,2019-M10,2019-M11,2019-M12,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03,2026-M04
001,Guruch,Рис,Rice,Гуруч,2601.0,2650.0,2699.0,2729.0,2750.0,2698.0,2530.0,2593.0,2606.0,2659.0,2644.0,2654.0,2779.0,2837.0,2913.0,2969.0,3023.0,3042.0,3104.0,3238.0,3486.0,3750.0,3869.0,4240.0,4469.0,4728.0,4751.0,5110.0,6018.0,6138.0,6160.0,5993.0,6038.0,5073.0,4145.0,3957.0,3884.0,3961.0,3991.0,3959.0,3997.0,4054.0,4150.0,4149.0,4158.0,4140.0,3724.0,3535.0,3527.0,3529.0,3531.0,3532.0,3545.0,3566.0,3566.0,3558.0,3761.0,3819.0,3817.0,4924.0,5574.0,5704.0,5367.0,5239.0,5689.0,7142.0,8097.0,8065.0,7900.0,8122.0,8352.0,8636.0,9229.0,9341.0,9333.0,9319.0,9359.0,9422.0,9422.0,10211.0,10606.0,10415.0,9988.0,9619.0,9359.0,9285.0,9097.0,8826.0,8931.0,8839.0,8842.0,9071.0,9418.0,9702.0,9598.0,9657.0,9599.0,9697.0,9798.0,9915.0,10006.0,9902.0,9783.0,9782.0,9285.0,8490.0,8505.0,8535.0,8545.0,8540.0,8635.0,7520.0,7502.0,7669.0,8077.0,8720.0,9437.0,11163.0,11511.0,11662.0,14027.0,14825.0,16040.0,17625.0,18546.0,18814.0,18789.0,18892.0,19085.0,19312.0,19244.0,19146.0,19258.0,18434.0,18369.0,18403.0,18485.0,18540.0,18469.0,18540.0,18608.0,18611.0,18302.0,18073.0,18015.0,17877.0,17728.0,17618.0,17401.0,17288.0,17106.0,17118.0,17093.0,16945.0,16297.0,15939.0,15660.0,15499.0,15426.0,15082.0
003,Arpa,Ячмень,Barley,Арпа,1044.0,1078.0,1097.0,1111.0,1125.0,1114.0,980.0,919.0,963.0,979.0,981.0,1001.0,1048.0,1069.0,1078.0,1101.0,1122.0,1131.0,1128.0,1001.0,1022.0,1025.0,1063.0,1136.0,1220.0,1260.0,1267.0,1313.0,1306.0,1292.0,1240.0,1266.0,1308.0,1321.0,1313.0,1339.0,1329.0,1325.0,1324.0,1329.0,1338.0,1275.0,1195.0,1209.0,1233.0,1271.0,1311.0,1311.0,1315.0,1317.0,1329.0,1380.0,1459.0,1572.0,1535.0,1463.0,1444.0,1448.0,1459.0,1510.0,1654.0,1734.0,1811.0,1900.0,1883.0,1866.0,1866.0,1892.0,2044.0,2231.0,2280.0,2328.0,2456.0,2459.0,2459.0,2462.0,2463.0,2449.0,2420.0,2437.0,2432.0,2442.0,2452.0,2451.0,2454.0,2455.0,2485.0,2625.0,2702.0,2706.0,2713.0,2877.0,2850.0,2810.0,2788.0,2763.0,2777.0,2803.0,2851.0,3094.0,3331.0,3318.0,3252.0,3251.0,3262.0,3359.0,3601.0,3753.0,3726.0,3729.0,3802.0,3788.0,3882.0,3934.0,3917.0,3999.0,3974.0,4106.0,4185.0,4221.0,4267.0,4284.0,4315.0,4388.0,4390.0,4173.0,3953.0,3738.0,3619.0,3599.0,3580.0,3593.0,3598.0,3549.0,3504.0,3526.0,3506.0,3440.0,3301.0,3295.0,3316.0,3330.0,3303.0,3289.0,3298.0,3317.0,3461.0,3707.0,3798.0,3712.0,3667.0,3737.0,3762.0,3774.0,3888.0,3997.0,4099.0,4127.0,4179.0,4253.0
0004,Bug'doy,Пшеница,Wheat,Буғдой,932.0,958.0,978.0,993.0,1010.0,999.0,821.0,753.0,796.0,825.0,846.0,887.0,920.0,948.0,970.0,1012.0,1060.0,1082.0,1093.0,900.0,877.0,921.0,943.0,1047.0,1144.0,1170.0,1177.0,1240.0,1282.0,1250.0,1151.0,1184.0,1232.0,1258.0,1321.0,1365.0,1351.0,1348.0,1348.0,1353.0,1341.0,1303.0,1217.0,1217.0,1234.0,1275.0,1298.0,1320.0,1343.0,1344.0,1357.0,1424.0,1502.0,1572.0,1486.0,1368.0,1347.0,1352.0,1385.0,1571.0,1759.0,1830.0,1876.0,1911.0,1881.0,1850.0,1847.0,1842.0,1807.0,1850.0,2119.0,2238.0,2334.0,2335.0,2335.0,2335.0,2335.0,2325.0,2296.0,2309.0,2320.0,2322.0,2356.0,2365.0,2363.0,2379.0,2488.0,2867.0,3246.0,3252.0,3027.0,3184.0,3192.0,3184.0,3139.0,3122.0,3124.0,3140.0,3181.0,3367.0,3548.0,3473.0,3331.0,3295.0,3223.0,3234.0,3419.0,3473.0,3566.0,3606.0,3720.0,3721.0,3828.0,3916.0,3871.0,3945.0,3996.0,4115.0,4196.0,4254.0,4221.0,4338.0,4353.0,4298.0,4248.0,4067.0,3826.0,3664.0,3515.0,3520.0,3509.0,3514.0,3472.0,3377.0,3346.0,3339.0,3333.0,3310.0,3126.0,3097.0,3131.0,3162.0,3196.0,3206.0,3213.0,3240.0,3294.0,3398.0,3403.0,3354.0,3317.0,3370.0,3357.0,3410.0,3662.0,3741.0,3797.0,3837.0,3899.0,3995.0
005,Jo'hori,Кукуруза,Corn,Жўҳори,896.0,919.0,943.0,959.0,975.0,973.0,946.0,986.0,996.0,1039.0,967.0,950.0,990.0,1020.0,1044.0,1073.0,1137.0,1216.0,1228.0,1410.0,1458.0,1278.0,1199.0,1208.0,1239.0,1286.0,1296.0,1499.0,1557.0,1499.0,1604.0,1615.0,1523.0,1526.0,1497.0,1513.0,1444.0,1427.0,1421.0,1428.0,1443.0,1468.0,1450.0,1446.0,1437.0,1431.0,1439.0,1417.0,1414.0,1418.0,1420.0,1452.0,1543.0,1656.0,1691.0,1696.0,1751.0,1759.0,1750.0,1756.0,1788.0,1850.0,1907.0,1969.0,2045.0,2203.0,2564.0,3073.0,2658.0,2450.0,2450.0,2458.0,2450.0,2456.0,2456.0,2456.0,2460.0,2467.0,2472.0,2505.0,2474.0,2491.0,2498.0,2498.0,2483.0,2480.0,2591.0,2813.0,3079.0,3164.0,3235.0,3512.0,3386.0,3097.0,2983.0,2894.0,2916.0,2958.0,2993.0,3268.0,3601.0,3585.0,3523.0,3500.0,3391.0,3224.0,3268.0,3319.0,3570.0,3595.0,3607.0,3671.0,3851.0,4018.0,4278.0,4375.0,4176.0,4246.0,4263.0,4285.0,4192.0,4175.0,4235.0,4286.0,4307.0,4189.0,4014.0,3878.0,3663.0,3576.0,3555.0,3548.0,3404.0,3106.0,3064.0,3106.0,3138.0,3173.0,3193.0,3207.0,3233.0,3168.0,3109.0,3121.0,3128.0,3191.0,3328.0,3866.0,4177.0,4342.0,4583.0,4754.0,4400.0,4277.0,4319.0,4304.0,4363.0,4391.0,4475.0,4574.0
006,Kepak,Отруби,Bran,Кепак,697.0,729.0,755.0,772.0,754.0,721.0,646.0,588.0,580.0,594.0,600.0,624.0,688.0,721.0,737.0,759.0,814.0,836.0,829.0,706.0,690.0,703.0,726.0,777.0,793.0,849.0,861.0,914.0,888.0,864.0,852.0,840.0,874.0,929.0,924.0,1144.0,958.0,948.0,950.0,965.0,955.0,901.0,883.0,854.0,842.0,954.0,996.0,982.0,967.0,950.0,944.0,938.0,960.0,1020.0,1170.0,1186.0,1195.0,1201.0,1204.0,1208.0,1206.0,1219.0,1219.0,1219.0,1219.0,1213.0,1386.0,1400.0,1407.0,1422.0,1528.0,1602.0,1631.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1627.0,1635.0,1639.0,1676.0,1712.0,1716.0,1718.0,1743.0,1768.0,1801.0,1815.0,1845.0,1859.0,1909.0,1964.0,2310.0,2530.0,2564.0,2640.0,2630.0,2610.0,2599.0,2669.0,2693.0,2629.0,2650.0,2746.0,2758.0,2799.0,2857.0,2868.0,2892.0,2957.0,3028.0,3054.0,3048.0,3108.0,3052.0,3123.0,3108.0,3106.0,3088.0,3028.0,3004.0,2985.0,2970.0,2922.0,2909.0,2861.0,2715.0,2720.0,2699.0,2634.0,2660.0,2656.0,2649.0,2652.0,2663.0,2635.0,2622.0,2634.0,2635.0,2689.0,2913.0,2960.0,2929.0,2933.0,2934.0,2915.0,2902.0,2934.0,2993.0,3155.0,3277.0,3281.0,3353.0
0008,Shrot,Шрот,Schroth,Шрот,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,2695.0,2684.0,2684.0,2684.0,2684.0,2684.0,2684.0,2689.0,2691.0,2698.0,2712.0,2712.0,2712.0,2713.0,2713.0,2722.0,2724.0,2728.0,2746.0,2804.0,2831.0,2856.0,2857.0,2881.0,2921.0,2932.0,3163.0,3498.0,3618.0,3607.0,3586.0,3652.0,3643.0,3669.0,3801.0,3797.0,3847.0,3908.0,3870.0,3939.0,4019.0,4097.0,4096.0,4093.0,4516.0,4476.0,4495.0,4534.0,4548.0,4626.0,4701.0,4680.0,4628.0,4606.0,4557.0,4577.0,4655.0,4656.0,4652.0,4552.0,4417.0,4341.0,4361.0,4386.0,4398.0,4428.0,4492.0,4525.0,4545.0,4496.0,4498.0,4524.0,4606.0,4898.0,5400.0,5531.0,5632.0,5753.0,5854.0,5915.0,5788.0,5581.0,5504.0,5504.0,5495.0,5506.0,5463.0
009,Shulxa,Шелуха,Husk,Шулха,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2266.0,2253.0,2246.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2250.0,2259.0,2275.0,2282.0,2282.0,2278.0,2284.0,2296.0,2297.0,2298.0,2319.0,2378.0,2401.0,2398.0,2396.0,2408.0,2443.0,2469.0,2686.0,2937.0,3007.0,3040.0,3038.0,3075.0,3097.0,3184.0,3200.0,3198.0,3216.0,3262.0,3282.0,3336.0,3439.0,3505.0,3464.0,3479.0,3950.0,4053.0,3946.0,3879.0,3929.0,4009.0,4048.0,3988.0,3929.0,3879.0,3747.0,3754.0,3782.0,3797.0,3799.0,3740.0,3634.0,3671.0,3675.0,3699.0,3695.0,3692.0,3698.0,3699.0,3707.0,3721.0,3722.0,3732.0,3713.0,3797.0,4095.0,4471.0,4645.0,4778.0,4873.0,4884.0,4802.0,4536.0,4500.0,4415.0,4399.0,4443.0,4452.0
010,Kombikorm,Комбикорм,Compound feed,Комбикорм,966.0,1003.0,1061.0,1106.0,1097.0,1066.0,1013.0,979.0,1022.0,1043.0,1033.0,1073.0,1102.0,1124.0,1168.0,1222.0,1009.0,906.0,931.0,1107.0,1157.0,1083.0,1154.0,1196.0,1222.0,1094.0,993.0,1188.0,1261.0,1233.0,1220.0,1262.0,1245.0,1299.0,1283.0,1286.0,1257.0,1263.0,1265.0,1257.0,1254.0,1292.0,1271.0,1279.0,1301.0,1343.0,1377.0,1382.0,1372.0,1379.0,1377.0,1401.0,1474.0,1524.0,1527.0,1540.0,1540.0,1549.0,1560.0,1722.0,1882.0,1948.0,1998.0,1927.0,1909.0,1957.0,1976.0,2016.0,2016.0,2016.0,2057.0,2233.0,2097.0,2067.0,2058.0,2058.0,2058.0,2051.0,2051.0,2051.0,2097.0,2119.0,2112.0,2097.0,2097.0,2097.0,2098.0,2109.0,2121.0,2123.0,2123.0,2140.0,2186.0,2212.0,2229.0,2244.0,2255.0,2313.0,2467.0,2631.0,2973.0,2988.0,2986.0,2992.0,2916.0,2902.0,2924.0,2970.0,2906.0,2985.0,3033.0,3078.0,3120.0,3288.0,3485.0,3457.0,3519.0,3852.0,3959.0,3933.0,3839.0,3764.0,3808.0,3785.0,3704.0,3699.0,3698.0,3693.0,3745.0,3725.0,3722.0,3734.0,3760.0,3714.0,3690.0,3690.0,3712.0,3718.0,3742.0,3780.0,3783.0,3784.0,3712.0,3693.0,3703.0,3722.0,3780.0,4057.0,4155.0,4197.0,4239.0,4252.0,4252.0,4259.0,4251.0,4120.0,4179.0,4162.0,4166.0,4284.0
011,Oliy navli bug'doy uni,Мука пшеничная высшего сорта,High-grade wheat flour,Олий навли буғдой уни,1331.0,1366.0,1386.0,1404.0,1398.0,1368.0,1225.0,1141.0,1191.0,1239.0,1250.0,1265.0,1545.0,1674.0,1689.0,1712.0,1736.0,1755.0,1761.0,1432.0,1392.0,1400.0,1421.0,1439.0,1461.0,1570.0,1583.0,1562.0,1542.0,1786.0,1759.0,1697.0,1727.0,1736.0,1748.0,1800.0,1876.0,2114.0,2036.0,2027.0,2073.0,1941.0,1907.0,1910.0,1897.0,1967.0,2117.0,2091.0,2119.0,2119.0,2119.0,2135.0,2160.0,2194.0,2354.0,2509.0,2527.0,2528.0,2530.0,2635.0,2649.0,2664.0,2672.0,2681.0,2681.0,2681.0,2681.0,2681.0,2748.0,2881.0,2914.0,3004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4801.0,4851.0,4947.0,4796.0,4826.0,5858.0,6246.0,6306.0,6364.0,7521.0,7827.0,7915.0,8107.0,8151.0,8109.0,7906.0,7838.0,7887.0,7812.0,7582.0,7579.0,7696.0,7680.0,7689.0,7476.0,7340.0,7326.0,7325.0,7315.0,7311.0,7308.0,7311.0,7335.0,7384.0,7399.0,7404.0,7415.0,7426.0,7428.0,7463.0,7459.0,7502.0,7525.0,7552.0,7591.0,7686.0,7831.0,7888.0,8113.0,8336.0,8493.0,8686.0
0012,1-navli bug'doy uni,Мука пшеничная первого сорта,First grade wheat flour,1-навли буғдой уни,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3865.0,3816.0,3836.0,3735.0,3784.0,5203.0,5615.0,5701.0,5669.0,6409.0,6505.0,6504.0,6868.0,6747.0,6784.0,6550.0,6289.0,6283.0,6197.0,6063.0,6131.0,6256.0,6165.0,6094.0,5967.0,5783.0,5672.0,5661.0,5645.0,5630.0,5614.0,5605.0,5619.0,5657.0,5673.0,5681.0,5666.0,5656.0,5657.0,5666.0,5660.0,5680.0,5663.0,5653.0,5666.0,5723.0,5844.0,5865.0,5965.0,6049.0,6091.0,6163.0
