Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1461.4,1564.2,1672.9,1787.8,1906.3,2033.4,2172.5,2286.8,2430.5,2473.6,2519.6,2635.1,2725.9,2833.2,2942.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,58.9,64.8,69.2,77.2,82.7,88.4,95.2,101.3,105.2,106.8,111.1,116.4,120.9,123.8,129.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,91.9,98.0,104.9,112.5,119.9,126.1,134.0,135.6,146.1,151.6,157.1,176.9,184.4,193.0,202.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,140.2,150.4,161.9,172.3,182.7,195.4,209.3,223.5,243.0,253.9,262.7,278.4,286.6,300.4,312.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,124.2,133.0,142.3,153.6,162.8,176.8,190.2,203.3,212.4,212.9,217.2,230.3,232.0,238.4,244.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,178.7,192.2,205.8,219.1,233.2,247.8,266.2,281.9,289.3,293.7,301.9,305.1,315.4,328.7,345.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,93.3,99.7,107.6,117.5,125.4,133.2,142.0,148.4,157.3,159.2,165.1,173.2,181.6,188.3,196.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,81.5,87.1,93.2,99.8,106.5,114.7,125.0,134.9,143.8,150.9,156.7,161.0,169.0,178.9,182.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,179.9,191.8,203.8,214.2,230.0,244.4,258.0,262.8,294.6,297.3,286.0,300.2,314.7,317.1,325.7
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,113.3,120.9,129.4,138.1,146.4,155.6,168.5,177.5,184.1,186.5,193.6,202.6,210.0,214.2,220.1
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,40.1,43.0,46.0,49.3,52.8,56.8,60.4,62.9,64.8,67.3,65.6,69.0,70.9,74.3,80.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,166.0,177.7,189.7,199.4,212.5,226.7,238.9,258.6,264.3,266.8,265.5,277.8,284.7,305.9,313.2
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,98.1,105.1,112.7,121.6,130.5,138.9,148.0,149.6,167.6,167.9,173.0,177.5,180.1,184.4,195.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,95.3,100.5,106.4,113.2,120.9,128.6,136.8,146.5,157.9,158.6,163.9,166.5,174.7,184.9,192.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.9,0.9,0.9
