Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,60.8,61.9,60.8,60.9,61.9,64.6,66.8,67.4,63.5,58.1,56.7,56.3,54.3,53.8,53.5,52.2,45.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,60.7,60.1,62.5,62.5,62.7,69.7,63.6,66.5,63.8,62.8,62.4,61.6,61.7,64.2,66.0,65.5,57.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,69.1,69.8,67.3,68.4,71.3,78.5,83.6,82.0,75.4,72.5,73.0,74.6,69.8,68.6,70.1,70.1,63.1
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,64.5,71.2,70.2,72.1,73.6,77.4,79.3,81.2,81.9,76.2,77.0,77.4,74.4,72.5,72.4,71.0,65.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,79.4,80.1,78.3,76.0,78.4,83.0,84.2,86.4,86.7,84.0,83.8,80.6,78.3,74.8,74.7,71.2,64.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,61.0,58.6,57.4,60.3,62.2,63.2,66.7,75.9,73.8,73.4,74.1,71.7,69.9,69.8,70.6,69.2,63.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,40.6,48.3,46.4,46.2,46.1,51.0,50.4,46.5,42.6,32.4,25.3,27.0,26.8,27.6,23.5,21.1,12.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,72.1,74.6,72.7,74.9,75.4,78.7,79.8,83.5,81.8,77.9,76.4,76.1,74.6,74.0,73.9,73.6,68.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,80.5,80.7,76.8,76.8,78.0,80.2,81.2,83.0,81.4,76.5,75.2,74.3,70.8,72.0,72.4,69.5,64.7
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,74.0,75.4,75.1,73.6,74.4,77.4,79.1,83.6,81.4,79.1,77.9,78.0,77.3,76.6,77.9,76.4,72.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,74.2,73.8,72.0,73.0,73.9,75.1,75.9,80.8,79.5,72.5,72.9,71.2,67.8,65.0,68.5,69.5,64.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,64.0,64.5,65.6,62.3,64.3,66.5,67.9,67.6,60.1,54.4,51.2,48.3,50.4,53.3,55.1,55.0,47.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,64.9,65.5,65.5,63.9,63.6,69.7,73.9,74.2,74.0,71.9,73.4,72.2,71.6,71.8,74.0,73.0,71.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,77.5,76.2,74.8,73.6,75.0,77.1,79.4,80.5,80.1,78.2,77.7,75.9,72.0,72.4,72.8,71.6,66.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,64.0,60.7,58.9,63.5,63.3,66.7,68.1,65.6,67.4,56.5,54.4,52.0,52.2,52.4,52.3,51.7,53.3
