Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,120.1,124.5,111.6,111.4,107.1,107.7,108.8,116.8,104.9,103.8,97.9,110.4,106.5,103.9,109.4,107.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,119.5,122.1,113.9,110.2,109.9,111.6,105.8,120.0,109.3,105.0,101.7,108.7,104.8,101.3,107.0,103.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,118.5,128.0,108.6,118.6,106.5,107.2,110.5,119.0,104.9,103.8,95.2,108.4,109.2,108.5,110.2,100.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,118.0,129.4,109.6,110.4,108.1,106.9,108.8,118.8,109.8,100.9,98.0,111.9,105.5,101.0,106.7,108.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,118.1,125.0,110.9,109.2,113.8,111.5,107.7,118.2,110.7,99.4,98.9,108.2,102.1,102.3,103.0,105.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,119.6,127.6,111.0,110.4,106.3,105.0,112.4,115.0,103.0,102.8,96.8,107.3,107.0,100.4,107.9,108.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,122.9,120.6,102.2,108.4,106.5,112.7,105.7,115.5,106.9,106.4,103.4,112.3,97.9,104.8,106.7,107.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,121.1,129.4,114.0,112.0,107.8,107.4,109.4,120.6,100.7,105.5,100.2,110.8,108.2,98.9,105.4,105.7
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,119.1,120.7,108.0,112.9,107.8,103.6,114.0,115.5,105.1,99.3,99.8,109.6,106.4,98.6,111.7,106.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,121.1,137.0,113.5,106.9,108.2,106.8,105.4,116.3,105.0,103.5,97.6,111.1,109.7,100.3,105.0,106.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,115.7,132.1,107.7,116.7,104.8,109.8,110.0,104.4,99.7,104.0,96.0,105.6,101.6,103.7,106.3,106.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,119.5,126.3,112.0,107.8,108.4,110.9,104.4,115.6,102.4,103.5,102.1,111.4,101.1,103.8,107.8,104.4
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,121.1,123.6,117.4,107.9,106.3,108.0,107.0,113.8,105.8,99.7,96.2,115.1,108.5,110.3,101.0,114.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,121.2,124.5,111.1,113.5,106.9,104.1,109.4,118.5,111.2,102.8,97.7,116.1,110.5,94.7,113.1,108.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,121.0,115.8,113.9,114.0,104.7,109.1,110.1,118.7,102.3,111.6,92.8,105.7,108.0,110.6,118.2,108.5
