Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.72,100.54,100.86,100.7,101.52,99.77,99.83,100.44,100.56,100.58,100.66,100.89,100.7,100.6,100.6,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.82,100.57,101.45,100.75,99.2,98.92,98.96,100.61,100.86,100.87,100.98,101.45,100.8,100.9,101.2,101.0
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.96,96.04,97.49,99.36,99.46,100.02,99.64,99.81,99.71,97.59,95.6,97.95,99.0,99.0,99.6,99.1
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.81,94.7,98.3,100.66,99.9,100.0,99.78,100.03,100.09,100.38,100.46,100.18,100.5,100.5,100.6,101.0
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),101.05,102.83,108.29,101.84,100.78,100.72,102.04,100.23,101.74,101.67,100.28,100.45,101.0,101.6,101.8,103.2
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,101.21,102.39,109.14,101.83,100.83,100.76,102.16,101.44,101.51,101.62,100.84,100.51,101.6,102.6,101.2,103.7
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),100.0,99.86,100.6,99.81,99.47,101.82,100.69,101.86,101.15,99.02,98.84,100.62,101.5,101.4,99.6,98.6
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),100.27,100.42,100.86,100.04,99.83,100.06,100.02,100.3,100.75,101.43,100.79,100.45,101.0,100.3,100.4,100.4
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,85.71,87.95,100.16,96.7,95.96,105.34,96.02,102.69,106.52,104.09,102.44,103.39,100.6,100.7,102.1,96.4
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,101.85,100.46,101.03,103.06,104.35,100.83,100.83,101.57,100.61,100.98,100.54,100.36,100.3,100.4,100.7,100.6
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,102.16,100.38,100.07,103.3,103.72,100.22,100.93,100.04,100.61,100.7,100.44,99.53,100.4,100.4,101.0,100.9
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,103.11,101.39,100.7,101.64,101.34,100.03,97.34,99.01,98.85,99.89,104.66,102.32,102.1,104.1,107.4,104.5
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,98.87,130.1,104.31,98.9,72.88,53.38,55.69,83.21,116.9,160.98,182.16,125.13,97.9,112.1,111.5,97.6
01.107,Sabzi,Морковь,Carrot,Сабзи,102.94,102.38,115.72,107.2,114.95,112.42,97.51,96.86,107.68,94.31,73.89,92.52,101.8,101.8,99.0,103.2
01.110,Piyoz,Лук репчатый,Onion,Пиёз,103.41,100.33,101.87,112.63,98.85,98.92,98.35,97.69,96.4,94.7,97.46,100.81,101.2,99.1,95.4,97.3
01.113,Kartoshka,Картофель,Potato,Картошка,123.9,86.55,96.32,104.16,98.06,98.47,96.03,103.46,99.6,98.02,100.73,100.71,101.9,105.0,109.8,106.5
01.123,Shakar,Сахар-песок,Sugar,Шакар,99.25,98.99,100.28,100.93,102.24,100.89,100.02,100.07,100.71,96.86,97.13,97.37,101.0,102.2,101.7,102.2
1.03,NOOZIQ-OVQAT MAHSULOTLARI,НЕПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,NON-FOOD PRODUCTS,НООЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.34,100.29,100.15,100.41,101.68,100.19,100.23,100.29,100.32,100.38,100.47,100.27,100.4,100.2,100.3,100.3
02.115,Sement,Цемент,Cement,Цемент,99.27,99.22,98.73,101.33,102.74,101.04,101.26,100.82,102.87,101.2,101.44,100.5,100.5,100.3,100.8,101.1
02.172,Xoʻjalik sovuni,Мыло хозяйственное,Household soap,Хўжалик совуни,99.96,99.81,100.33,100.29,99.98,100.06,100.22,100.23,100.24,100.28,100.09,100.4,100.3,100.3,100.3,100.2
02.173,"Kir yuvish kukuni yoki aralashmasi, oqartiruvchi modda va kir yuvish uchun boshqa vositalar","Стиральный порошок или смесь, отбеливатели и прочие средства для стирки","Washing powders or mixtures, bleaches, and other washing agents","Кир ювиш кукуни ёки аралашмаси, оқартирувчи модда ва кир ювиш учун бошқа воситалар",100.48,100.44,100.14,100.51,99.37,99.76,100.18,100.23,99.86,100.16,100.62,100.03,100.6,100.4,100.2,100.8
02.180,Vitaminlar,Витамины,Vitamins,Витаминлар,100.76,100.52,100.19,100.83,100.67,100.45,100.2,100.32,100.24,100.44,100.42,100.14,100.3,100.3,100.7,100.1
02.181,Antibiotiklar,Антибиотики,Antibiotics,Антибиотиклар,100.89,101.06,100.21,100.89,100.24,100.59,100.2,100.02,100.18,100.39,100.36,100.15,100.4,100.3,100.7,100.3
02.183,Tomir kengaytiruvchi preparatlar,Сосудорасширяющие препараты,Vasodilating drugs,Томир кенгайтирувчи препаратлар,100.68,100.89,99.86,100.73,99.59,100.82,100.03,100.23,100.34,100.34,100.12,100.24,100.2,100.6,100.9,100.0
02.184,Shamollashga qarshi dori vositalari,Противовоспалительные лекарственные средства,Anti-inflammatory drugs,Шамоллашга қарши дори воситалари,100.35,100.63,100.11,100.92,100.1,100.49,100.13,100.41,100.17,100.46,100.09,100.27,100.6,100.5,100.6,100.0
02.196,Benzin,Бензин,Gasoline,Бензин,101.47,100.15,99.97,99.59,99.86,99.78,100.47,103.11,101.38,101.45,101.71,102.42,100.6,99.5,99.1,101.4
02.197,Shaxsiy transport vositalari uchun propan,Пропан для личных транспортных средств,Propane for personal vehicles,Шахсий транспорт воситалари учун пропан,86.76,104.26,96.87,91.31,97.34,96.28,106.61,100.62,98.98,103.31,107.38,101.29,108.9,101.9,96.8,97.2
02.198,Shaxsiy transport vositalari uchun metan,Метан для личных транспортных средств,Methane for personal vehicl,Шахсий транспорт воситалари учун метан,99.86,100.01,99.99,102.63,126.99,99.75,100.09,100.01,100.12,100.1,99.77,100.0,100.1,100.1,100.0,100.7
1.04,XIZMATLAR,УСЛУГИ,SERVICES,ХИЗМАТЛАР,101.07,100.82,100.7,101.0,105.91,100.8,100.92,100.33,100.34,100.29,100.33,100.66,100.8,100.6,100.2,100.4
03.10,Sovuq suv va kanalizatsiya uchun haq toʻlash,Холодное водоснабжение и канализация,Cold water supply and sewerage fee,Совуқ сув ва канализация учун ҳақ тўлаш,100.0,100.0,100.0,100.98,110.15,110.26,109.3,100.0,100.79,100.0,100.0,100.0,100.0,100.0,100.0,100.0
