Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.72,100.54,100.9,100.71,101.32,99.74,100.07,100.43,100.55,100.53,100.63,100.83,100.7,100.6,100.6,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.75,100.53,101.51,100.76,99.36,99.0,98.96,100.68,100.85,100.87,100.92,101.39,100.8,101.0,101.3,101.0
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.52,96.31,97.44,99.89,100.27,100.27,99.35,99.9,100.06,97.96,96.53,98.22,98.7,99.8,99.9,98.8
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.29,94.05,98.42,101.19,100.0,100.0,100.44,99.78,100.03,100.41,100.31,100.35,100.5,100.1,100.7,100.9
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),101.1,102.76,107.55,101.92,101.08,101.21,102.32,100.06,101.26,101.67,100.38,100.49,101.1,101.9,101.9,103.0
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,101.3,102.2,108.78,101.71,101.17,101.21,102.23,101.15,101.85,101.13,101.02,100.51,101.5,103.7,101.1,104.0
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),99.82,100.1,100.12,99.89,99.67,101.46,100.69,101.71,101.36,99.36,99.13,100.78,101.5,102.2,99.6,99.4
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),101.13,100.51,100.0,101.14,100.79,100.0,100.0,100.5,100.4,100.51,100.68,100.0,100.6,100.4,100.4,100.3
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,87.29,86.28,100.18,98.06,95.75,105.31,97.44,101.95,106.23,103.59,102.19,103.71,100.7,100.6,102.4,97.4
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,102.45,100.7,101.42,103.16,104.81,100.15,101.21,101.09,100.69,100.55,100.66,100.16,100.2,100.9,101.0,100.7
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,102.06,100.67,100.0,102.86,102.71,100.38,101.35,99.99,101.2,100.35,100.28,99.57,100.3,100.4,101.1,100.6
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,102.36,101.2,100.6,102.07,101.48,100.47,96.7,99.04,99.03,99.8,105.46,102.2,101.9,104.0,108.1,103.9
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,99.54,129.77,104.44,99.13,73.75,47.25,52.41,81.93,116.81,166.23,177.97,128.03,95.1,110.8,106.4,98.2
01.107,Sabzi,Морковь,Carrot,Сабзи,102.71,102.24,115.17,106.33,115.59,112.23,98.13,98.37,108.13,93.26,73.39,93.01,102.0,102.1,99.9,101.0
01.110,Piyoz,Лук репчатый,Onion,Пиёз,103.48,99.8,102.25,112.3,97.93,99.27,98.57,97.91,96.27,95.47,98.09,100.5,101.3,99.7,92.2,97.1
01.113,Kartoshka,Картофель,Potato,Картошка,122.42,87.1,98.41,103.81,97.45,98.16,95.6,103.47,99.9,98.78,100.85,100.36,101.8,105.6,109.4,107.4
01.123,Shakar,Сахар-песок,Sugar,Шакар,99.42,99.55,100.37,100.61,101.95,101.91,100.2,100.31,100.31,96.7,97.75,96.88,101.2,102.4,101.1,101.9
1.03,NOOZIQ-OVQAT MAHSULOTLARI,НЕПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,NON-FOOD PRODUCTS,НООЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.27,100.29,100.24,100.16,101.22,100.19,100.34,100.27,100.33,100.38,100.49,100.28,100.5,100.2,100.2,100.3
02.115,Sement,Цемент,Cement,Цемент,99.83,99.29,96.63,100.9,103.55,100.76,101.49,100.94,102.44,101.56,101.74,100.71,100.7,99.8,101.0,101.4
02.172,Xoʻjalik sovuni,Мыло хозяйственное,Household soap,Хўжалик совуни,100.04,99.98,100.03,100.0,99.5,100.12,100.47,99.6,101.13,99.46,100.37,100.5,100.2,100.0,100.0,100.0
02.173,"Kir yuvish kukuni yoki aralashmasi, oqartiruvchi modda va kir yuvish uchun boshqa vositalar","Стиральный порошок или смесь, отбеливатели и прочие средства для стирки","Washing powders or mixtures, bleaches, and other washing agents","Кир ювиш кукуни ёки аралашмаси, оқартирувчи модда ва кир ювиш учун бошқа воситалар",100.65,100.42,100.45,100.37,98.15,100.43,99.67,100.73,99.57,99.9,100.64,99.97,100.4,100.2,99.7,101.2
02.180,Vitaminlar,Витамины,Vitamins,Витаминлар,100.56,100.0,100.0,100.0,101.67,100.13,100.34,100.55,100.39,100.35,101.21,100.92,100.2,100.1,100.3,100.0
02.181,Antibiotiklar,Антибиотики,Antibiotics,Антибиотиклар,101.33,100.85,99.55,101.16,100.97,100.0,100.67,99.78,100.91,100.73,100.18,99.96,100.4,99.7,100.4,101.1
02.183,Tomir kengaytiruvchi preparatlar,Сосудорасширяющие препараты,Vasodilating drugs,Томир кенгайтирувчи препаратлар,102.91,100.66,100.32,100.59,99.57,101.09,100.0,100.96,100.0,100.05,99.51,100.28,99.5,101.0,101.4,100.1
02.184,Shamollashga qarshi dori vositalari,Противовоспалительные лекарственные средства,Anti-inflammatory drugs,Шамоллашга қарши дори воситалари,100.99,100.49,100.4,102.84,98.0,100.1,99.56,102.27,100.78,100.1,100.0,100.55,100.1,100.1,100.5,100.1
02.196,Benzin,Бензин,Gasoline,Бензин,101.12,100.33,99.9,98.66,99.55,99.6,100.23,104.29,101.3,101.24,101.55,102.69,100.6,99.8,99.6,101.3
02.197,Shaxsiy transport vositalari uchun propan,Пропан для личных транспортных средств,Propane for personal vehicles,Шахсий транспорт воситалари учун пропан,84.26,104.25,97.62,93.05,95.22,94.24,110.06,98.91,98.05,105.22,107.94,101.06,109.8,101.2,96.8,97.7
02.198,Shaxsiy transport vositalari uchun metan,Метан для личных транспортных средств,Methane for personal vehicl,Шахсий транспорт воситалари учун метан,100.0,100.0,100.0,101.25,125.39,98.16,100.42,100.0,101.56,100.2,98.16,100.0,100.1,100.3,100.1,100.3
1.04,XIZMATLAR,УСЛУГИ,SERVICES,ХИЗМАТЛАР,101.33,100.93,100.54,101.38,105.72,100.64,101.89,100.18,100.26,100.07,100.24,100.49,100.9,100.5,100.1,100.2
03.10,Sovuq suv va kanalizatsiya uchun haq toʻlash,Холодное водоснабжение и канализация,Cold water supply and sewerage fee,Совуқ сув ва канализация учун ҳақ тўлаш,100.0,100.0,100.0,113.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.11,Maishiy chiqindi uchun haq toʻlash,Плата за вывоз мусора,Garbage collection fee,Маиший чиқинди учун ҳақ тўлаш,100.0,100.0,100.0,100.0,100.0,100.0,172.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.13,Elektr energiyasi uchun haq toʻlash,Плата за электроэнергию,Electricity fee,Электр энергияси учун ҳақ тўлаш,100.0,100.0,100.0,100.0,118.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.14,Tarmoq gaz uchun haq toʻlash,Плата за газ сетевой,Network gas fee,Тармоқ газ учун ҳақ тўлаш,100.0,100.0,100.0,100.0,139.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.15,Suyultirilgan gaz uchun haq toʻlash,Плата за газ сжиженный,Liquefied gas fee,Суюлтирилган газ учун ҳақ тўлаш,100.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.16,Issiq suv taʼminoti uchun xaq toʻlash,Оплата снабжения горячей водой,Hot water supply fee,Иссиқ сув таъминоти учун хақ тўлаш,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.17,Markaziy isitish uchun haq toʻlash,Оплата центрального отопления,Central heating fee,Марказий иситиш учун ҳақ тўлаш,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
