Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,18616.1,24741.9,32242.9,40564.5,50197.8,61972.3,78935.6,92973.0,114896.4,138920.7,164106.1,186759.3,229166.7,275629.8,345414.5,400503.2,102846.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,582.8,765.2,1009.2,1391.2,1747.6,2139.5,2740.6,3214.9,3995.2,5005.9,6205.2,7368.3,9296.4,11075.8,13897.2,16160.1,4470.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1496.4,2042.8,2625.4,3316.8,4119.1,5107.3,6333.3,7463.7,9197.2,11122.9,13108.2,14301.9,17885.3,21345.0,26583.3,30380.7,6622.1
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1073.5,1539.2,2027.4,2612.0,3256.5,4017.6,5201.9,5984.3,7260.3,8601.9,10238.8,12125.4,14580.2,16974.4,20463.7,23935.8,5949.9
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,584.5,821.2,1078.3,1416.1,1753.3,2170.1,2748.4,3245.0,3991.8,5076.0,6305.1,6187.3,7609.5,9066.0,10848.1,12386.3,3357.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1159.2,1703.7,2341.4,3102.3,3794.6,4613.4,5840.7,6673.4,8152.7,10294.1,11943.1,13788.5,17360.8,20780.2,25699.3,29327.3,6244.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,683.2,936.7,1314.8,1727.2,2201.6,2728.2,3464.8,4078.3,4944.7,6018.7,6554.8,7632.7,9496.1,11572.1,14289.2,16420.8,3696.8
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1119.3,1508.3,1929.0,2536.7,3108.9,3844.8,4860.7,5768.4,7088.3,8685.2,11031.4,12814.2,16395.4,19495.8,23325.8,26901.7,7050.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1519.6,1920.5,2700.7,3417.0,4314.7,5458.2,7112.9,8343.2,10063.1,12373.8,13482.3,16167.9,20451.9,24708.3,32054.4,37146.6,10091.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1234.6,1630.5,2100.1,2786.0,3571.9,4337.8,5604.2,6605.9,8161.5,9740.5,11500.2,13280.2,16832.6,20231.8,24491.3,28398.8,7844.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,365.0,479.0,607.4,715.6,911.9,1091.5,1440.8,1694.0,2150.0,2736.2,3125.4,3462.5,4149.5,4891.4,6060.8,6899.7,1530.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,1901.8,2635.4,3524.4,4225.6,5250.1,6647.1,8385.8,9900.3,12426.7,15729.8,17389.2,17726.4,21825.7,26569.3,33040.5,39726.9,8517.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1669.1,2240.3,2915.4,3587.6,4350.0,5543.4,7077.6,8236.1,9957.8,12148.1,14675.2,17786.5,20813.8,25657.0,32280.9,36338.1,8885.7
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,862.6,1084.2,1294.7,1552.3,1887.1,2215.0,2948.7,3433.4,4176.9,5302.0,7248.9,8280.9,10632.8,12729.1,15635.9,18034.9,4493.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,4364.5,5434.9,6774.7,8178.1,9930.5,12058.4,15175.2,18332.1,23330.4,26085.7,31298.4,35836.6,41836.8,50533.7,66744.0,78445.5,24090.8
