Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.64,100.23,100.63,100.64,102.82,99.66,99.72,100.49,101.16,100.93,100.85,100.96,100.72,100.54,100.9,100.71,101.32,99.74,100.07,100.43,100.55,100.53,100.63,100.83,100.7,100.6,100.6,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.9,100.2,100.77,100.38,97.98,98.41,98.28,100.48,101.3,101.14,100.97,101.63,100.75,100.53,101.51,100.76,99.36,99.0,98.96,100.68,100.85,100.87,100.92,101.39,100.8,101.0,101.3,101.0
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.58,99.44,100.78,101.57,101.28,100.08,101.19,100.73,101.68,97.44,96.49,99.18,99.15,95.05,97.54,99.69,100.0,100.48,100.56,100.15,99.32,96.72,94.92,98.26,98.5,99.2,99.8,98.8
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,101.12,99.17,101.66,98.17,100.18,99.91,100.05,101.16,101.45,97.12,95.96,98.04,98.52,96.31,97.44,99.89,100.27,100.27,99.35,99.9,100.06,97.96,96.53,98.22,98.7,99.8,99.9,98.8
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,100.88,99.78,100.0,100.38,100.0,100.01,100.0,100.0,100.0,98.53,95.99,99.1,100.0,94.92,99.7,99.16,100.0,100.56,100.18,99.99,99.82,98.81,96.87,98.14,99.1,100.0,100.0,97.3
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,99.79,101.45,100.0,99.85,98.76,100.0,100.19,100.0,100.89,99.98,98.0,101.69,101.92,100.39,100.4,100.37,99.0,100.79,99.47,100.24,99.12,101.66,100.96,100.0,100.8,100.0,100.0,100.0
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),99.65,98.59,98.98,99.92,100.77,99.43,98.47,100.04,99.45,100.31,97.77,100.22,100.42,100.16,99.22,100.09,100.76,100.12,100.29,100.84,100.9,100.64,100.1,99.23,100.9,100.1,99.8,100.6
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,100.0,100.63,100.04,99.48,100.7,100.23,100.21,100.53,100.24,100.76,100.44,99.87,100.63,99.17,100.57,101.35,100.83,100.14,100.81,99.72,100.46,101.58,100.46,99.89,100.0,100.3,101.3,99.7
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,101.93,98.98,100.02,100.54,100.96,100.01,100.01,100.02,100.56,99.61,100.18,100.57,100.49,100.45,99.49,100.96,99.7,100.21,101.28,99.98,100.1,100.83,100.36,101.07,100.2,100.4,100.2,100.6
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",100.09,99.45,100.02,100.06,100.87,99.96,99.99,100.03,100.22,100.47,101.09,99.86,99.48,100.45,101.33,100.09,100.51,100.46,100.05,100.1,100.85,100.81,100.02,100.14,100.2,100.5,101.2,100.5
