Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1288929.4,1325856.9,1370554.7,1457778.0,1549916.9,1608471.5,1687150.0,1822687.4,2041718.1,2098981.0,2217827.2,2324614.7,2584908.7,2560576.2,2583135.9,2673284.5,2876422.2,2968475.7,2978895.4,3214812.9,3417476.1,3551589.2,3734494.6,3882157.1,4105845.9,4337646.0,4424219.1,4561909.1,4911063.9,5105954.3,5172096.9,5360865.0,5815612.2,5990057.5,6166196.5,6376725.4,6825887.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1236620.3,1260257.6,1301227.9,1386536.2,1528555.6,1563369.4,1612189.6,1721184.0,1989669.9,2013238.8,2093527.9,2174081.1,2425086.2,2370744.4,2356329.5,2381503.4,2635020.8,2661394.5,2629018.4,2768327.5,2917463.3,2992438.7,3137347.5,3249286.8,3469969.0,3631036.4,3686079.7,3782681.5,4063014.0,4164937.8,4168415.5,4326059.5,4664986.5,4781886.9,4883693.0,5003118.9,5318807.9
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,1489304.9,1531835.8,1603106.5,1733814.6,1985154.9,2035523.8,2092844.1,2206735.1,2479996.6,2509099.5,2621250.4,2738000.1,3101702.7,3001890.3,2988193.2,3031998.5,3360830.5,3507478.3,3459899.1,3669142.5,3869373.4,3992088.9,4192853.3,4351347.5,4587981.3,4867123.9,4899526.3,5003001.7,5407357.5,5646609.7,5663610.0,5866876.6,6253830.7,6428658.9,6645361.3,6809028.6,7326757.1
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,953182.8,998044.1,996829.4,1053305.1,1123061.3,1131044.9,1162161.2,1261414.4,1568078.2,1566005.5,1637617.5,1687641.8,1865686.2,1788723.7,1757436.3,1793379.2,2005886.4,2003026.4,1969171.6,2041148.4,2058512.4,2098648.9,2210495.9,2276354.9,2375898.7,2421729.4,2437929.7,2501146.2,2747273.4,2766585.6,2727358.1,2815853.3,3219368.3,3168713.4,3079854.0,3196486.2,3620185.6
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,986615.4,1010828.7,1002798.9,1065457.7,1146345.1,1181819.8,1175125.0,1279888.4,1569322.6,1634745.7,1629652.7,1687555.8,1826605.3,1783519.5,1718785.0,1763754.8,2001622.8,2047939.8,1947484.4,2058358.9,2297754.4,2392417.1,2389638.3,2460440.1,2654425.2,2761415.9,2734957.1,2802172.5,3038574.9,3060707.1,3057210.5,3156587.9,3494964.1,3531283.8,3496342.7,3594051.2,3869379.8
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2549395.8,1785293.3,1791390.4,1724563.4,1817259.6,1769330.9,1826617.8,1822279.5,1873560.2,2068196.1,2102800.6,2151829.0,2234449.3,2530684.4,2565280.9,2579724.8,2655770.1,3165427.7,3134623.2,3051301.3,3137543.4,3406527.6,3442713.3,3502406.6,3632486.2,3825079.2
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,894369.4,918150.4,925911.6,982654.3,1102843.7,1177847.8,1170998.3,1245328.0,1501237.7,1565186.5,1617407.1,1642095.9,1815230.1,1899735.3,1861117.1,1840519.2,1929284.9,1936919.8,1925007.3,1973613.5,2200396.1,2142989.7,2276919.9,2378678.0,2695591.3,2846151.3,2942013.7,2999769.0,3249708.5,3251414.6,3261933.2,3402736.3,3704255.5,3713716.3,3759363.3,3820514.9,3833693.3
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,1047313.3,1056663.0,1075884.1,1149974.9,1268914.8,1269211.9,1297661.7,1408973.5,1762003.6,1747351.4,1808910.4,1886466.3,2065347.7,1986327.1,1940904.0,1995222.4,2274335.8,2255899.3,2254296.9,2361963.1,2593433.4,2598423.2,2710067.9,2778634.9,2877909.6,3010388.6,3058581.6,3150795.0,3498987.7,3471560.6,3441422.0,3465026.6,3805992.6,3832206.8,4009318.6,4071757.2,4089852.2
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1514168.7,1522991.6,1611649.4,1702585.7,1746653.4,1785770.3,1895983.4,2004233.6,2227024.3,2205874.0,2353786.3,2420315.8,2855132.1,2859046.6,2840595.1,2886816.6,3202646.1,3012473.3,3013967.7,3237657.0,3263032.2,3290968.9,3447202.5,3582504.1,4027108.5,4205189.0,4252179.1,4432250.6,4551701.5,4710770.5,4741369.6,4832750.8,4933056.3,5131044.4,5282898.5,5437141.8,5854512.4
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,1149615.7,1151399.9,1211088.0,1274013.3,1364924.9,1401750.4,1457752.8,1550030.8,1818556.5,1820348.7,1918199.1,2000757.2,1906827.2,1777438.8,1805378.6,1823556.1,2029577.1,2068338.7,2090391.2,2158706.4,2412568.4,2422238.5,2495093.0,2632297.1,2820387.5,2885079.5,2940798.4,3005850.6,3450468.7,3344145.6,3405255.2,3564885.7,3662969.1,3781409.3,3898983.8,4007133.3,4309932.9
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,1232436.4,1270252.2,1328775.6,1445677.4,1568536.7,1792101.1,1790202.9,1822499.7,2314482.8,2127176.2,2048723.5,2109584.4,1876260.8,1872482.6,1855292.5,1836974.9,1947275.6,2004114.0,1992183.6,2061574.9,2197800.4,2242117.3,2672823.9,3028389.3,2730143.4,2812021.2,2869074.1,3882597.7,3603859.9,3651783.5,3526506.3,4631465.5,3797306.6,3808423.4,3879226.2,4023675.4,4027534.8
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,1098894.9,1129164.5,1136325.9,1198118.5,1263097.0,1276206.0,1320094.8,1424753.0,1694124.2,1703743.1,1814484.2,1867430.3,2387935.8,2290432.7,2292317.9,2317938.0,2274574.8,2285491.9,2301894.7,2455492.0,2772057.4,2900351.0,3125362.0,3179355.8,3384276.7,3553855.4,2824564.7,3741519.4,4005210.9,4133850.8,4122597.1,4279496.7,4800114.8,5015170.9,5060218.8,5111183.4,5262902.3
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,1083978.6,1102377.0,1442619.6,1447647.6,1495037.9,1587861.6,1799031.8,1843485.7,1962625.4,2074881.9,2274110.7,2363037.0,2397247.1,2432458.4,2664658.5,2800313.3,2832012.7,2968148.6,2994976.3,3375200.3,3549254.9,3602138.4,3694409.2,3990392.8,4173002.9,4278930.3,3967734.3,4094999.8,4218778.4,4318886.6,4757434.8,4981499.6,5264068.9,5395139.5,5548390.4
