Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019-M01,2019-M02,2019-M03,2019-M04,2019-M05,2019-M06,2019-M07,2019-M08,2019-M09,2019-M10,2019-M11,2019-M12,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
"B, C, D, E",Sanoat mahsuloti,Промышленное производство,Industrial production,Саноат маҳсулоти,22233.6,44341.4,66555.3,94096.8,116932.6,142813.7,170054.4,200621.3,228436.9,258126.5,288523.4,322535.8,26259.4,51534.1,81904.9,107420.3,134414.1,168575.0,195813.4,223627.1,258007.8,289696.1,322282.8,368740.2,26766.6,55281.3,91530.5,124281.2,160035.3,200060.6,233758.0,269779.9,314843.5,356097.4,397341.7,456056.1,32918.1,66734.7,113990.2,154321.4,196894.7,251372.8,293026.1,337993.6,391948.4,439920.9,486999.2,553265.0,33575.4,72815.4,130997.6,179024.3,231165.2,293614.3,345042.7,400618.4,459919.7,519051.4,578808.3,658991.7,44635.9,96861.4,166363.3,227759.8,292029.8,369961.7,435150.4,505790.5,629171.5,704128.5,780872.9,885818.9,55750.6,122191.4,211344.4,290055.2,375017.8,488532.3,575601.4,660195.4,773790.8,865792.4,963346.0,1101130.8,85057.6,175005.5,289254.4
B,Tog`-kon sаnoаti vа ochiq konlаrni ishlаsh,Горнодобывающая промышленность и разработка карьеров,Mining and quarrying,Тоғ-кон саноати ва очиқ конларни ишлаш,3093.9,6101.0,8887.1,13364.2,16048.2,19471.7,22958.6,26917.4,30982.7,35469.2,40233.8,43438.9,3910.6,7032.8,9677.2,12596.7,15061.5,17313.6,19406.4,21517.6,23873.2,25996.9,28419.4,33106.9,3221.4,6026.5,9476.0,12707.6,16008.6,18990.3,22464.5,26064.2,29836.3,34268.5,38506.5,43872.2,3835.2,7528.1,12284.6,16050.8,19940.0,24481.2,28178.9,33056.1,38211.5,42738.3,47336.9,52093.5,4384.2,8494.2,12884.6,17576.1,21956.5,26449.6,30945.0,35622.9,40640.3,45516.3,50372.1,55442.0,4935.9,10214.4,16757.3,21596.4,25897.1,31205.0,37186.2,43158.8,49690.3,55473.7,60774.8,67796.0,5615.6,10953.4,18306.2,23698.9,29749.5,36667.2,43190.3,49758.7,56907.6,63238.6,69277.4,77019.7,6490.7,13074.0,20336.3
C,Ishlab chiqarish sanoati,Обрабатывающая промышленность,Manufacturing industry,Ишлаб чиқариш саноати,16936.6,34018.1,51779.8,72505.3,91854.5,112138.3,134186.6,159049.7,181095.7,204452.5,227481.6,254860.9,19542.5,39332.5,64279.1,84768.9,107256.6,136952.3,159822.6,183391.5,213059.4,240440.1,267810.2,305928.6,20487.8,43590.0,73359.9,100427.1,130525.6,165102.5,192781.7,222610.9,261335.0,295165.2,328780.0,378186.4,25660.6,52702.1,91730.6,125788.7,161754.4,208665.4,242779.6,279473.3,324868.7,364999.9,403779.5,460491.8,25459.2,56842.1,106286.2,145613.2,190087.9,246645.5,289698.9,336534.6,387373.8,437604.4,487427.2,556382.4,33796.8,75368.1,132413.1,184032.3,239753.8,307760.6,361563.8,420737.5,532762.2,596785.1,662493.6,753613.2,44097.5,99363.5,174862.8,243070.4,316754.8,415550.9,489407.5,561210.2,661669.2,741527.4,825140.1,947176.8,70699.6,146771.6,246044.2
D,"Elektr, gаz, bug` bilаn tа'minlаsh vа hаvoni konditsiyalаsh","Электроснабжение, подача газа, пара и кондиционирование воздуха","Electricity, gas, steam and air conditioning","Электр, газ, буғ билан таъминлаш ва ҳавони кондициялаш",2045.2,3894.7,5368.7,7551.9,8144.7,10143.4,11652.3,13214.7,14759.8,16453.1,18911.1,22014.7,2664.1,4854.3,7489.4,9458.8,11343.4,13340.8,15465.8,17368.8,19589.1,21535.9,24141.2,27375.3,2814.0,5179.5,7926.4,10119.5,12345.8,14565.7,16865.6,19216.2,21513.7,24260.9,27396.0,30815.5,3206.1,6076.2,9279.9,11584.9,13986.6,16971.7,20613.0,23767.6,26832.8,29913.0,33373.7,37653.7,3550.7,7111.2,11133.2,14887.3,18036.3,19158.3,22780.2,26569.7,29757.9,33512.6,38322.0,43967.6,5614.8,10684.7,16254.7,20767.3,24703.6,28953.2,33972.4,38935.5,43354.1,48098.4,53419.2,59869.7,5679.9,11143.3,16997.1,21659.7,26429.7,33637.9,39813.6,45524.0,50820.0,56083.3,63460.2,70787.9,7361.8,14154.4,21304.8
E,"Suv bilаn tа'minlаsh; kаnаlizаtsiya tizimi, chiqindilаrni yig`ish vа utilizаtsiya qilish","Водоснабжение; канализация, сбор и утилизация отходов","Water supply; sewerage, waste collection and disposal","Сув билан таъминлаш; канализация тизими, чиқиндиларни йиғиш ва утилизация қилиш",157.9,327.6,519.7,675.3,885.2,1060.2,1256.9,1439.6,1598.7,1751.6,1897.0,2221.2,142.3,314.5,459.2,595.9,752.6,968.3,1118.6,1349.2,1486.1,1723.2,1912.1,2329.3,243.5,485.3,768.2,1026.9,1155.3,1402.2,1646.1,1888.5,2158.5,2402.8,2659.2,3182.0,216.2,428.3,695.1,897.1,1213.7,1254.6,1454.6,1696.7,2035.4,2269.7,2509.2,3026.1,181.3,367.9,693.6,947.7,1084.5,1360.9,1618.6,1891.3,2147.7,2418.1,2686.9,3199.7,288.4,594.2,938.2,1363.9,1675.3,2043.0,2428.0,2958.7,3364.9,3771.3,4185.4,4540.0,357.6,731.2,1178.3,1626.2,2083.7,2676.3,3190.1,3702.5,4393.9,4943.0,5468.4,6146.4,505.5,1005.4,1569.1
10,Oziq-ovqat mahsulotlari ishlab chiqarish,Производство пищевых продуктов,Manufacturing of food products,Озиқ-овқат маҳсулотлари ишлаб чиқариш,2257.2,4521.6,6665.8,9614.5,12512.1,15223.8,18048.9,21802.9,25004.3,28324.2,31670.3,35337.3,2490.5,5395.3,8225.7,11321.3,14502.3,19172.2,21863.4,24507.4,28982.8,32485.7,36344.3,42314.9,2995.9,5909.6,9880.0,13355.7,16850.7,21885.8,25221.2,29560.4,35118.9,39880.4,44804.3,48643.3,3338.7,6736.7,10808.7,15376.7,19766.7,26101.6,30407.5,35412.5,41863.0,47283.4,52282.2,57547.3,4134.5,8730.7,15146.9,20445.6,25512.4,31446.7,36471.3,41866.8,46759.7,52334.1,57465.5,65678.2,3888.8,8063.4,15169.2,22398.4,28575.1,38494.6,44740.2,51244.6,74933.3,83237.3,91168.3,103692.9,6618.8,13968.8,24186.8,34573.4,44160.4,64747.2,79386.4,86507.8,102893.9,114739.0,128624.6,152099.4,9380.5,21283.5,32561.9
11,Ichimliklar ishlab chiqarish,Производство напитков,Manufacture of beverages,Ичимликлар ишлаб чиқариш,292.1,572.7,974.7,1602.4,2082.9,2616.1,3207.0,3970.2,4593.1,5238.0,5656.4,6402.5,416.9,738.9,1422.5,1803.6,2392.6,3190.5,3833.9,4454.4,5370.7,5862.3,6388.7,7417.6,409.5,954.6,1654.8,2378.7,3118.9,4199.8,5117.3,6332.4,7560.3,8311.6,9062.7,10135.4,535.9,1184.6,2211.0,2917.2,3828.9,6070.8,8137.0,9763.6,11966.2,13795.4,14990.3,16111.3,575.4,1493.6,2891.4,4036.0,5895.6,7825.6,9684.0,11523.0,13606.2,15100.7,16573.5,17986.4,940.7,2232.3,4063.3,5494.0,7252.7,9403.1,11779.4,14184.9,18722.1,20686.8,22529.8,25074.2,1281.9,2842.1,4999.0,7585.1,10362.8,13205.6,16045.1,19723.0,22872.6,24943.9,26869.8,29268.9,1782.2,3636.0,6072.8
12,Tamaki mahsulotlari ishlab chiqarish,Производство табачных изделий,Manufacture of tobacco products,Тамаки маҳсулотлари ишлаб чиқариш,131.1,277.7,359.8,533.8,687.4,825.2,917.0,1061.2,1225.5,1423.2,1577.5,1743.8,170.1,264.0,414.4,566.7,692.7,839.2,1009.1,1191.2,1384.5,1566.4,1760.5,1951.2,173.6,346.6,482.9,601.4,731.6,908.3,1082.2,1286.1,1505.1,1721.7,1869.9,2089.4,137.7,300.1,520.4,837.8,1088.1,1370.3,1650.3,1890.1,2125.9,2378.6,2642.1,2888.9,206.8,418.6,610.4,858.2,1112.4,1359.2,1647.6,1943.4,2252.6,2535.2,2872.3,3200.2,207.5,535.2,866.8,1200.3,1531.1,1878.2,2219.5,2666.7,3103.1,3496.1,3953.3,4515.3,238.4,571.9,855.5,1238.9,1674.6,2001.1,2334.1,2741.7,3136.9,3478.4,3888.8,4250.6,303.8,640.2,989.1
13,To'qimachilik mahsulotlari ishlab chiqarish,Производство текстильных изделий,Manufacture of textiles,Тўқимачилик маҳсулотлари ишлаб чиқариш,2490.7,4786.7,6753.7,9189.5,11117.3,13135.1,15202.9,17210.6,19674.7,22465.4,25111.7,29946.6,2770.9,5006.2,8575.5,10946.4,13347.0,16359.5,18433.4,21085.7,23322.8,26883.9,30342.0,36713.9,3354.6,7060.4,11528.7,15091.7,18810.8,23277.2,25955.4,29186.3,34339.6,39175.1,44138.5,52372.3,4503.3,9073.2,14504.5,19244.9,23805.2,30529.0,33974.7,37085.1,43001.8,48416.1,53932.9,62850.7,4042.1,9293.4,17652.8,22673.7,26584.3,33325.4,37059.5,41893.3,49358.2,55411.2,61164.2,71509.8,4969.9,10674.1,19715.0,24639.6,30347.7,38553.6,42742.8,47460.0,62649.3,68859.7,76157.3,89451.2,5986.7,13180.0,23832.3,29924.8,36671.9,48305.3,53371.2,58468.0,69589.3,76519.2,84776.9,101416.8,6700.3,14667.6,27054.8
14,Kiyim ishlab chiqarish,Производство одежды,Manufacture of wearing apparel,Кийим ишлаб чиқариш,457.9,925.1,1506.0,2321.1,3140.9,3872.6,4747.9,5667.1,6399.5,7289.6,8020.8,9165.8,590.3,1017.2,2058.1,2644.0,3321.3,4461.3,5354.4,6132.1,7043.4,7924.7,8774.6,10402.4,680.9,1407.7,2412.9,3362.7,4253.6,5543.2,6486.1,7952.3,9373.9,10717.8,11568.1,13592.8,715.5,1522.0,2837.0,3855.5,5047.5,6971.6,8348.9,9727.9,11497.4,12932.3,14298.0,17264.8,1007.6,2291.6,4396.7,5859.2,7708.5,9960.9,11466.1,13667.5,15911.0,17783.6,19704.7,23087.8,1275.8,2677.6,4976.0,7088.6,9784.0,13065.6,15340.2,17473.5,23517.6,25827.9,28342.7,33764.2,1545.6,3646.3,7667.4,11011.1,14381.2,18810.4,21058.9,24415.4,30161.4,34293.9,37882.0,43120.3,1402.8,4107.6,9224.1
