Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,2927502.0,3019690.0,3065601.0,3105138.0,3151950.0,3182833.0,3203107.0,3212525.0,3218218.0,3157107.0,3081029.0,2969454.0,2875536.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,176163.0,181275.0,183046.0,184496.0,187602.0,186889.0,183200.0,178147.0,172030.0,162842.0,157753.0,152330.0,152987.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,30697.0,31464.0,31818.0,31308.0,31614.0,31392.0,30955.0,30168.0,29730.0,28244.0,27274.0,26393.0,26744.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,5144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,17977.0,18418.0,18328.0,18073.0,18343.0,17983.0,17438.0,17250.0,16895.0,16325.0,16232.0,16049.0,15852.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,17326.0,17657.0,17877.0,17698.0,5257.0,18623.0,18796.0,18517.0,18651.0,17808.0,17038.0,16071.0,16004.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2334.0,2234.0,2007.0,1882.0,1783.0,1632.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,4893.0,4923.0,5110.0,5246.0,10285.0,5446.0,5702.0,5286.0,4950.0,4586.0,4165.0,3710.0,3775.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,8789.0,9287.0,9542.0,10001.0,12118.0,9981.0,9509.0,7166.0,6566.0,6320.0,6138.0,5782.0,5674.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,11793.0,12389.0,12566.0,12260.0,5015.0,12220.0,11241.0,10913.0,10644.0,10537.0,10397.0,10576.0,10869.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,4133.0,4308.0,4551.0,4905.0,3292.0,5205.0,5093.0,4868.0,4646.0,4509.0,4302.0,4234.0,4476.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,2814.0,2846.0,2995.0,3167.0,18135.0,3405.0,3347.0,3218.0,2873.0,2734.0,2565.0,2571.0,2478.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,4836.0,4910.0,4920.0,5234.0,5443.0,5257.0,5019.0,4823.0,4360.0,4045.0,4024.0,4073.0,3970.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,5144.0,0.0,0.0,0.0,0.0,7798.0,7615.0,7473.0,7079.0,6662.0,6150.0,5760.0,5449.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,3944.0,4049.0,4055.0,4048.0,4131.0,4106.0,3902.0,3721.0,3502.0,3147.0,2721.0,2489.0,2527.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,20169.0,20268.0,19926.0,20024.0,19949.0,19489.0,19600.0,19729.0,19184.0,18833.0,19328.0,18874.0,18639.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,13144.0,19105.0,19458.0,19980.0,20542.0,12278.0,12027.0,11062.0,10453.0,9313.0,8890.0,8497.0,9404.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,10820.0,11440.0,11316.0,11758.0,12325.0,12542.0,12155.0,11168.0,10521.0,9412.0,8732.0,8071.0,8286.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,4631.0,5072.0,5315.0,5398.0,5643.0,5568.0,5346.0,5285.0,5246.0,5004.0,5101.0,5120.0,4916.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,15053.0,15139.0,15269.0,15396.0,15510.0,15596.0,15455.0,15166.0,14496.0,13356.0,12814.0,12277.0,12292.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,259993.0,266308.0,270126.0,275519.0,281658.0,287238.0,293728.0,296645.0,298898.0,292738.0,282964.0,272672.0,262657.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,36720.0,37622.0,37953.0,38107.0,39262.0,40632.0,42097.0,43266.0,43985.0,43542.0,42521.0,41164.0,39336.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,3657.0,3802.0,3756.0,3840.0,3939.0,4007.0,3905.0,3985.0,4019.0,4066.0,4261.0,4214.0,4063.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,14260.0,14620.0,15157.0,15493.0,16076.0,16534.0,17194.0,17155.0,17132.0,16859.0,16252.0,15302.0,14519.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,20942.0,21525.0,21690.0,22363.0,23264.0,23468.0,24624.0,25325.0,26157.0,26141.0,25268.0,23905.0,22947.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,17220.0,17751.0,18238.0,18450.0,18617.0,18698.0,18752.0,18448.0,18183.0,17107.0,16059.0,15445.0,14837.0
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,6236.0,6201.0,6204.0,6535.0,6723.0,6980.0,7304.0,7520.0,7531.0,7309.0,6855.0,6422.0,5946.0
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,12092.0,12721.0,12746.0,13372.0,13567.0,13569.0,13405.0,13314.0,13146.0,12770.0,12441.0,12166.0,12006.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,15502.0,16055.0,16167.0,16608.0,17196.0,17560.0,17555.0,17565.0,17709.0,17260.0,16121.0,15526.0,14835.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,20107.0,20188.0,20605.0,20798.0,21617.0,21514.0,22046.0,21720.0,21745.0,20622.0,20223.0,19344.0,19178.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,4999.0,5109.0,5049.0,5025.0,5026.0,5123.0,5313.0,5459.0,5644.0,5798.0,5573.0,5315.0,4963.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,18030.0,18714.0,19099.0,19195.0,19647.0,20445.0,20447.0,20673.0,21015.0,20518.0,19198.0,18613.0,17673.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,25643.0,25826.0,26407.0,27399.0,27758.0,29406.0,30654.0,30676.0,30719.0,29949.0,28865.0,27567.0,26724.0
