year,demand_twh,re_penetration_pct,fossil_gen_twh,co2_intensity_gco2kwh,gdp_bn_usd_2015,pop_millions
2024,57.16294674598909,12.001655850082795,50.302446603769376,93.54025872487415,140.7986111331841,36.187091605
2025,59.07378415174073,13.652375955068766,51.008809048459256,89.12760276360478,149.24652780117515,36.72989797907499
2026,61.14612960723889,13.405622424254037,52.94911034504744,85.77782910705324,158.20131946924565,37.28084644876111
2027,63.39037646254938,13.218834725915508,55.01090736582933,87.94638287702665,167.6933986374004,37.84005914549253
2028,65.81755221174821,14.304608357175766,56.402609137577954,85.77483561450613,177.7550025556444,38.40766003267491
2029,68.43935669970719,16.384576965936404,57.225857626251916,81.61489839698486,188.4203027089831,38.98377493316503
2030,71.26820262365906,18.109215162887818,58.36209046781779,78.16562200308204,199.72552087152212,39.56853155716251
2031,74.31725846726417,18.743707102444297,60.38744921359369,76.89663812396907,211.70905212381345,40.16205953051994
2032,77.60049401316488,18.864186357440037,62.96179220822735,76.65567961397758,224.41159525124226,40.76449042347773
2033,81.13272858877416,19.517319935139618,65.29779437799462,75.34941245857843,237.87629096631682,41.375957779829896
2034,84.92968220932885,20.99698202310963,67.09701210355193,72.3900882826384,252.14886842429584,41.996597146527336
2035,89.00802979208176,22.64416339663401,68.85290608983809,69.09572553558965,267.27780052975356,42.626546103725246
2036,93.38545862593931,23.722824758639284,71.23178992605614,66.9384028115791,283.31446856153883,43.26594429528112
2037,98.08072929190986,24.23866620600753,74.30726870642597,65.9067199168426,300.3133366752312,43.914933459710326
2038,103.11374024145137,24.81301709847822,77.52811024445963,64.75801813190122,318.33213687574505,44.57365746160598
2039,108.50559625223234,25.90270758156028,80.39970894538817,62.578637165737106,337.4320650882898,45.24226232353007
2040,114.27868099399112,27.326207872795877,83.05065107128384,59.73163658326591,357.6779889935871,45.92089625838301
