year,demand_twh,re_penetration_pct,fossil_gen_twh,co2_intensity
2024,79.68206549692104,12.760924116222665,69.51389758462011,92.02172219259441
2025,82.54116807956736,13.662336856805277,71.26411565099504,89.10768096013177
2026,85.75657170395658,14.821873137716741,73.04584143874104,82.94532768012783
2027,90.34581021677951,15.724145787003179,76.13970330584388,82.9357607548513
2028,94.23800550189384,16.72414578700318,78.47750407499304,80.9357607548513
2029,98.40278675998474,17.72414578700318,80.96173337617117,78.9357607548513
2030,102.97466482370015,18.72414578700318,83.69353845843266,76.9357607548513
2031,107.50973989595019,19.72414578700318,86.30436206364506,74.9357607548513
2032,112.25501037759628,20.72414578700318,88.99111837372767,72.9357607548513
2033,117.22376244515019,21.72414578700318,91.75790139455547,70.9357607548513
2034,122.3281859199366,22.72414578700318,94.5301506128939,68.9357607548513
2035,127.63546498599854,23.72414578700318,97.35504119680084,66.9357607548513
2036,133.15115396195057,24.72414578700318,100.23066853932085,64.9357607548513
2037,138.8655128601172,25.72414578700318,103.143545884111,62.9357607548513
2038,144.8035122106739,26.72414578700318,106.10601050279246,60.9357607548513
2039,150.9749410482904,27.72414578700318,109.11842829022027,58.9357607548513
2040,157.388421864097,28.72414578700318,112.1799421159902,56.9357607548513
